table,pk
table1.csv,Horizontal_Distance_To_Fire_Points
table2.csv,Horizontal_Distance_To_Roadways
table3.csv,Horizontal_Distance_To_Roadways
table4.csv,Horizontal_Distance_To_Roadways
table5.csv,Horizontal_Distance_To_Roadways
table6.csv,Horizontal_Distance_To_Roadways
table7.csv,Horizontal_Distance_To_Roadways
table8.csv,Horizontal_Distance_To_Roadways
table9.csv,Horizontal_Distance_To_Roadways
table10.csv,Horizontal_Distance_To_Roadways
table11.csv,Elevation
table12.csv,Elevation
table13.csv,Elevation
table14.csv,Horizontal_Distance_To_Roadways
table15.csv,Horizontal_Distance_To_Roadways
table16.csv,Elevation
table17.csv,Elevation
table18.csv,Elevation
