age,checking_status,credit_amount,duration,installment_commitment,property_magnitude,purpose,residence_since
67.0,<0,1169.0,6.0,4.0,real estate,radio/tv,4.0
22.0,0<=X<200,5951.0,48.0,2.0,real estate,radio/tv,2.0
49.0,no checking,2096.0,12.0,2.0,real estate,education,3.0
45.0,<0,7882.0,42.0,2.0,life insurance,furniture/equipment,4.0
53.0,<0,4870.0,24.0,3.0,no known property,new car,4.0
35.0,no checking,9055.0,36.0,2.0,no known property,education,4.0
53.0,no checking,2835.0,24.0,3.0,life insurance,furniture/equipment,4.0
35.0,0<=X<200,6948.0,36.0,2.0,car,used car,2.0
61.0,no checking,3059.0,12.0,2.0,real estate,radio/tv,4.0
28.0,0<=X<200,5234.0,30.0,4.0,car,new car,2.0
25.0,0<=X<200,1295.0,12.0,3.0,car,new car,1.0
24.0,<0,4308.0,48.0,3.0,life insurance,business,4.0
22.0,0<=X<200,1567.0,12.0,1.0,car,radio/tv,1.0
60.0,<0,1199.0,24.0,4.0,car,new car,4.0
28.0,<0,1403.0,15.0,2.0,car,new car,4.0
32.0,<0,1282.0,24.0,4.0,car,radio/tv,2.0
53.0,no checking,2424.0,24.0,4.0,life insurance,radio/tv,4.0
25.0,<0,8072.0,30.0,2.0,car,business,3.0
44.0,0<=X<200,12579.0,24.0,4.0,no known property,used car,2.0
31.0,no checking,3430.0,24.0,3.0,car,radio/tv,2.0
48.0,no checking,2134.0,9.0,4.0,car,new car,4.0
44.0,<0,2647.0,6.0,2.0,real estate,radio/tv,3.0
48.0,<0,2241.0,10.0,1.0,real estate,new car,3.0
44.0,0<=X<200,1804.0,12.0,3.0,life insurance,used car,4.0
26.0,no checking,2069.0,10.0,2.0,car,furniture/equipment,1.0
36.0,<0,1374.0,6.0,1.0,real estate,furniture/equipment,2.0
39.0,no checking,426.0,6.0,4.0,car,radio/tv,4.0
42.0,>=200,409.0,12.0,3.0,real estate,radio/tv,3.0
34.0,0<=X<200,2415.0,7.0,3.0,real estate,radio/tv,2.0
63.0,<0,6836.0,60.0,3.0,no known property,business,4.0
36.0,0<=X<200,1913.0,18.0,3.0,real estate,business,3.0
27.0,<0,4020.0,24.0,2.0,car,furniture/equipment,2.0
30.0,0<=X<200,5866.0,18.0,2.0,car,new car,2.0
57.0,no checking,1264.0,12.0,4.0,no known property,business,4.0
33.0,>=200,1474.0,12.0,4.0,life insurance,furniture/equipment,1.0
25.0,0<=X<200,4746.0,45.0,4.0,life insurance,radio/tv,2.0
31.0,no checking,6110.0,48.0,1.0,no known property,education,3.0
37.0,>=200,2100.0,18.0,4.0,real estate,radio/tv,2.0
37.0,>=200,1225.0,10.0,2.0,car,domestic appliance,2.0
24.0,0<=X<200,458.0,9.0,4.0,real estate,radio/tv,3.0
30.0,no checking,2333.0,30.0,4.0,car,radio/tv,2.0
26.0,0<=X<200,1158.0,12.0,3.0,car,radio/tv,1.0
44.0,0<=X<200,6204.0,18.0,2.0,real estate,repairs,4.0
24.0,<0,6187.0,30.0,1.0,car,used car,4.0
58.0,<0,6143.0,48.0,4.0,no known property,used car,4.0
35.0,no checking,1393.0,11.0,4.0,car,new car,4.0
39.0,no checking,2299.0,36.0,4.0,car,radio/tv,4.0
23.0,<0,1352.0,6.0,1.0,life insurance,used car,2.0
39.0,no checking,7228.0,11.0,1.0,life insurance,new car,4.0
28.0,no checking,2073.0,12.0,4.0,real estate,radio/tv,2.0
29.0,0<=X<200,2333.0,24.0,4.0,life insurance,furniture/equipment,2.0
30.0,0<=X<200,5965.0,27.0,1.0,car,used car,2.0
25.0,no checking,1262.0,12.0,3.0,car,radio/tv,2.0
31.0,no checking,3378.0,18.0,2.0,life insurance,used car,1.0
57.0,0<=X<200,2225.0,36.0,4.0,no known property,new car,4.0
26.0,no checking,783.0,6.0,1.0,real estate,new car,2.0
52.0,0<=X<200,6468.0,12.0,2.0,no known property,radio/tv,1.0
31.0,no checking,9566.0,36.0,2.0,car,radio/tv,2.0
23.0,>=200,1961.0,18.0,3.0,car,new car,2.0
23.0,<0,6229.0,36.0,4.0,no known property,furniture/equipment,4.0
27.0,0<=X<200,1391.0,9.0,2.0,real estate,business,1.0
50.0,0<=X<200,1537.0,15.0,4.0,real estate,radio/tv,4.0
61.0,0<=X<200,1953.0,36.0,4.0,no known property,business,4.0
25.0,0<=X<200,14421.0,48.0,2.0,car,business,2.0
26.0,no checking,3181.0,24.0,4.0,life insurance,radio/tv,4.0
48.0,no checking,5190.0,27.0,4.0,life insurance,repairs,4.0
