credit/table1.age,credit/table1.checking_status,credit/table1.duration,credit/table1.installment_commitment,credit/table1.property_magnitude,credit/table1.purpose,credit/table1.residence_since,credit_amount
63.0,<0,60.0,3.0,no known property,business,4.0,6836.0
33.0,>=200,21.0,2.0,car,education,1.0,2319.0
50.0,no checking,6.0,2.0,life insurance,used car,4.0,1236.0
29.0,no checking,21.0,1.0,life insurance,new car,4.0,5003.0
21.0,no checking,12.0,4.0,car,radio/tv,2.0,886.0
23.0,<0,24.0,4.0,car,new car,4.0,1442.0
32.0,no checking,6.0,1.0,car,furniture/equipment,2.0,2978.0
33.0,<0,24.0,1.0,life insurance,furniture/equipment,1.0,2359.0
20.0,<0,24.0,2.0,car,furniture/equipment,4.0,2996.0
35.0,no checking,18.0,3.0,car,furniture/equipment,2.0,3780.0
48.0,no checking,27.0,4.0,life insurance,repairs,4.0,5190.0
30.0,0<=X<200,36.0,4.0,no known property,radio/tv,1.0,4795.0
46.0,<0,12.0,4.0,car,new car,2.0,697.0
36.0,no checking,18.0,2.0,car,business,2.0,4165.0
22.0,<0,14.0,1.0,no known property,new car,4.0,3973.0
30.0,no checking,18.0,4.0,real estate,education,2.0,1864.0
50.0,>=200,6.0,2.0,life insurance,education,4.0,1047.0
22.0,no checking,18.0,3.0,real estate,radio/tv,4.0,433.0
27.0,0<=X<200,36.0,2.0,car,education,2.0,3711.0
25.0,0<=X<200,9.0,4.0,real estate,radio/tv,4.0,1206.0
33.0,no checking,6.0,4.0,real estate,furniture/equipment,2.0,1543.0
37.0,no checking,4.0,1.0,real estate,new car,1.0,3380.0
57.0,>=200,24.0,3.0,car,radio/tv,3.0,1258.0
28.0,no checking,12.0,4.0,real estate,radio/tv,2.0,2073.0
28.0,<0,21.0,4.0,life insurance,radio/tv,4.0,2606.0
49.0,no checking,12.0,2.0,real estate,education,3.0,2096.0
61.0,no checking,12.0,4.0,real estate,new car,4.0,1255.0
23.0,no checking,9.0,1.0,real estate,domestic appliance,4.0,1236.0
36.0,no checking,24.0,4.0,real estate,radio/tv,1.0,1278.0
75.0,<0,6.0,4.0,life insurance,new car,3.0,1374.0
37.0,>=200,10.0,1.0,life insurance,new car,1.0,3949.0
50.0,no checking,12.0,4.0,car,new car,3.0,2390.0
26.0,0<=X<200,24.0,4.0,life insurance,new car,1.0,1201.0
24.0,no checking,15.0,2.0,car,furniture/equipment,3.0,2788.0
57.0,no checking,12.0,4.0,no known property,business,4.0,1264.0
27.0,<0,24.0,2.0,car,furniture/equipment,2.0,4020.0
51.0,no checking,9.0,2.0,no known property,new car,4.0,2507.0
35.0,no checking,24.0,3.0,car,radio/tv,2.0,2397.0
36.0,0<=X<200,27.0,4.0,car,business,2.0,3915.0
24.0,no checking,48.0,2.0,car,used car,4.0,11590.0
45.0,<0,42.0,2.0,life insurance,furniture/equipment,4.0,7882.0
38.0,no checking,12.0,4.0,real estate,new car,1.0,1495.0
54.0,no checking,24.0,4.0,life insurance,new car,1.0,2255.0
35.0,0<=X<200,9.0,4.0,real estate,new car,2.0,1549.0
24.0,no checking,30.0,2.0,life insurance,used car,4.0,4811.0
35.0,0<=X<200,14.0,1.0,real estate,business,2.0,1410.0
74.0,no checking,5.0,1.0,real estate,business,4.0,3448.0
51.0,0<=X<200,11.0,2.0,life insurance,radio/tv,4.0,4771.0
52.0,<0,10.0,3.0,real estate,radio/tv,4.0,2315.0
26.0,<0,48.0,4.0,life insurance,used car,3.0,4788.0
24.0,no checking,18.0,3.0,life insurance,business,4.0,1568.0
34.0,no checking,15.0,4.0,car,radio/tv,4.0,1569.0
27.0,<0,40.0,4.0,no known property,education,3.0,5998.0
29.0,no checking,18.0,4.0,life insurance,radio/tv,3.0,1169.0
46.0,0<=X<200,12.0,1.0,real estate,new car,1.0,1223.0
28.0,<0,18.0,4.0,car,furniture/equipment,2.0,2659.0
36.0,no checking,6.0,4.0,no known property,radio/tv,4.0,700.0
32.0,no checking,10.0,1.0,real estate,used car,2.0,2848.0
22.0,<0,9.0,3.0,life insurance,radio/tv,4.0,1366.0
35.0,no checking,36.0,2.0,no known property,education,4.0,9055.0
21.0,<0,24.0,2.0,real estate,radio/tv,4.0,1987.0
63.0,<0,24.0,3.0,no known property,used car,4.0,2924.0
34.0,0<=X<200,18.0,4.0,car,business,4.0,2622.0
36.0,no checking,36.0,4.0,real estate,business,4.0,6304.0
26.0,no checking,36.0,4.0,car,radio/tv,2.0,4463.0
37.0,no checking,36.0,3.0,life insurance,business,2.0,7409.0
54.0,no checking,24.0,4.0,car,new car,4.0,717.0
39.0,<0,20.0,4.0,car,furniture/equipment,4.0,2212.0
44.0,<0,18.0,4.0,car,furniture/equipment,3.0,1553.0
38.0,0<=X<200,18.0,3.0,no known property,used car,4.0,12976.0
26.0,no checking,12.0,2.0,no known property,radio/tv,2.0,1934.0
23.0,<0,33.0,1.0,car,furniture/equipment,4.0,4281.0
43.0,<0,16.0,2.0,life insurance,new car,4.0,2625.0
39.0,<0,6.0,3.0,real estate,new car,4.0,666.0
23.0,no checking,24.0,3.0,car,used car,4.0,3488.0
28.0,0<=X<200,30.0,4.0,car,new car,2.0,5234.0
28.0,no checking,6.0,1.0,car,radio/tv,1.0,1382.0
28.0,no checking,36.0,4.0,car,furniture/equipment,2.0,3349.0
47.0,no checking,15.0,4.0,life insurance,radio/tv,3.0,1213.0
23.0,0<=X<200,12.0,4.0,life insurance,new car,2.0,836.0
21.0,<0,12.0,4.0,life insurance,furniture/equipment,1.0,1289.0
22.0,no checking,12.0,2.0,life insurance,furniture/equipment,4.0,1258.0
39.0,<0,30.0,1.0,life insurance,radio/tv,3.0,2522.0
26.0,no checking,12.0,2.0,real estate,business,2.0,1076.0
45.0,no checking,36.0,2.0,real estate,radio/tv,4.0,3835.0
32.0,no checking,18.0,4.0,no known property,radio/tv,2.0,1505.0
23.0,<0,30.0,4.0,real estate,furniture/equipment,4.0,2406.0
61.0,0<=X<200,15.0,3.0,life insurance,repairs,3.0,1512.0
53.0,<0,12.0,4.0,no known property,furniture/equipment,4.0,7865.0
40.0,0<=X<200,18.0,3.0,car,business,3.0,3590.0
30.0,<0,24.0,4.0,no known property,furniture/equipment,4.0,3349.0
51.0,<0,18.0,1.0,life insurance,used car,4.0,7511.0
42.0,<0,36.0,2.0,no known property,used car,4.0,5493.0
34.0,no checking,18.0,4.0,car,business,1.0,1950.0
36.0,>=200,12.0,2.0,car,new car,2.0,2247.0
26.0,no checking,33.0,2.0,car,business,2.0,2764.0
30.0,0<=X<200,30.0,4.0,no known property,radio/tv,3.0,1919.0
20.0,no checking,9.0,1.0,car,furniture/equipment,4.0,1313.0
35.0,0<=X<200,36.0,2.0,car,used car,2.0,6948.0
20.0,<0,12.0,2.0,car,furniture/equipment,4.0,1282.0
60.0,no checking,24.0,4.0,no known property,new car,4.0,2032.0
39.0,no checking,12.0,4.0,car,new car,4.0,1884.0
57.0,<0,30.0,4.0,life insurance,furniture/equipment,4.0,3622.0
47.0,0<=X<200,12.0,2.0,real estate,new car,3.0,958.0
38.0,no checking,36.0,4.0,car,used car,2.0,5711.0
31.0,no checking,24.0,2.0,car,radio/tv,4.0,3621.0
23.0,<0,24.0,3.0,no known property,furniture/equipment,4.0,4110.0
