checking_status,credit_amount,credit_history,duration
<0,1169.0,critical/other existing credit,6.0
0<=X<200,5951.0,existing paid,48.0
no checking,2096.0,critical/other existing credit,12.0
<0,7882.0,existing paid,42.0
<0,4870.0,delayed previously,24.0
no checking,9055.0,existing paid,36.0
no checking,2835.0,existing paid,24.0
0<=X<200,6948.0,existing paid,36.0
no checking,3059.0,existing paid,12.0
0<=X<200,5234.0,critical/other existing credit,30.0
0<=X<200,1295.0,existing paid,12.0
<0,4308.0,existing paid,48.0
0<=X<200,1567.0,existing paid,12.0
<0,1199.0,critical/other existing credit,24.0
<0,1403.0,existing paid,15.0
<0,1282.0,existing paid,24.0
no checking,2424.0,critical/other existing credit,24.0
<0,8072.0,no credits/all paid,30.0
0<=X<200,12579.0,existing paid,24.0
no checking,3430.0,existing paid,24.0
no checking,2134.0,critical/other existing credit,9.0
<0,2647.0,existing paid,6.0
<0,2241.0,critical/other existing credit,10.0
0<=X<200,1804.0,critical/other existing credit,12.0
no checking,2069.0,critical/other existing credit,10.0
<0,1374.0,existing paid,6.0
no checking,426.0,no credits/all paid,6.0
>=200,409.0,all paid,12.0
0<=X<200,2415.0,existing paid,7.0
<0,6836.0,delayed previously,60.0
0<=X<200,1913.0,existing paid,18.0
<0,4020.0,existing paid,24.0
0<=X<200,5866.0,existing paid,18.0
no checking,1264.0,critical/other existing credit,12.0
>=200,1474.0,existing paid,12.0
0<=X<200,4746.0,critical/other existing credit,45.0
no checking,6110.0,critical/other existing credit,48.0
>=200,2100.0,existing paid,18.0
>=200,1225.0,existing paid,10.0
0<=X<200,458.0,existing paid,9.0
no checking,2333.0,existing paid,30.0
0<=X<200,1158.0,existing paid,12.0
0<=X<200,6204.0,delayed previously,18.0
<0,6187.0,critical/other existing credit,30.0
<0,6143.0,critical/other existing credit,48.0
no checking,1393.0,critical/other existing credit,11.0
no checking,2299.0,existing paid,36.0
<0,1352.0,existing paid,6.0
no checking,7228.0,critical/other existing credit,11.0
no checking,2073.0,existing paid,12.0
0<=X<200,2333.0,delayed previously,24.0
0<=X<200,5965.0,delayed previously,27.0
no checking,1262.0,existing paid,12.0
no checking,3378.0,existing paid,18.0
0<=X<200,2225.0,delayed previously,36.0
no checking,783.0,all paid,6.0
0<=X<200,6468.0,existing paid,12.0
no checking,9566.0,critical/other existing credit,36.0
>=200,1961.0,existing paid,18.0
<0,6229.0,critical/other existing credit,36.0
0<=X<200,1391.0,existing paid,9.0
0<=X<200,1537.0,critical/other existing credit,15.0
0<=X<200,1953.0,no credits/all paid,36.0
0<=X<200,14421.0,no credits/all paid,48.0
no checking,3181.0,existing paid,24.0
no checking,5190.0,existing paid,27.0
no checking,2171.0,existing paid,12.0
0<=X<200,1007.0,existing paid,12.0
no checking,1819.0,existing paid,36.0
no checking,2394.0,existing paid,36.0
no checking,8133.0,existing paid,36.0
no checking,730.0,critical/other existing credit,7.0
<0,1164.0,critical/other existing credit,8.0
0<=X<200,5954.0,critical/other existing credit,42.0
<0,1977.0,existing paid,36.0
<0,1526.0,critical/other existing credit,12.0
<0,3965.0,existing paid,42.0
0<=X<200,4771.0,delayed previously,11.0
no checking,9436.0,no credits/all paid,54.0
0<=X<200,3832.0,existing paid,30.0
no checking,5943.0,existing paid,24.0
no checking,1213.0,existing paid,15.0
no checking,1568.0,existing paid,18.0
<0,1755.0,existing paid,24.0
<0,2315.0,existing paid,10.0
no checking,1412.0,critical/other existing credit,12.0
0<=X<200,1295.0,critical/other existing credit,18.0
0<=X<200,12612.0,existing paid,36.0
<0,2249.0,existing paid,18.0
<0,1108.0,no credits/all paid,12.0
no checking,618.0,critical/other existing credit,12.0
<0,1409.0,critical/other existing credit,12.0
no checking,797.0,critical/other existing credit,12.0
