credit_amount,duration,installment_commitment,savings_status
1169.0,6.0,4.0,no known savings
5951.0,48.0,2.0,<100
2096.0,12.0,2.0,<100
7882.0,42.0,2.0,<100
4870.0,24.0,3.0,<100
9055.0,36.0,2.0,no known savings
2835.0,24.0,3.0,500<=X<1000
6948.0,36.0,2.0,<100
3059.0,12.0,2.0,>=1000
5234.0,30.0,4.0,<100
1295.0,12.0,3.0,<100
4308.0,48.0,3.0,<100
1567.0,12.0,1.0,<100
1199.0,24.0,4.0,<100
1403.0,15.0,2.0,<100
1282.0,24.0,4.0,100<=X<500
2424.0,24.0,4.0,no known savings
8072.0,30.0,2.0,no known savings
12579.0,24.0,4.0,<100
3430.0,24.0,3.0,500<=X<1000
2134.0,9.0,4.0,<100
2647.0,6.0,2.0,500<=X<1000
2241.0,10.0,1.0,<100
1804.0,12.0,3.0,100<=X<500
2069.0,10.0,2.0,no known savings
1374.0,6.0,1.0,<100
426.0,6.0,4.0,<100
409.0,12.0,3.0,>=1000
2415.0,7.0,3.0,<100
6836.0,60.0,3.0,<100
1913.0,18.0,3.0,>=1000
4020.0,24.0,2.0,<100
5866.0,18.0,2.0,100<=X<500
1264.0,12.0,4.0,no known savings
1474.0,12.0,4.0,<100
4746.0,45.0,4.0,<100
6110.0,48.0,1.0,<100
2100.0,18.0,4.0,<100
1225.0,10.0,2.0,<100
458.0,9.0,4.0,<100
2333.0,30.0,4.0,500<=X<1000
1158.0,12.0,3.0,500<=X<1000
6204.0,18.0,2.0,<100
6187.0,30.0,1.0,100<=X<500
6143.0,48.0,4.0,<100
1393.0,11.0,4.0,<100
2299.0,36.0,4.0,500<=X<1000
1352.0,6.0,1.0,500<=X<1000
7228.0,11.0,1.0,<100
2073.0,12.0,4.0,100<=X<500
2333.0,24.0,4.0,no known savings
5965.0,27.0,1.0,<100
1262.0,12.0,3.0,<100
3378.0,18.0,2.0,no known savings
2225.0,36.0,4.0,<100
783.0,6.0,1.0,no known savings
6468.0,12.0,2.0,no known savings
9566.0,36.0,2.0,<100
1961.0,18.0,3.0,<100
6229.0,36.0,4.0,<100
1391.0,9.0,2.0,<100
1537.0,15.0,4.0,no known savings
1953.0,36.0,4.0,<100
14421.0,48.0,2.0,<100
3181.0,24.0,4.0,<100
5190.0,27.0,4.0,no known savings
2171.0,12.0,2.0,<100
1007.0,12.0,4.0,>=1000
