age,class,credit_amount
67.0,good,1169.0
22.0,bad,5951.0
49.0,good,2096.0
45.0,good,7882.0
53.0,bad,4870.0
35.0,good,9055.0
53.0,good,2835.0
35.0,good,6948.0
61.0,good,3059.0
28.0,bad,5234.0
25.0,bad,1295.0
24.0,bad,4308.0
22.0,good,1567.0
60.0,bad,1199.0
28.0,good,1403.0
32.0,bad,1282.0
53.0,good,2424.0
25.0,good,8072.0
44.0,bad,12579.0
31.0,good,3430.0
48.0,good,2134.0
44.0,good,2647.0
48.0,good,2241.0
44.0,good,1804.0
26.0,good,2069.0
36.0,good,1374.0
39.0,good,426.0
42.0,good,409.0
34.0,good,2415.0
63.0,bad,6836.0
36.0,good,1913.0
27.0,good,4020.0
30.0,good,5866.0
57.0,good,1264.0
33.0,good,1474.0
25.0,bad,4746.0
31.0,good,6110.0
37.0,bad,2100.0
37.0,good,1225.0
24.0,good,458.0
30.0,good,2333.0
26.0,good,1158.0
44.0,good,6204.0
24.0,good,6187.0
58.0,bad,6143.0
35.0,good,1393.0
39.0,good,2299.0
23.0,good,1352.0
39.0,good,7228.0
28.0,good,2073.0
29.0,good,2333.0
30.0,good,5965.0
25.0,good,1262.0
31.0,good,3378.0
57.0,bad,2225.0
26.0,good,783.0
52.0,bad,6468.0
31.0,good,9566.0
23.0,good,1961.0
23.0,bad,6229.0
27.0,good,1391.0
50.0,good,1537.0
61.0,bad,1953.0
25.0,bad,14421.0
26.0,good,3181.0
48.0,good,5190.0
29.0,good,2171.0
22.0,good,1007.0
37.0,bad,1819.0
25.0,good,2394.0
30.0,good,8133.0
46.0,good,730.0
51.0,good,1164.0
41.0,good,5954.0
40.0,bad,1977.0
66.0,good,1526.0
34.0,bad,3965.0
51.0,good,4771.0
39.0,good,9436.0
22.0,good,3832.0
44.0,bad,5943.0
47.0,good,1213.0
24.0,good,1568.0
58.0,good,1755.0
52.0,good,2315.0
29.0,good,1412.0
27.0,good,1295.0
47.0,bad,12612.0
30.0,good,2249.0
28.0,bad,1108.0
56.0,good,618.0
54.0,good,1409.0
33.0,bad,797.0
20.0,good,3617.0
54.0,good,1318.0
58.0,bad,15945.0
61.0,good,2012.0
34.0,good,2622.0
36.0,good,2337.0
36.0,good,7057.0
41.0,good,1469.0
24.0,good,2323.0
24.0,good,932.0
35.0,good,1919.0
26.0,good,2445.0
39.0,bad,11938.0
39.0,bad,6458.0
32.0,good,6078.0
30.0,good,7721.0
35.0,good,1410.0
31.0,good,1449.0
23.0,good,392.0
28.0,good,6260.0
25.0,bad,7855.0
35.0,good,1680.0
47.0,good,3578.0
30.0,bad,7174.0
27.0,good,2132.0
23.0,bad,4281.0
36.0,good,2366.0
25.0,bad,1835.0
41.0,good,3868.0
24.0,good,1768.0
63.0,good,781.0
27.0,bad,1924.0
30.0,good,2121.0
40.0,good,701.0
30.0,bad,639.0
34.0,good,1860.0
29.0,bad,3499.0
24.0,good,8487.0
29.0,bad,6887.0
27.0,good,2708.0
47.0,good,1984.0
21.0,good,10144.0
38.0,good,1240.0
27.0,good,8613.0
66.0,bad,766.0
35.0,good,2728.0
44.0,good,1881.0
27.0,good,709.0
30.0,good,4795.0
27.0,good,3416.0
22.0,bad,2462.0
23.0,good,2288.0
30.0,good,3566.0
39.0,good,860.0
51.0,good,682.0
28.0,good,5371.0
46.0,good,1582.0
42.0,good,1346.0
38.0,good,1924.0
24.0,good,5848.0
29.0,good,7758.0
36.0,good,6967.0
20.0,bad,1282.0
48.0,good,1288.0
45.0,good,339.0
38.0,good,3512.0
34.0,good,1898.0
36.0,good,2872.0
30.0,good,1055.0
36.0,good,1262.0
70.0,good,7308.0
36.0,good,909.0
32.0,good,2978.0
33.0,bad,1131.0
20.0,good,1577.0
25.0,good,3972.0
31.0,bad,1935.0
33.0,bad,950.0
26.0,good,763.0
34.0,bad,2064.0
33.0,good,1414.0
26.0,bad,3414.0
53.0,bad,7485.0
42.0,good,2577.0
52.0,good,338.0
31.0,good,1963.0
65.0,good,571.0
