pk_table,pk_column,fk_table,fk_column
table5.csv,pupilDiamLag,table4.csv,pupilDiamLag
table5.csv,landingPos,table6.csv,landingPos
table5.csv,pupilDiamLag,table2.csv,pupilDiamLag
table5.csv,pupilDiamLag,table1.csv,pupilDiamLag
table5.csv,landingPos,table1.csv,landingPos
table4.csv,pupilDiamLag,table2.csv,pupilDiamLag
table4.csv,pupilDiamMax,table2.csv,pupilDiamMax
table4.csv,timePrtctg,table2.csv,timePrtctg
table4.csv,pupilDiamLag,table1.csv,pupilDiamLag
table4.csv,pupilDiamMax,table1.csv,pupilDiamMax
table6.csv,prevFixPos,table7.csv,prevFixPos
table6.csv,prevFixPos,table8.csv,prevFixPos
table6.csv,landingPos,table1.csv,landingPos
table6.csv,nextFixDur,table1.csv,nextFixDur
table6.csv,prevFixPos,table1.csv,prevFixPos
table7.csv,lastSaccLen,table3.csv,lastSaccLen
table7.csv,P2stFixation,table9.csv,P2stFixation
table7.csv,lastSaccLen,table9.csv,lastSaccLen
table7.csv,prevFixDur,table9.csv,prevFixDur
table7.csv,regressDur,table9.csv,regressDur
table7.csv,wordNo,table9.csv,wordNo
table3.csv,firstPassFixDur,table2.csv,firstPassFixDur
table3.csv,meanFixDur,table2.csv,meanFixDur
table7.csv,lastSaccLen,table1.csv,lastSaccLen
table7.csv,prevFixPos,table1.csv,prevFixPos
table7.csv,nextWordRegress,table8.csv,nextWordRegress
table7.csv,prevFixDur,table8.csv,prevFixDur
table7.csv,prevFixPos,table8.csv,prevFixPos
table7.csv,regressDur,table8.csv,regressDur
table7.csv,wordNo,table8.csv,wordNo
table3.csv,lastSaccLen,table9.csv,lastSaccLen
table3.csv,firstPassFixDur,table1.csv,firstPassFixDur
table3.csv,lastSaccLen,table1.csv,lastSaccLen
table3.csv,meanFixDur,table1.csv,meanFixDur
table2.csv,firstPassFixDur,table1.csv,firstPassFixDur
table2.csv,pupilDiamLag,table1.csv,pupilDiamLag
table2.csv,pupilDiamMax,table1.csv,pupilDiamMax
table2.csv,meanFixDur,table1.csv,meanFixDur
table9.csv,prevFixDur,table8.csv,prevFixDur
table9.csv,regressDur,table8.csv,regressDur
table9.csv,wordNo,table8.csv,wordNo
table1.csv,lastSaccLen,table9.csv,lastSaccLen
table1.csv,prevFixPos,table8.csv,prevFixPos
