firstPassFixDur,landingPos,lastSaccLen,leavingPos,lineNo,meanFixDur,nextFixDur,prevFixPos,pupilDiamLag,pupilDiamMax
119.0,56.6326,288.0156,51.1786,9684.0,119.0,238.0,246.0732,0.4446,0.1541
239.0,47.3207,117.2359,47.0425,2065.0,119.5,100.0,321.014,0.3264,0.0119
357.0,112.361,805.0531,118.6529,1969.0,178.6667,179.0,479.3078,0.0859,0.0874
219.0,79.8389,306.5587,78.5875,10326.0,99.0,99.0,153.1698,0.1453,0.0173
239.0,96.7471,161.4845,102.1225,6827.0,139.0,139.0,189.6207,0.4074,0.3229
259.0,144.9422,204.5,137.0082,2793.0,259.0,100.0,29.5466,0.5542,0.0947
100.0,58.1421,245.0862,55.9151,9800.0,100.0,99.0,129.8345,0.122,0.1085
298.0,147.5212,208.5402,124.0423,9462.0,298.0,139.0,611.2356,0.2636,0.1261
239.0,58.6195,100.3606,60.8153,2828.0,239.0,199.0,151.0033,0.5067,0.8257
99.0,121.6737,169.3259,121.1745,8235.0,99.0,99.0,531.305,0.3344,0.1874
915.0,52.9953,114.2147,55.0318,5613.0,219.0,159.0,138.7083,0.114,0.0715
558.0,16.8671,115.434,40.9695,3127.0,558.0,239.0,292.7695,2.0226,-0.2634
379.0,1300.849,1098.318,1266.7849,2537.0,379.0,359.0,403.1241,0.948,1.1015
279.0,113.8036,70.2638,109.276,7817.0,139.5,219.0,433.1836,0.1181,0.0361
219.0,27.2259,0.0,42.9942,10437.0,219.0,119.0,82.7647,0.2907,0.2907
357.0,26.7442,921.2918,103.0194,1928.0,119.0,179.0,161.7931,0.1229,0.0699
119.0,13.4629,407.939,30.7612,10027.0,100.0,179.0,404.0309,0.5105,0.193
99.0,50.5594,536.0784,51.7349,10664.0,99.0,179.0,68.4251,0.1377,0.1097
438.0,156.9984,115.0848,138.6001,4220.0,238.0,199.0,626.2691,0.029,0.057
80.0,93.5655,557.0613,91.0673,6772.0,80.0,179.0,85.0,0.1124,0.0179
99.0,38.7072,394.0381,44.847,10806.0,99.0,219.0,107.2986,0.082,0.0395
179.0,14.7054,98.6927,20.5973,2108.0,179.0,139.0,103.0776,0.3234,0.1649
358.0,66.6652,79.5692,167.4515,1926.0,179.0,139.0,51.4296,0.0864,0.1029
238.0,87.8208,180.0062,67.5296,10223.0,119.0,80.0,49.7293,0.1637,0.1117
238.0,80.6226,116.0097,34.6157,6218.0,119.0,199.0,249.3933,0.1206,-0.0039
139.0,76.3692,126.935,82.0,10222.0,139.0,119.0,132.0606,0.1027,0.1447
239.0,62.8431,50.324,63.673,2097.0,80.0,99.0,218.0734,0.1649,0.1494
139.0,101.6132,398.0028,95.0842,9121.0,139.0,159.0,166.0753,0.2052,0.0532
119.0,80.5062,306.9405,94.3835,8560.0,119.0,139.0,249.3391,0.3302,0.1832
100.0,55.5203,560.7069,62.8828,2794.0,100.0,319.0,148.0304,0.5822,0.1722
80.0,60.1041,182.4966,47.5657,9965.0,80.0,139.0,95.0474,0.3735,0.2
99.0,31.197,564.6072,35.5106,3947.0,99.0,219.0,257.8565,0.2141,0.1311
80.0,66.4172,94.7629,63.2653,1031.0,80.0,159.0,80.05,0.1189,0.1254
279.0,60.0833,70.0874,73.6817,2779.0,279.0,20.0,226.4906,-0.0108,-0.2753
397.0,56.9956,147.6432,136.4441,6049.0,198.5,219.0,403.2989,0.0261,0.0796
199.0,114.0395,175.309,114.5044,7809.0,199.0,298.0,542.1965,-0.0044,0.0246
239.0,67.487,138.1304,63.8847,2087.0,159.0,100.0,937.0048,0.1859,0.1339
99.0,97.3088,193.0317,98.1147,7443.0,99.0,80.0,598.5065,0.0867,-0.0163
338.0,14.2215,252.3846,22.4611,6704.0,169.0,99.0,313.4358,0.2751,-0.078
238.0,79.6006,163.5619,92.6984,4448.0,238.0,219.0,29.7321,0.1432,-0.0873
139.0,61.7839,80.7233,57.1686,4925.0,139.0,179.0,226.1084,0.1196,0.0781
319.0,73.6495,135.0741,114.2322,2640.0,319.0,279.0,611.2454,-0.5825,-0.2575
198.0,80.5047,157.0796,52.5024,6617.0,99.0,119.0,811.6009,0.1191,0.1161
159.0,63.9414,442.0775,78.1745,9075.0,159.0,179.0,161.8919,0.2822,0.1472
159.0,58.6686,195.6074,65.4599,6448.0,159.0,139.0,122.0246,0.3484,0.2484
219.0,7.6322,172.0356,2.5495,149.0,159.0,239.0,117.2902,0.0865,0.032
318.0,54.6008,140.322,58.9788,5681.0,318.0,219.0,396.3647,0.243,0.0835
199.0,143.4721,373.5482,122.4827,10004.0,139.0,139.0,673.2674,0.143,0.1965
239.0,98.0319,53.3877,96.0534,3130.0,20.0,179.0,159.5306,2.3481,1.7801
80.0,159.4153,120.9153,150.6063,9358.0,80.0,99.0,438.8086,0.2407,0.0882
159.0,45.1054,73.3757,38.7105,5293.0,159.0,278.0,295.7364,0.1393,0.0798
319.0,32.596,177.5,24.5204,2799.0,179.0,219.0,105.2093,1.2187,0.5542
199.0,83.2902,209.1531,76.787,3905.0,159.0,179.0,48.2701,0.1753,0.1563
179.0,33.2453,510.6332,35.171,9451.0,179.0,99.0,162.0031,0.1271,0.1456
298.0,39.9531,86.9253,41.0122,9501.0,99.0,119.0,139.5421,0.1086,0.0471
99.0,116.5268,68.8368,122.173,9406.0,99.0,139.0,191.6507,0.2812,0.2232
179.0,143.3571,904.1507,157.4817,10274.0,179.0,159.0,147.8716,0.1168,0.3023
379.0,54.8179,94.4312,76.1528,2268.0,379.0,180.0,104.2017,1.5602,1.1122
