eyemove/table1.firstPassFixDur,eyemove/table1.landingPos,eyemove/table1.lastSaccLen,eyemove/table1.leavingPos,eyemove/table1.lineNo,eyemove/table1.meanFixDur,eyemove/table1.nextFixDur,eyemove/table1.prevFixPos,eyemove/table1.pupilDiamLag,eyemove/table1.pupilDiamMax
179.0,50.1224,350.8208,44.7493,241.0,179.0,219.0,116.4302,0.2394,0.0694
119.0,109.6141,262.894,91.7824,3396.0,119.0,219.0,219.1073,0.361,0.3965
398.0,144.6945,0.0,89.6172,1607.0,99.5,338.0,49.6588,0.1176,0.1176
219.0,49.163,224.0988,57.5587,10537.0,109.5,179.0,512.726,0.1057,0.0207
258.0,96.7187,300.6996,98.3933,6314.0,258.0,139.0,586.931,0.3765,0.2195
239.0,105.1404,1337.6251,100.4502,2526.0,239.0,179.0,227.774,1.7275,0.9915
199.0,74.6676,146.5034,81.5383,9050.0,199.0,139.0,168.003,0.1617,0.3797
99.0,62.3318,135.7765,69.3758,1042.0,199.0,258.0,101.8332,0.2389,0.0984
439.0,940.1707,239.4097,72.562,2903.0,146.3333,199.0,295.1779,0.6347,-0.1188
239.0,24.4591,311.1696,21.006,3011.0,239.0,219.0,124.1934,1.7096,0.8401
139.0,13.4629,353.2212,24.1868,9712.0,139.0,219.0,145.1689,0.233,0.0305
99.0,60.1103,199.6246,79.3804,6853.0,99.0,199.0,79.712,0.0869,0.1279
139.0,54.2033,62.3699,49.7016,8337.0,139.0,179.0,87.7268,0.2644,0.3659
338.0,151.5033,215.2324,61.7454,6195.0,169.0,199.0,554.3789,0.1946,-0.0449
139.0,39.3573,867.0066,43.6578,7788.0,139.0,139.0,263.0969,0.1526,0.0326
199.0,27.0185,126.4367,40.3887,6180.0,199.0,238.0,182.2745,0.1626,0.0316
278.0,91.1373,213.7832,103.4372,7666.0,278.0,159.0,182.3321,0.3791,0.2451
139.0,96.4909,262.0386,97.1815,9433.0,139.0,179.0,139.9178,0.1771,0.1286
199.0,51.5606,87.6584,47.6707,8179.0,199.0,139.0,100.2397,0.3394,0.2699
179.0,21.8289,637.1156,24.4233,5873.0,179.0,139.0,356.0506,0.2875,-0.0145
139.0,89.0126,180.0694,89.6465,9565.0,139.0,139.0,180.801,0.1856,0.2236
199.0,115.7325,163.01,111.3833,8840.0,199.0,139.0,215.1279,0.0708,0.0463
179.0,17.6139,142.8356,13.8293,863.0,179.0,179.0,92.2009,0.1339,0.1039
139.0,44.4325,163.1104,40.0,1944.0,139.0,99.0,100.2098,0.1934,0.2874
99.0,64.2806,103.5012,74.8014,6047.0,199.0,159.0,138.4377,0.0601,0.0796
