firstPassFixDur,meanFixDur,pupilDiamLag,pupilDiamMax,timePrtctg
119.0,119.0,0.4446,0.1541,0.0176
239.0,119.5,0.3264,0.0119,0.0239
357.0,178.6667,0.0859,0.0874,0.0431
219.0,99.0,0.1453,0.0173,0.0264
239.0,139.0,0.4074,0.3229,0.0288
259.0,259.0,0.5542,0.0947,0.0235
100.0,100.0,0.122,0.1085,0.0202
298.0,298.0,0.2636,0.1261,0.0207
239.0,239.0,0.5067,0.8257,0.0271
99.0,99.0,0.3344,0.1874,0.0085
915.0,219.0,0.114,0.0715,0.0147
558.0,558.0,2.0226,-0.2634,0.1015
379.0,379.0,0.948,1.1015,0.0096
279.0,139.5,0.1181,0.0361,0.0266
219.0,219.0,0.2907,0.2907,0.0467
357.0,119.0,0.1229,0.0699,0.0287
119.0,100.0,0.5105,0.193,0.0067
99.0,99.0,0.1377,0.1097,0.0098
438.0,238.0,0.029,0.057,0.0123
80.0,80.0,0.1124,0.0179,0.0082
99.0,99.0,0.082,0.0395,0.0157
179.0,179.0,0.3234,0.1649,0.0179
358.0,179.0,0.0864,0.1029,0.0288
238.0,119.0,0.1637,0.1117,0.0299
238.0,119.0,0.1206,-0.0039,0.0229
139.0,139.0,0.1027,0.1447,0.0175
239.0,80.0,0.1649,0.1494,0.008
139.0,139.0,0.2052,0.0532,0.0154
119.0,119.0,0.3302,0.1832,0.0211
100.0,100.0,0.5822,0.1722,0.0091
80.0,80.0,0.3735,0.2,0.0054
99.0,99.0,0.2141,0.1311,0.0131
80.0,80.0,0.1189,0.1254,0.0069
279.0,279.0,-0.0108,-0.2753,0.0253
397.0,198.5,0.0261,0.0796,0.0425
199.0,199.0,-0.0044,0.0246,0.019
239.0,159.0,0.1859,0.1339,0.0159
99.0,99.0,0.0867,-0.0163,0.0094
338.0,169.0,0.2751,-0.078,0.0749
238.0,238.0,0.1432,-0.0873,0.0297
139.0,139.0,0.1196,0.0781,0.0125
319.0,319.0,-0.5825,-0.2575,0.0338
198.0,99.0,0.1191,0.1161,0.0372
159.0,159.0,0.2822,0.1472,0.0268
159.0,159.0,0.3484,0.2484,0.034
219.0,159.0,0.0865,0.032,0.0142
318.0,318.0,0.243,0.0835,0.0305
199.0,139.0,0.143,0.1965,0.0186
239.0,20.0,2.3481,1.7801,0.0036
80.0,80.0,0.2407,0.0882,0.0116
159.0,159.0,0.1393,0.0798,0.0116
319.0,179.0,1.2187,0.5542,0.0162
199.0,159.0,0.1753,0.1563,0.0249
179.0,179.0,0.1271,0.1456,0.0124
298.0,99.0,0.1086,0.0471,0.0069
99.0,99.0,0.2812,0.2232,0.0155
179.0,179.0,0.1168,0.3023,0.0259
379.0,379.0,1.5602,1.1122,0.0234
279.0,279.0,1.4382,0.6492,0.0172
139.0,139.0,0.258,0.122,0.0281
139.0,159.0,0.3466,0.1256,0.0153
20.0,20.0,0.4364,-0.1566,0.003
139.0,139.0,0.2165,0.2781,0.0141
119.0,119.0,0.2765,0.213,0.017
159.0,159.0,0.0766,0.0351,0.014
139.0,139.0,0.2216,0.2326,0.0139
80.0,80.0,0.1487,0.0892,0.0132
179.0,399.0,1.7037,1.5777,0.0512
518.0,179.0,0.948,0.421,0.0045
99.0,99.0,0.1383,0.1383,0.0105
239.0,239.0,0.0116,-0.1024,0.0213
99.0,199.0,0.1167,0.1172,0.0096
80.0,179.0,0.4452,0.4497,0.0312
199.0,199.0,0.4533,0.1079,0.0335
258.0,258.0,0.126,0.059,0.0347
80.0,80.0,0.1795,0.1686,0.015
219.0,219.0,0.3143,0.3173,0.0608
139.0,139.0,0.0959,-0.0881,0.0279
298.0,219.0,0.3127,0.3207,0.0367
199.0,278.0,0.4063,0.1708,0.0501
378.0,189.0,0.9915,1.0005,0.0095
159.0,159.0,0.3329,0.3554,0.0136
160.0,99.0,0.419,0.162,0.01
278.0,129.5,0.0859,0.0539,0.0239
