assgNo,landingPos,pupilDiamLag
298.0,56.6326,0.4446
66.0,47.3207,0.3264
61.0,112.361,0.0859
315.0,79.8389,0.1453
204.0,96.7471,0.4074
85.0,144.9422,0.5542
302.0,58.1421,0.122
293.0,147.5212,0.2636
86.0,58.6195,0.5067
256.0,121.6737,0.3344
167.0,52.9953,0.114
95.0,16.8671,2.0226
78.0,1300.849,0.948
240.0,113.8036,0.1181
318.0,27.2259,0.2907
61.0,26.7442,0.1229
306.0,13.4629,0.5105
328.0,50.5594,0.1377
134.0,156.9984,0.029
203.0,93.5655,0.1124
333.0,38.7072,0.082
66.0,14.7054,0.3234
61.0,66.6652,0.0864
311.0,87.8208,0.1637
183.0,80.6226,0.1206
311.0,76.3692,0.1027
66.0,62.8431,0.1649
286.0,101.6132,0.2052
271.0,80.5062,0.3302
85.0,55.5203,0.5822
306.0,60.1041,0.3735
127.0,31.197,0.2141
31.0,66.4172,0.1189
85.0,60.0833,-0.0108
179.0,56.9956,0.0261
240.0,114.0395,-0.0044
66.0,67.487,0.1859
227.0,97.3088,0.0867
200.0,14.2215,0.2751
137.0,79.6006,0.1432
150.0,61.7839,0.1196
79.0,73.6495,-0.5825
197.0,80.5047,0.1191
285.0,63.9414,0.2822
191.0,58.6686,0.3484
5.0,7.6322,0.0865
168.0,54.6008,0.243
306.0,143.4721,0.143
95.0,98.0319,2.3481
290.0,159.4153,0.2407
159.0,45.1054,0.1393
85.0,32.596,1.2187
125.0,83.2902,0.1753
293.0,33.2453,0.1271
293.0,39.9531,0.1086
291.0,116.5268,0.2812
312.0,143.3571,0.1168
73.0,54.8179,1.5602
73.0,60.4669,1.4382
302.0,48.0521,0.258
183.0,87.0014,0.3466
72.0,63.1229,0.4364
194.0,60.7063,0.2165
99.0,76.3217,0.2765
52.0,91.9959,0.0766
236.0,71.8366,0.2216
317.0,82.1736,0.1487
87.0,988.7498,1.7037
78.0,304.2606,0.948
15.0,27.0601,0.1383
91.0,33.9485,0.0116
289.0,50.3314,0.1167
324.0,50.2245,0.4452
55.0,47.363,0.4533
6.0,60.208,0.126
197.0,25.4018,0.1795
119.0,85.5716,0.3143
8.0,85.4196,0.0959
231.0,65.123,0.3127
215.0,83.9345,0.4063
78.0,32.7185,0.9915
256.0,37.7922,0.3329
194.0,40.5123,0.419
11.0,57.0022,0.0859
274.0,15.6285,0.9383
303.0,98.8585,0.2395
23.0,56.8001,0.1396
44.0,76.7366,0.3776
17.0,85.1587,0.1968
83.0,53.584,1.011
251.0,28.4297,0.0073
14.0,42.0595,0.0823
293.0,124.501,0.3266
56.0,72.3343,0.0949
97.0,24.9098,1.1726
42.0,48.3141,0.8872
96.0,38.3438,-0.3184
83.0,51.7325,0.972
177.0,74.0304,0.2546
44.0,57.6888,0.2486
306.0,141.1427,0.1875
