eyemove/table5.assgNo,eyemove/table5.landingPos,eyemove/table5.pupilDiamLag
7.0,50.1224,0.2394
103.0,109.6141,0.361
48.0,144.6945,0.1176
321.0,49.163,0.1057
186.0,96.7187,0.3765
78.0,105.1404,1.7275
284.0,74.6676,0.1617
31.0,62.3318,0.2389
88.0,940.1707,0.6347
92.0,24.4591,1.7096
299.0,13.4629,0.233
206.0,60.1103,0.0869
261.0,54.2033,0.2644
183.0,151.5033,0.1946
240.0,39.3573,0.1526
182.0,27.0185,0.1626
236.0,91.1373,0.3791
292.0,96.4909,0.1771
255.0,51.5606,0.3394
174.0,21.8289,0.2875
295.0,89.0126,0.1856
279.0,115.7325,0.0708
26.0,17.6139,0.1339
61.0,44.4325,0.1934
179.0,64.2806,0.0601
333.0,15.5724,0.082
210.0,38.7105,0.2868
21.0,112.1985,0.1706
305.0,71.4493,0.325
311.0,93.1585,0.2537
331.0,88.1717,0.201
293.0,24.7891,0.0661
41.0,66.9216,0.1167
143.0,56.0022,0.2312
24.0,100.5448,0.1796
37.0,88.1618,0.1208
307.0,51.6624,0.2672
336.0,95.5196,0.473
143.0,88.5056,0.1682
48.0,138.6984,0.1176
212.0,4.5277,0.0218
150.0,61.0328,0.2586
229.0,99.077,0.1432
96.0,20.3039,1.1346
5.0,7.6322,0.0865
282.0,45.6207,0.1757
91.0,27.8298,-0.3694
135.0,148.5034,0.2655
133.0,70.1463,0.0945
180.0,79.9531,0.1126
30.0,46.8241,0.0989
307.0,77.5258,0.1492
321.0,44.9027,0.1057
202.0,64.3273,0.1319
195.0,23.0489,0.2895
255.0,54.0231,0.2719
75.0,158.7026,0.8192
75.0,94.578,0.6472
266.0,173.0,0.0437
293.0,26.2155,0.2226
273.0,44.3847,0.5007
201.0,68.7786,0.4224
44.0,42.1456,0.2671
291.0,122.0502,0.2497
130.0,69.857,0.0801
283.0,17.4141,0.1052
169.0,43.9318,0.3345
336.0,78.3534,0.1465
136.0,84.8248,0.0377
225.0,24.2539,0.1033
31.0,102.3536,0.1254
194.0,71.044,0.2165
78.0,1039.7126,1.016
236.0,4.6098,0.2451
70.0,50.2842,0.5974
220.0,114.7279,0.5446
230.0,23.9635,-0.0073
148.0,59.7704,0.1161
121.0,67.6702,0.2943
202.0,52.7376,0.0854
26.0,6.265,0.1039
72.0,43.0465,-0.4376
124.0,140.532,0.1143
321.0,58.5021,0.1612
333.0,23.2433,0.2545
261.0,32.6382,0.2644
99.0,29.6985,0.2765
333.0,51.8483,0.1595
157.0,75.5844,0.1518
31.0,155.5201,0.1189
238.0,50.065,0.1206
289.0,78.4873,0.2037
85.0,32.596,1.2187
308.0,58.8069,0.2347
231.0,93.6923,0.2927
12.0,72.2721,0.2978
155.0,113.0011,0.1538
296.0,113.0011,0.2596
99.0,65.7647,0.275
282.0,42.0595,0.0847
289.0,6.9462,0.3857
66.0,86.0886,0.1314
235.0,92.1805,0.1766
66.0,265.9497,0.3214
59.0,57.7603,0.4009
77.0,19.5,-0.2355
109.0,93.2872,0.5365
324.0,52.0312,0.1202
78.0,1105.9508,0.734
178.0,131.5086,0.3536
22.0,71.8923,0.0756
178.0,113.0177,0.0886
30.0,87.1321,0.2074
26.0,61.6543,0.1039
162.0,173.4013,0.0812
311.0,44.5702,0.2242
19.0,69.6796,0.0738
291.0,56.2072,0.1202
280.0,45.3542,0.1852
246.0,122.043,0.4633
66.0,48.1274,0.3214
57.0,74.0422,0.0259
73.0,54.8179,1.5602
294.0,35.2278,0.6081
283.0,81.3895,0.1462
249.0,33.541,0.2813
99.0,75.2629,0.273
132.0,50.2021,0.55
42.0,83.3217,0.0837
134.0,55.5,0.2625
287.0,72.2772,0.1342
73.0,34.176,2.8397
102.0,66.9795,0.237
65.0,20.1556,0.0969
37.0,42.7463,0.0263
287.0,61.5508,0.1542
165.0,58.1055,0.077
49.0,18.0347,0.6206
212.0,50.2195,0.0343
84.0,20.2485,1.3812
77.0,444.1734,0.6205
266.0,87.7055,0.2122
7.0,65.9735,0.5104
5.0,84.0387,0.17
293.0,108.5288,0.2056
147.0,82.7179,0.4981
316.0,76.2775,0.3523
52.0,25.5441,0.2636
206.0,105.3091,0.2544
246.0,166.7461,0.2198
142.0,41.824,0.2337
65.0,89.7399,0.1814
107.0,97.6281,0.4043
159.0,162.1496,0.0983
30.0,34.0037,0.0989
295.0,78.6591,0.0971
161.0,17.3277,0.1572
330.0,94.1409,0.308
211.0,79.925,0.2988
255.0,30.6961,0.2119
155.0,41.3098,0.2938
231.0,80.3275,0.3207
11.0,70.342,0.1169
101.0,57.2931,0.407
44.0,60.4401,0.0161
321.0,54.2609,0.0207
194.0,47.0106,0.419
149.0,65.2093,0.2786
41.0,27.8568,0.2352
321.0,80.5621,0.1612
26.0,135.559,0.1339
293.0,55.4707,0.2226
103.0,35.5985,0.361
78.0,78.8495,2.0375
140.0,71.9253,0.1572
163.0,99.0051,0.0652
136.0,35.5,0.2142
212.0,157.0032,0.4548
192.0,60.0333,0.0859
187.0,72.5603,0.253
202.0,28.4693,0.0854
174.0,26.9258,0.0305
83.0,32.1753,1.3035
302.0,11.068,0.258
81.0,71.0018,0.36
