landingPos,nextFixDur,prevFixPos,titleNo
56.6326,238.0,246.0732,4.0
47.3207,100.0,321.014,8.0
112.361,179.0,479.3078,4.0
79.8389,99.0,153.1698,4.0
96.7471,139.0,189.6207,2.0
144.9422,100.0,29.5466,7.0
58.1421,99.0,129.8345,2.0
147.5212,139.0,611.2356,7.0
58.6195,199.0,151.0033,4.0
121.6737,99.0,531.305,10.0
52.9953,159.0,138.7083,1.0
16.8671,239.0,292.7695,5.0
1300.849,359.0,403.1241,10.0
113.8036,219.0,433.1836,4.0
27.2259,119.0,82.7647,5.0
26.7442,179.0,161.7931,4.0
13.4629,179.0,404.0309,8.0
50.5594,179.0,68.4251,4.0
156.9984,199.0,626.2691,3.0
93.5655,179.0,85.0,4.0
38.7072,219.0,107.2986,3.0
14.7054,139.0,103.0776,5.0
66.6652,139.0,51.4296,4.0
87.8208,80.0,49.7293,5.0
80.6226,199.0,249.3933,5.0
76.3692,119.0,132.0606,5.0
62.8431,99.0,218.0734,1.0
101.6132,159.0,166.0753,7.0
80.5062,139.0,249.3391,4.0
55.5203,319.0,148.0304,7.0
60.1041,139.0,95.0474,5.0
31.197,219.0,257.8565,4.0
66.4172,159.0,80.05,3.0
60.0833,20.0,226.4906,3.0
56.9956,219.0,403.2989,4.0
114.0395,298.0,542.1965,6.0
67.487,100.0,937.0048,8.0
97.3088,80.0,598.5065,8.0
14.2215,99.0,313.4358,4.0
79.6006,219.0,29.7321,3.0
61.7839,179.0,226.1084,5.0
73.6495,279.0,611.2454,4.0
80.5047,119.0,811.6009,7.0
63.9414,179.0,161.8919,8.0
58.6686,139.0,122.0246,1.0
7.6322,239.0,117.2902,4.0
54.6008,219.0,396.3647,6.0
143.4721,139.0,673.2674,1.0
98.0319,179.0,159.5306,6.0
159.4153,99.0,438.8086,6.0
45.1054,278.0,295.7364,7.0
32.596,219.0,105.2093,8.0
83.2902,179.0,48.2701,5.0
33.2453,99.0,162.0031,2.0
39.9531,119.0,139.5421,3.0
116.5268,139.0,191.6507,8.0
143.3571,159.0,147.8716,10.0
54.8179,180.0,104.2017,2.0
60.4669,638.0,39.8121,4.0
48.0521,159.0,75.0067,4.0
87.0014,219.0,433.2955,7.0
63.1229,139.0,40.4475,3.0
60.7063,298.0,374.0856,10.0
76.3217,139.0,85.8429,8.0
91.9959,179.0,104.8094,10.0
71.8366,119.0,191.5124,4.0
82.1736,179.0,422.3565,5.0
988.7498,140.0,149.4824,1.0
304.2606,279.0,449.3607,6.0
27.0601,298.0,78.1025,3.0
33.9485,299.0,148.0304,5.0
50.3314,99.0,144.8862,4.0
50.2245,139.0,274.3319,9.0
47.363,258.0,53.9351,2.0
60.208,139.0,183.1338,5.0
25.4018,80.0,249.1907,3.0
85.5716,139.0,244.5976,2.0
85.4196,238.0,0.0,1.0
65.123,99.0,851.1498,8.0
83.9345,139.0,235.0191,5.0
32.7185,179.0,111.7229,10.0
37.7922,239.0,116.4302,1.0
40.5123,119.0,97.1854,8.0
57.0022,219.0,782.3094,2.0
15.6285,139.0,148.1216,10.0
98.8585,99.0,147.8716,6.0
56.8001,99.0,117.3797,6.0
76.7366,99.0,80.3617,8.0
85.1587,179.0,232.2154,2.0
53.584,159.0,72.3395,10.0
28.4297,258.0,119.5031,5.0
42.0595,159.0,139.4346,1.0
124.501,99.0,255.002,8.0
72.3343,159.0,181.5957,3.0
24.9098,179.0,0.0,2.0
48.3141,99.0,165.7739,9.0
38.3438,199.0,246.5461,3.0
51.7325,359.0,147.5568,7.0
74.0304,199.0,282.6889,5.0
57.6888,179.0,462.0444,8.0
141.1427,99.0,338.7152,1.0
100.2622,99.0,169.071,1.0
37.4233,199.0,153.0621,1.0
185.529,99.0,208.1178,3.0
53.8516,139.0,66.3702,10.0
143.3911,179.0,384.4268,1.0
35.8469,139.0,31.4006,5.0
14.1156,99.0,71.5542,10.0
83.8824,80.0,477.6829,7.0
44.3001,139.0,85.235,6.0
78.4873,159.0,205.061,1.0
90.4461,99.0,137.0328,2.0
157.2872,199.0,171.0497,6.0
42.5265,139.0,77.4145,2.0
102.7485,20.0,34.0,2.0
63.6946,219.0,155.9295,9.0
6.3246,239.0,110.1136,1.0
57.8662,199.0,220.8189,6.0
6.0828,238.0,143.0559,8.0
95.0842,99.0,287.0436,4.0
82.609,238.0,34.8281,4.0
50.0849,159.0,73.6817,7.0
37.0742,139.0,178.6197,8.0
89.405,179.0,158.0791,6.0
65.0,139.0,113.0708,8.0
97.7663,99.0,802.202,9.0
21.6391,239.0,84.119,4.0
57.0548,139.0,157.0509,10.0
