P2stFixation,firstSaccLen,lastSaccLen,nextWordRegress,prevFixDur,prevFixPos,regressDur,wordNo
1,300.1666,288.0156,0,99.0,246.0732,0.0,3.0
1,306.1066,117.2359,1,119.0,321.014,159.0,1.0
1,590.5294,805.0531,0,139.0,479.3078,0.0,8.0
0,80.9475,306.5587,1,199.0,153.1698,396.0,2.0
1,110.7576,161.4845,1,80.0,189.6207,378.0,1.0
0,173.4416,204.5,0,179.0,29.5466,0.0,3.0
0,70.8025,245.0862,0,199.0,129.8345,0.0,2.0
0,467.285,208.5402,1,159.0,611.2356,0.0,1.0
0,103.64,100.3606,1,359.0,151.0033,717.0,3.0
0,411.2922,169.3259,0,239.0,531.305,198.0,2.0
1,133.7171,114.2147,1,0.0,138.7083,716.0,1.0
0,309.7773,115.434,0,179.0,292.7695,0.0,2.0
0,1600.9859,1098.318,0,120.0,403.1241,817.0,4.0
0,333.7911,70.2638,1,219.0,433.1836,916.0,1.0
0,99.2182,0.0,0,99.0,82.7647,0.0,6.0
1,186.1511,921.2918,0,139.0,161.7931,0.0,8.0
1,415.0976,407.939,0,80.0,404.0309,800.0,5.0
0,110.911,536.0784,0,99.0,68.4251,0.0,7.0
1,476.607,115.0848,1,219.0,626.2691,835.0,1.0
0,173.954,557.0613,0,80.0,85.0,0.0,6.0
0,150.4028,394.0381,0,179.0,107.2986,0.0,5.0
0,121.1084,98.6927,1,179.0,103.0776,179.0,1.0
1,108.5564,79.5692,1,80.0,51.4296,0.0,5.0
0,126.935,180.0062,0,139.0,49.7293,0.0,3.0
0,333.524,116.0097,0,139.0,249.3933,0.0,4.0
0,204.7102,126.935,0,119.0,132.0606,0.0,2.0
0,196.5204,50.324,1,139.0,218.0734,279.0,1.0
0,264.5468,398.0028,0,80.0,166.0753,0.0,4.0
0,327.5336,306.9405,0,179.0,249.3391,0.0,4.0
0,204.5,560.7069,0,259.0,148.0304,0.0,4.0
1,159.6598,182.4966,0,179.0,95.0474,1272.0,3.0
1,285.3003,564.6072,0,139.0,257.8565,0.0,6.0
1,142.6482,94.7629,1,219.0,80.05,159.0,3.0
1,182.3904,70.0874,0,259.0,226.4906,0.0,1.0
0,358.2304,147.6432,0,139.0,403.2989,0.0,1.0
0,437.7925,175.309,0,159.0,542.1965,199.0,2.0
1,874.0631,138.1304,1,119.0,937.0048,159.0,1.0
1,522.0931,193.0317,0,656.0,598.5065,0.0,4.0
0,300.5004,252.3846,0,99.0,313.4358,676.0,3.0
0,104.0048,163.5619,1,119.0,29.7321,0.0,3.0
0,179.5341,80.7233,0,139.0,226.1084,139.0,1.0
0,556.234,135.0741,1,199.0,611.2454,578.0,1.0
0,728.6323,157.0796,1,80.0,811.6009,99.0,1.0
0,120.7487,442.0775,0,139.0,161.8919,0.0,3.0
0,182.0687,195.6074,0,199.0,122.0246,0.0,2.0
1,111.5672,172.0356,0,179.0,117.2902,0.0,2.0
0,346.5274,140.322,0,119.0,396.3647,0.0,1.0
1,632.7152,373.5482,0,0.0,673.2674,2224.0,1.0
0,66.7308,53.3877,1,558.0,159.5306,20.0,1.0
0,296.9621,120.9153,0,99.0,438.8086,0.0,1.0
1,316.2673,73.3757,0,119.0,295.7364,99.0,6.0
1,70.0,177.5,0,100.0,105.2093,0.0,1.0
1,120.8356,209.1531,0,139.0,48.2701,358.0,6.0
1,124.6445,510.6332,1,298.0,162.0031,1074.0,4.0
1,96.9239,86.9253,1,80.0,139.5421,495.0,3.0
1,90.4268,68.8368,1,159.0,191.6507,139.0,1.0
1,291.689,904.1507,0,278.0,147.8716,0.0,5.0
1,59.1354,94.4312,1,20.0,104.2017,1056.0,1.0
0,65.5534,146.1617,0,777.0,39.8121,0.0,2.0
0,120.3755,160.1811,0,100.0,75.0067,0.0,3.0
0,349.7417,95.0,0,159.0,433.2955,159.0,1.0
1,58.4337,61.0082,0,299.0,40.4475,0.0,8.0
1,430.0012,224.5802,0,99.0,374.0856,278.0,5.0
0,165.5272,84.537,0,80.0,85.8429,0.0,2.0
1,198.142,848.0908,0,139.0,104.8094,0.0,2.0
1,256.9679,284.3554,0,80.0,191.5124,0.0,3.0
1,337.9778,213.8019,0,99.0,422.3565,0.0,2.0
0,1123.4996,167.0397,1,20.0,149.4824,399.0,2.0
1,112.5722,153.5008,1,139.0,449.3607,11140.0,1.0
1,104.1561,142.0079,0,258.0,78.1025,0.0,2.0
1,1214.4073,156.1802,1,199.0,148.0304,319.0,3.0
1,191.1675,190.9097,1,139.0,144.8862,4116.0,3.0
0,249.2007,688.3931,1,80.0,274.3319,179.0,6.0
0,97.751,318.2267,0,139.0,53.9351,0.0,4.0
1,119.5094,302.0348,1,159.0,183.1338,258.0,4.0
1,224.2733,330.276,0,119.0,249.1907,80.0,1.0
0,173.1134,105.7946,0,80.0,244.5976,0.0,1.0
0,0.0,145.0078,0,0.0,0.0,0.0,1.0
1,799.2723,37.1652,0,219.0,851.1498,0.0,1.0
1,159.7568,99.5691,0,99.0,235.0191,835.0,1.0
1,88.0525,70.0071,0,339.0,111.7229,0.0,1.0
1,144.5078,91.0014,0,139.0,116.4302,0.0,4.0
1,135.5083,159.8132,1,139.0,97.1854,99.0,6.0
1,722.2557,222.2082,0,179.0,782.3094,1074.0,2.0
