P1stFixation,label,nextWordRegress,prevFixDur,prevFixPos,regressDur,wordNo
0,0,0,99.0,246.0732,0.0,3.0
1,0,1,119.0,321.014,159.0,1.0
0,0,0,139.0,479.3078,0.0,8.0
1,0,1,199.0,153.1698,396.0,2.0
1,0,1,80.0,189.6207,378.0,1.0
1,0,0,179.0,29.5466,0.0,3.0
1,0,0,199.0,129.8345,0.0,2.0
1,0,1,159.0,611.2356,0.0,1.0
1,0,1,359.0,151.0033,717.0,3.0
1,0,0,239.0,531.305,198.0,2.0
1,0,1,0.0,138.7083,716.0,1.0
1,0,0,179.0,292.7695,0.0,2.0
0,0,0,120.0,403.1241,817.0,4.0
0,0,1,219.0,433.1836,916.0,1.0
1,0,0,99.0,82.7647,0.0,6.0
0,0,0,139.0,161.7931,0.0,8.0
1,0,0,80.0,404.0309,800.0,5.0
1,0,0,99.0,68.4251,0.0,7.0
0,0,1,219.0,626.2691,835.0,1.0
0,0,0,80.0,85.0,0.0,6.0
1,0,0,179.0,107.2986,0.0,5.0
0,0,1,179.0,103.0776,179.0,1.0
0,0,1,80.0,51.4296,0.0,5.0
1,0,0,139.0,49.7293,0.0,3.0
1,0,0,139.0,249.3933,0.0,4.0
1,0,0,119.0,132.0606,0.0,2.0
0,0,1,139.0,218.0734,279.0,1.0
1,0,0,80.0,166.0753,0.0,4.0
1,0,0,179.0,249.3391,0.0,4.0
1,0,0,259.0,148.0304,0.0,4.0
1,0,0,179.0,95.0474,1272.0,3.0
0,0,0,139.0,257.8565,0.0,6.0
0,0,1,219.0,80.05,159.0,3.0
0,0,0,259.0,226.4906,0.0,1.0
1,0,0,139.0,403.2989,0.0,1.0
0,0,0,159.0,542.1965,199.0,2.0
1,0,1,119.0,937.0048,159.0,1.0
0,0,0,656.0,598.5065,0.0,4.0
0,0,0,99.0,313.4358,676.0,3.0
1,0,1,119.0,29.7321,0.0,3.0
1,0,0,139.0,226.1084,139.0,1.0
0,0,1,199.0,611.2454,578.0,1.0
1,0,1,80.0,811.6009,99.0,1.0
1,0,0,139.0,161.8919,0.0,3.0
1,0,0,199.0,122.0246,0.0,2.0
1,0,0,179.0,117.2902,0.0,2.0
1,0,0,119.0,396.3647,0.0,1.0
1,0,0,0.0,673.2674,2224.0,1.0
1,0,1,558.0,159.5306,20.0,1.0
1,0,0,99.0,438.8086,0.0,1.0
1,0,0,119.0,295.7364,99.0,6.0
1,0,0,100.0,105.2093,0.0,1.0
0,0,0,139.0,48.2701,358.0,6.0
1,0,1,298.0,162.0031,1074.0,4.0
0,0,1,80.0,139.5421,495.0,3.0
0,0,1,159.0,191.6507,139.0,1.0
1,0,0,278.0,147.8716,0.0,5.0
1,0,1,20.0,104.2017,1056.0,1.0
1,0,0,777.0,39.8121,0.0,2.0
1,0,0,100.0,75.0067,0.0,3.0
1,0,0,159.0,433.2955,159.0,1.0
0,0,0,299.0,40.4475,0.0,8.0
1,0,0,99.0,374.0856,278.0,5.0
1,0,0,80.0,85.8429,0.0,2.0
0,0,0,139.0,104.8094,0.0,2.0
0,0,0,80.0,191.5124,0.0,3.0
0,0,0,99.0,422.3565,0.0,2.0
1,0,1,20.0,149.4824,399.0,2.0
1,0,1,139.0,449.3607,11140.0,1.0
1,0,0,258.0,78.1025,0.0,2.0
1,0,1,199.0,148.0304,319.0,3.0
1,0,1,139.0,144.8862,4116.0,3.0
1,0,1,80.0,274.3319,179.0,6.0
1,0,0,139.0,53.9351,0.0,4.0
0,0,1,159.0,183.1338,258.0,4.0
0,0,0,119.0,249.1907,80.0,1.0
1,0,0,80.0,244.5976,0.0,1.0
1,0,0,0.0,0.0,0.0,1.0
1,0,0,219.0,851.1498,0.0,1.0
1,0,0,99.0,235.0191,835.0,1.0
1,0,0,339.0,111.7229,0.0,1.0
0,0,0,139.0,116.4302,0.0,4.0
1,0,1,139.0,97.1854,99.0,6.0
1,0,0,179.0,782.3094,1074.0,2.0
1,0,1,179.0,148.1216,199.0,3.0
1,0,0,119.0,147.8716,0.0,1.0
1,0,0,537.0,117.3797,0.0,1.0
1,0,0,219.0,80.3617,676.0,7.0
1,0,0,139.0,232.2154,0.0,6.0
1,0,1,259.0,72.3395,159.0,2.0
1,0,0,219.0,119.5031,0.0,1.0
1,0,1,219.0,139.4346,298.0,6.0
1,0,1,99.0,255.002,198.0,3.0
1,0,0,80.0,181.5957,0.0,1.0
1,0,1,0.0,0.0,1074.0,1.0
1,0,0,238.0,165.7739,0.0,2.0
1,0,0,219.0,246.5461,0.0,2.0
1,0,0,1036.0,147.5568,418.0,1.0
1,0,0,199.0,282.6889,0.0,1.0
1,0,0,139.0,462.0444,318.0,1.0
1,0,0,199.0,338.7152,1431.0,2.0
1,0,0,238.0,169.071,0.0,1.0
1,0,1,139.0,153.0621,477.0,4.0
1,0,1,219.0,208.1178,954.0,4.0
1,0,0,99.0,66.3702,0.0,9.0
1,0,1,119.0,384.4268,0.0,1.0
1,0,0,179.0,31.4006,259.0,2.0
0,0,0,258.0,71.5542,0.0,4.0
1,0,0,119.0,477.6829,0.0,1.0
1,0,0,100.0,85.235,0.0,3.0
1,0,1,99.0,205.061,198.0,5.0
0,0,0,99.0,137.0328,0.0,2.0
1,0,1,199.0,171.0497,4861.0,2.0
1,0,1,159.0,77.4145,139.0,2.0
0,0,0,179.0,34.0,0.0,6.0
1,0,1,99.0,155.9295,337.0,6.0
1,0,0,199.0,110.1136,0.0,5.0
1,0,0,239.0,220.8189,0.0,3.0
1,0,0,119.0,143.0559,0.0,7.0
1,0,0,179.0,287.0436,0.0,7.0
0,0,0,80.0,34.8281,219.0,3.0
1,0,0,139.0,73.6817,0.0,5.0
1,0,0,99.0,178.6197,139.0,3.0
1,0,0,139.0,158.0791,0.0,7.0
1,0,0,199.0,113.0708,0.0,2.0
1,0,0,278.0,802.202,298.0,1.0
1,0,1,179.0,84.119,697.0,4.0
1,0,0,119.0,157.0509,0.0,4.0
1,0,0,219.0,112.272,0.0,3.0
1,0,0,179.0,27.2029,0.0,6.0
0,0,1,80.0,172.4181,337.0,3.0
1,0,0,80.0,130.4301,0.0,1.0
1,0,1,139.0,79.404,1314.0,2.0
0,0,1,139.0,655.5151,0.0,1.0
1,0,0,298.0,540.0037,297.0,3.0
1,0,0,99.0,692.7518,0.0,4.0
1,0,1,119.0,129.2478,199.0,1.0
1,0,0,179.0,398.5273,0.0,1.0
1,0,0,199.0,183.1338,0.0,3.0
1,0,0,159.0,27.8568,0.0,5.0
1,0,1,119.0,268.1511,159.0,4.0
0,0,0,219.0,89.0505,0.0,5.0
1,0,0,99.0,143.0105,0.0,1.0
1,0,0,139.0,267.5556,0.0,1.0
1,0,0,199.0,130.1768,0.0,1.0
0,0,1,139.0,171.8139,279.0,1.0
0,0,0,219.0,120.0042,0.0,8.0
1,0,0,80.0,928.4724,0.0,1.0
1,0,0,199.0,52.345,0.0,2.0
0,0,1,278.0,110.6029,0.0,1.0
1,0,0,99.0,256.0176,318.0,5.0
1,0,0,0.0,16.9706,159.0,2.0
1,0,0,99.0,160.8509,139.0,1.0
1,0,0,219.0,45.0111,0.0,2.0
1,0,0,159.0,793.7487,0.0,1.0
1,0,0,417.0,116.297,0.0,2.0
1,0,0,0.0,0.0,0.0,3.0
1,0,1,259.0,101.1237,219.0,2.0
1,0,0,139.0,63.3246,159.0,2.0
1,0,0,179.0,280.1946,0.0,6.0
1,0,0,80.0,400.3199,0.0,4.0
1,0,0,80.0,95.0211,0.0,9.0
1,0,0,199.0,785.9421,0.0,2.0
1,0,0,219.0,79.2465,0.0,3.0
1,0,0,239.0,229.0546,159.0,3.0
1,0,0,80.0,47.8539,0.0,3.0
1,0,0,99.0,805.0894,278.0,1.0
1,0,0,279.0,270.0685,279.0,2.0
1,0,0,518.0,463.1069,199.0,1.0
1,0,1,238.0,219.9204,119.0,3.0
1,0,0,139.0,548.6,139.0,2.0
1,0,0,80.0,62.3699,318.0,3.0
1,0,0,99.0,448.3079,0.0,1.0
1,0,1,199.0,98.7623,597.0,1.0
0,0,0,179.0,113.7453,0.0,2.0
1,0,1,99.0,123.0447,1012.0,5.0
1,0,0,139.0,80.6226,637.0,3.0
1,0,0,80.0,352.966,0.0,1.0
1,0,0,0.0,0.0,0.0,2.0
1,0,0,179.0,73.5459,0.0,5.0
0,0,0,119.0,26.3059,279.0,3.0
1,0,0,179.0,54.4518,596.0,5.0
1,0,0,119.0,89.56,0.0,2.0
1,0,0,199.0,65.521,0.0,5.0
1,0,0,99.0,49.0408,238.0,2.0
1,0,0,119.0,216.2267,0.0,5.0
1,0,0,0.0,0.0,0.0,1.0
0,0,0,139.0,133.0038,0.0,5.0
1,0,1,80.0,71.0282,99.0,7.0
1,0,0,219.0,311.2073,537.0,4.0
0,0,0,199.0,116.6919,0.0,3.0
1,0,0,139.0,40.05,0.0,5.0
0,0,1,139.0,106.0189,0.0,2.0
1,0,0,159.0,144.9724,0.0,1.0
1,0,0,139.0,88.0227,0.0,6.0
1,0,0,179.0,58.2151,0.0,2.0
1,0,0,179.0,126.6689,0.0,3.0
1,0,0,80.0,46.1736,119.0,3.0
1,0,1,80.0,233.0536,853.0,4.0
1,0,0,80.0,193.189,0.0,3.0
1,0,0,219.0,288.295,0.0,2.0
1,0,0,159.0,232.9571,139.0,1.0
1,0,0,80.0,86.0233,0.0,4.0
0,0,0,139.0,105.1903,0.0,2.0
0,0,0,80.0,173.4618,0.0,4.0
1,0,1,159.0,212.8497,199.0,4.0
0,0,0,139.0,199.0226,0.0,3.0
1,0,0,99.0,124.4588,0.0,1.0
1,0,0,139.0,87.0919,0.0,3.0
1,0,0,278.0,448.0179,219.0,1.0
0,0,1,179.0,188.5338,278.0,1.0
1,0,0,259.0,273.3368,0.0,7.0
1,0,0,159.0,577.5483,0.0,1.0
1,0,1,139.0,270.0685,139.0,4.0
1,0,0,159.0,11.4018,0.0,3.0
1,0,0,139.0,73.4302,0.0,4.0
1,0,0,0.0,0.0,994.0,1.0
1,0,0,179.0,56.0892,0.0,4.0
1,0,0,139.0,231.1385,0.0,1.0
1,0,1,159.0,189.0423,298.0,3.0
1,0,0,119.0,505.6679,0.0,1.0
0,0,0,139.0,136.3305,0.0,5.0
0,0,0,99.0,173.2888,0.0,8.0
1,0,0,120.0,451.3059,0.0,1.0
0,0,0,139.0,387.9652,239.0,2.0
0,0,0,99.0,173.7613,0.0,4.0
0,0,0,99.0,133.0338,0.0,6.0
1,0,0,278.0,212.2287,0.0,1.0
1,0,0,139.0,100.2098,398.0,1.0
1,0,1,80.0,179.1005,179.0,6.0
1,0,0,179.0,683.4574,557.0,2.0
1,0,0,99.0,971.9532,0.0,1.0
1,0,0,258.0,271.9743,0.0,4.0
1,0,0,80.0,62.0,0.0,4.0
1,0,0,298.0,157.0,0.0,3.0
1,0,0,0.0,200.6091,0.0,1.0
1,0,0,258.0,32.573,0.0,2.0
1,0,0,199.0,280.765,1431.0,1.0
1,0,0,139.0,486.3517,0.0,1.0
0,0,0,159.0,352.196,0.0,5.0
1,0,0,278.0,65.0692,278.0,2.0
1,0,0,179.0,216.0579,0.0,7.0
1,0,0,119.0,105.7592,0.0,1.0
0,0,0,159.0,109.165,0.0,6.0
1,0,0,119.0,728.0934,0.0,1.0
1,0,0,219.0,199.572,0.0,4.0
0,0,0,99.0,310.6638,0.0,2.0
1,0,0,119.0,609.7647,0.0,1.0
0,0,0,179.0,244.4934,0.0,4.0
1,0,0,80.0,108.9082,0.0,4.0
1,0,0,119.0,134.1827,695.0,4.0
1,0,0,258.0,120.3536,0.0,3.0
1,0,0,219.0,236.1715,0.0,3.0
1,0,1,139.0,157.8132,278.0,2.0
0,0,0,199.0,122.0369,0.0,5.0
1,0,0,139.0,42.5793,0.0,2.0
1,0,0,0.0,0.0,0.0,3.0
1,0,0,219.0,361.2478,159.0,2.0
1,0,0,139.0,9.0554,0.0,2.0
1,0,0,139.0,363.3731,0.0,1.0
0,0,0,159.0,148.3678,0.0,3.0
1,0,0,139.0,201.2486,0.0,5.0
1,0,1,99.0,170.0735,139.0,4.0
1,0,0,0.0,0.0,0.0,1.0
0,0,0,159.0,27.313,417.0,3.0
1,0,0,80.0,80.4984,0.0,2.0
1,0,0,119.0,375.4797,0.0,1.0
1,0,1,100.0,237.0,458.0,1.0
1,0,0,238.0,60.1332,159.0,2.0
1,0,0,99.0,711.1807,0.0,1.0
1,0,1,258.0,354.0056,238.0,4.0
1,0,0,199.0,123.3288,0.0,4.0
1,0,1,99.0,124.4588,99.0,3.0
1,0,0,258.0,168.8342,0.0,2.0
1,0,1,119.0,133.0038,278.0,1.0
1,0,1,119.0,123.8225,0.0,3.0
1,0,0,179.0,25.7099,656.0,4.0
1,0,0,179.0,87.0919,0.0,1.0
1,0,0,0.0,228.1162,0.0,1.0
0,0,0,179.0,89.1403,0.0,3.0
1,0,1,99.0,99.5038,139.0,2.0
1,0,0,119.0,45.5412,0.0,3.0
1,0,0,119.0,117.3882,0.0,2.0
1,0,0,139.0,71.1688,318.0,1.0
