eyemove/table8.P1stFixation,eyemove/table8.nextWordRegress,eyemove/table8.prevFixPos,eyemove/table8.regressDur,eyemove/table8.wordNo,prevFixDur,label
0,1,116.4302,179.0,3.0,219.0,0
0,1,219.1073,119.0,4.0,139.0,1
1,0,49.6588,398.0,3.0,99.0,1
0,0,512.726,219.0,1.0,179.0,1
1,0,586.931,0.0,1.0,179.0,1
0,0,227.774,0.0,6.0,199.0,1
1,0,168.003,0.0,3.0,119.0,0
1,0,101.8332,99.0,1.0,239.0,1
1,0,295.1779,0.0,1.0,119.0,1
1,0,124.1934,0.0,4.0,259.0,1
1,0,145.1689,0.0,4.0,199.0,1
1,0,79.712,99.0,5.0,99.0,0
1,0,87.7268,0.0,1.0,179.0,1
1,0,554.3789,0.0,1.0,179.0,0
1,1,263.0969,417.0,7.0,179.0,1
1,0,182.2745,0.0,3.0,139.0,1
1,0,182.3321,437.0,3.0,258.0,0
1,0,139.9178,0.0,3.0,99.0,1
1,0,100.2397,0.0,1.0,239.0,1
0,0,356.0506,0.0,5.0,179.0,1
1,0,180.801,0.0,4.0,179.0,1
1,0,215.1279,0.0,4.0,99.0,0
1,0,92.2009,0.0,2.0,259.0,0
1,0,100.2098,0.0,1.0,239.0,0
1,0,138.4377,0.0,2.0,0.0,1
1,0,90.5207,0.0,2.0,99.0,1
1,0,341.4235,99.0,8.0,99.0,1
1,0,369.1951,556.0,1.0,258.0,1
1,0,137.2006,0.0,1.0,258.0,1
1,0,198.0227,139.0,5.0,80.0,0
1,0,0.0,0.0,1.0,0.0,1
0,1,190.7669,1112.0,2.0,99.0,0
1,0,358.0796,0.0,2.0,80.0,1
1,0,72.1803,0.0,6.0,199.0,1
1,0,193.0104,0.0,6.0,159.0,0
1,1,658.041,298.0,1.0,239.0,0
1,0,363.3731,0.0,1.0,139.0,0
1,0,23.4094,0.0,6.0,179.0,1
1,0,77.026,0.0,3.0,219.0,1
1,0,655.4647,258.0,1.0,358.0,0
1,0,100.8464,0.0,5.0,139.0,1
0,0,69.5701,0.0,5.0,239.0,0
1,0,120.9339,0.0,1.0,179.0,1
1,0,144.2221,0.0,4.0,179.0,0
1,0,117.2902,0.0,2.0,179.0,0
1,0,229.8369,0.0,3.0,159.0,1
1,1,149.7531,299.0,2.0,20.0,1
0,0,122.0041,99.0,3.0,100.0,1
1,0,41.4367,179.0,3.0,179.0,0
1,0,12.0416,0.0,5.0,238.0,1
0,0,145.4166,0.0,7.0,139.0,1
1,0,128.4251,0.0,1.0,119.0,1
1,1,185.0,278.0,3.0,80.0,1
1,0,267.1666,377.0,1.0,80.0,1
1,0,321.4094,0.0,2.0,0.0,1
1,0,0.0,0.0,1.0,0.0,1
1,0,301.0149,359.0,1.0,20.0,1
0,0,38.9487,259.0,4.0,259.0,1
1,0,74.5453,0.0,4.0,179.0,1
1,0,130.4186,1253.0,7.0,119.0,1
1,0,167.5739,0.0,1.0,179.0,1
1,0,608.3584,0.0,1.0,139.0,1
1,0,63.3246,0.0,4.0,179.0,0
1,0,615.7085,0.0,1.0,219.0,0
1,0,352.1718,0.0,5.0,258.0,0
1,1,267.0805,139.0,4.0,199.0,1
1,0,249.3933,199.0,1.0,139.0,0
1,0,554.4628,0.0,1.0,378.0,0
0,0,138.7083,278.0,3.0,398.0,0
1,0,156.5439,0.0,4.0,139.0,1
1,1,579.9078,338.0,1.0,179.0,0
1,0,130.9695,0.0,1.0,119.0,0
1,0,480.713,3984.0,3.0,219.0,1
1,0,225.1089,0.0,6.0,199.0,0
1,0,61.6847,0.0,4.0,239.0,0
1,0,200.5617,0.0,5.0,159.0,0
1,0,341.2038,0.0,2.0,119.0,0
0,0,540.0009,995.0,1.0,139.0,1
1,0,51.0,0.0,2.0,159.0,1
1,0,258.2789,378.0,1.0,80.0,1
1,0,56.0892,0.0,4.0,139.0,1
1,0,114.5295,159.0,3.0,219.0,1
0,0,144.9586,0.0,1.0,398.0,1
1,1,153.7303,438.0,3.0,99.0,1
0,0,150.2065,0.0,3.0,139.0,0
1,0,77.9359,0.0,1.0,139.0,0
0,0,30.5941,0.0,3.0,139.0,0
1,0,104.1201,0.0,3.0,159.0,0
0,1,188.5338,278.0,1.0,179.0,0
0,0,231.8211,0.0,1.0,238.0,1
1,0,267.1872,0.0,5.0,139.0,1
1,1,205.061,198.0,5.0,99.0,0
1,0,105.2093,0.0,1.0,100.0,0
1,0,38.2884,0.0,5.0,99.0,0
1,1,127.9531,179.0,1.0,139.0,0
1,0,182.0165,0.0,1.0,99.0,1
1,0,96.7729,0.0,2.0,99.0,0
1,0,560.2758,0.0,1.0,100.0,0
1,0,272.1176,0.0,1.0,80.0,1
1,1,158.978,358.0,1.0,159.0,0
0,0,704.0028,0.0,6.0,100.0,1
1,0,364.9658,577.0,1.0,100.0,1
1,0,457.28,198.0,1.0,119.0,1
0,0,111.6154,0.0,4.0,99.0,0
1,0,220.0954,438.0,2.0,159.0,0
1,1,238.0336,338.0,4.0,518.0,0
1,0,193.383,0.0,5.0,119.0,1
1,0,91.0659,0.0,1.0,179.0,1
1,0,578.2499,936.0,3.0,199.0,0
1,0,41.7732,99.0,8.0,80.0,0
1,0,565.0434,3479.0,1.0,298.0,1
1,0,245.1775,0.0,3.0,219.0,1
1,0,167.5858,0.0,2.0,497.0,1
1,0,0.0,0.0,1.0,0.0,0
1,0,224.3212,0.0,3.0,437.0,1
1,0,177.4965,0.0,6.0,99.0,1
1,0,84.006,80.0,2.0,139.0,0
1,0,253.16,0.0,3.0,139.0,1
1,0,246.5198,0.0,4.0,179.0,0
1,0,501.8297,298.0,1.0,139.0,1
0,0,119.4362,0.0,4.0,119.0,1
1,1,110.7655,615.0,1.0,99.0,1
1,1,104.2017,1056.0,1.0,20.0,0
1,0,304.5866,0.0,1.0,179.0,1
1,0,105.4751,0.0,3.0,119.0,1
1,0,101.3558,0.0,1.0,139.0,1
1,0,110.6345,0.0,1.0,179.0,1
1,0,86.4696,359.0,6.0,239.0,0
0,0,51.0392,0.0,4.0,179.0,0
1,1,51.0392,975.0,2.0,179.0,1
1,0,353.2039,259.0,6.0,99.0,0
1,1,110.0182,819.0,3.0,20.0,0
1,0,349.3666,0.0,5.0,99.0,0
1,0,58.3095,0.0,4.0,139.0,0
1,0,89.627,0.0,1.0,0.0,0
1,1,301.0149,457.0,3.0,219.0,0
0,0,278.2589,259.0,3.0,119.0,1
