eyemove/table9.P2stFixation,eyemove/table9.lastSaccLen,eyemove/table9.regressDur,eyemove/table9.regressLen,eyemove/table9.wordNo,prevFixDur
1,350.8208,179.0,0.0,3.0,219.0
1,262.894,119.0,0.0,4.0,139.0
0,0.0,398.0,0.0,3.0,99.0
1,224.0988,219.0,0.0,1.0,179.0
0,300.6996,0.0,0.0,1.0,179.0
1,1337.6251,0.0,0.0,6.0,199.0
0,146.5034,0.0,0.0,3.0,119.0
1,135.7765,99.0,0.0,1.0,239.0
0,239.4097,0.0,0.0,1.0,119.0
0,311.1696,0.0,0.0,4.0,259.0
0,353.2212,0.0,0.0,4.0,199.0
0,199.6246,99.0,1409.0,5.0,99.0
0,62.3699,0.0,0.0,1.0,179.0
0,215.2324,0.0,0.0,1.0,179.0
0,867.0066,417.0,0.0,7.0,179.0
0,126.4367,0.0,0.0,3.0,139.0
1,213.7832,437.0,239.0,3.0,258.0
0,262.0386,0.0,0.0,3.0,99.0
0,87.6584,0.0,0.0,1.0,239.0
1,637.1156,0.0,0.0,5.0,179.0
0,180.0694,0.0,298.0,4.0,179.0
0,163.01,0.0,0.0,4.0,99.0
0,142.8356,0.0,0.0,2.0,259.0
0,163.1104,0.0,0.0,1.0,239.0
1,103.5012,0.0,0.0,2.0,0.0
0,163.6498,0.0,0.0,2.0,99.0
0,169.1065,99.0,0.0,8.0,99.0
1,77.666,556.0,0.0,1.0,258.0
0,239.5005,0.0,0.0,1.0,258.0
0,107.4826,139.0,0.0,5.0,80.0
0,127.9932,0.0,0.0,1.0,0.0
1,48.9311,1112.0,457.0,2.0,99.0
1,62.1168,0.0,159.0,2.0,80.0
0,751.5585,0.0,0.0,6.0,199.0
0,251.8358,0.0,0.0,6.0,159.0
1,72.8371,298.0,0.0,1.0,239.0
0,141.1737,0.0,0.0,1.0,139.0
0,718.3572,0.0,0.0,6.0,179.0
0,238.5886,0.0,0.0,3.0,219.0
1,101.2089,258.0,318.0,1.0,358.0
0,342.5526,0.0,358.0,5.0,139.0
1,606.132,0.0,0.0,5.0,239.0
0,102.2314,0.0,0.0,1.0,179.0
0,329.3543,0.0,0.0,4.0,179.0
1,172.0356,0.0,398.0,2.0,179.0
0,208.515,0.0,0.0,3.0,159.0
0,71.6415,299.0,0.0,2.0,20.0
1,353.8057,99.0,0.0,3.0,100.0
0,114.2639,179.0,0.0,3.0,179.0
