jannis/table10.V20,jannis/table10.V21,jannis/table10.V23,jannis/table10.V24
-3.85365,18.4174,5.52159,14.6585
-2.048,-3.27978,1.44148,3.09676
-0.367177,-16.4512,0.392213,1.77614
-4.86608,8.06245,2.42079,5.87433
-0.849339,-7.02654,1.21606,4.49907
0.288003,-2.92304,0.418336,0.928354
2.30581,28.0831,1.45805,4.47135
-1.30987,-12.2428,0.648516,1.61979
-0.121224,1.3556,0.835604,2.16609
-5.18776,-6.90099,1.81921,3.17429
2.26261,7.75335,2.47293,8.44751
-0.420877,8.1276,0.803464,5.73085
-0.286008,-2.05936,0.695008,2.26658
2.46022,0.279313,3.30388,5.31803
2.04835,5.57849,2.94769,9.26896
-6.69538,12.7377,3.9445,6.48723
-0.101873,-2.00693,0.512517,2.42501
-1.14338,0.53539,0.878584,1.40081
-2.1357,8.6941,5.86077,9.06918
-5.06303,-3.57207,4.36232,9.95367
0.015768,-0.00775039,0.677095,0.183888
-0.18092,10.4652,0.563602,3.74626
1.31906,5.50377,0.666523,0.93422
-0.692993,-6.88935,0.685612,1.45354
3.39171,-6.50705,5.79554,6.2031
-0.366515,-3.46007,1.29882,3.40476
-2.30227,1.27438,2.0689,5.56698
-0.196782,-6.4942,0.611063,1.96847
1.72314,0.476906,1.1217,0.701875
-1.24932,-1.56611,1.14474,2.25025
5.5515,-25.2202,2.20777,4.02968
5.85653,7.82021,3.64323,5.53503
0.94737,6.85188,1.66709,2.53521
4.5079,7.2339,6.4244,9.39469
-6.47468,-11.6262,0.651028,2.27379
-2.74791,12.4997,2.51529,7.10555
-1.66419,-13.4482,1.41576,3.98105
-4.83912,2.79698,5.10069,7.38509
-1.06578,-0.53937,2.40653,8.09767
4.1069,2.45722,4.11919,10.074
-2.10216,-2.54706,4.87922,9.46155
9.80711,12.3549,8.29474,8.76627
8.78489,6.11416,3.96032,4.0638
0.568823,4.13225,3.13967,6.99556
2.53021,13.9978,2.53742,5.92388
7.11422,-9.93405,10.119,13.684
1.0312,14.9554,3.75418,7.08083
1.2604,-1.79789,0.964619,1.82933
0.816968,10.0073,1.39902,3.05759
2.72605,2.65393,1.47833,3.69249
1.32323,3.80382,0.885157,2.16864
-2.51776,-3.95374,2.98514,3.25757
2.60926,-9.61129,1.28632,3.99043
2.02902,-6.67026,1.28848,2.68118
3.56817,9.94288,3.24025,7.22328
-8.55362,20.4445,5.55347,7.95654
2.39269,-7.47298,1.13882,3.64662
-2.94755,9.13044,2.35445,14.9118
15.7974,23.5104,5.79697,7.67716
-5.70319,-7.18215,10.1363,12.8232
-9.34851,21.7013,6.66084,11.9
3.74528,8.0468,3.4007,4.89629
-1.51478,-24.1659,4.26161,10.3399
10.1787,7.01332,5.83282,5.96832
-0.00760109,-0.241619,0.222936,0.719195
-0.429258,0.16786,0.273205,0.388503
-0.281495,1.57753,4.17969,5.70979
-2.26806,2.42,3.46522,6.67607
0.862068,7.5636,1.69888,6.22621
-9.99851,14.9089,6.67254,10.7445
1.29126,13.6056,0.583858,1.50694
4.73931,4.70766,1.19929,4.03965
13.1826,5.82486,17.8139,4.98731
-9.67885,28.1095,6.33385,4.97788
