jannis/table11.V21,jannis/table11.V24,jannis/table11.V25
18.4174,14.6585,-0.261003
-3.27978,3.09676,-0.0752206
-16.4512,1.77614,0.0373531
8.06245,5.87433,1.16562
-7.02654,4.49907,-0.801197
-2.92304,0.928354,-0.17333
28.0831,4.47135,-1.10965
-12.2428,1.61979,-2.01909
1.3556,2.16609,-1.7652
-6.90099,3.17429,0.556741
7.75335,8.44751,-0.974555
8.1276,5.73085,-0.342523
-2.05936,2.26658,-1.38261
0.279313,5.31803,0.108354
5.57849,9.26896,-0.614489
12.7377,6.48723,1.1712
-2.00693,2.42501,0.0823867
0.53539,1.40081,-4.26763
8.6941,9.06918,0.11919
-3.57207,9.95367,-0.851075
-0.00775039,0.183888,0.680999
10.4652,3.74626,-0.311169
5.50377,0.93422,-1.50462
-6.88935,1.45354,-4.13247
-6.50705,6.2031,0.342425
-3.46007,3.40476,0.202719
1.27438,5.56698,0.768876
-6.4942,1.96847,-1.66555
0.476906,0.701875,-0.600781
-1.56611,2.25025,-3.06656
-25.2202,4.02968,-0.0926664
7.82021,5.53503,0.841139
6.85188,2.53521,-2.03784
7.2339,9.39469,0.908797
-11.6262,2.27379,-1.67444
12.4997,7.10555,1.08912
-13.4482,3.98105,-0.86931
2.79698,7.38509,-0.841053
-0.53937,8.09767,-0.419567
2.45722,10.074,-0.182717
-2.54706,9.46155,-0.379187
12.3549,8.76627,2.12895
6.11416,4.0638,1.08978
4.13225,6.99556,-0.977224
13.9978,5.92388,-0.970975
-9.93405,13.684,1.1004
14.9554,7.08083,0.896838
-1.79789,1.82933,0.454527
10.0073,3.05759,0.225617
2.65393,3.69249,0.40271
3.80382,2.16864,-3.00028
-3.95374,3.25757,0.663854
-9.61129,3.99043,1.32159
-6.67026,2.68118,1.93508
9.94288,7.22328,-0.457585
20.4445,7.95654,-0.395045
-7.47298,3.64662,-2.64208
9.13044,14.9118,0.757483
23.5104,7.67716,0.988175
-7.18215,12.8232,-0.228005
21.7013,11.9,-0.600147
8.0468,4.89629,1.14671
-24.1659,10.3399,0.271269
7.01332,5.96832,0.474799
-0.241619,0.719195,-6.9099
0.16786,0.388503,-5.31195
1.57753,5.70979,0.784413
2.42,6.67607,1.50538
7.5636,6.22621,-0.211755
14.9089,10.7445,0.323227
13.6056,1.50694,0.779992
4.70766,4.03965,-0.199081
5.82486,4.98731,0.171516
28.1095,4.97788,-0.47144
-6.45369,10.1403,-0.145784
5.44815,2.55868,-0.892559
-2.83406,4.73344,-0.794632
-0.498872,0.353353,-11.0858
-5.63851,1.90884,-0.161063
7.28038,8.33079,-0.239745
0.268524,1.63411,-7.58763
-16.9228,5.98877,0.5159
16.4614,8.95278,0.549448
11.7919,6.75813,-0.231228
10.2267,1.57567,-0.964027
5.89821,7.31305,0.74817
-0.681643,10.7808,0.601895
1.95548,3.78208,-0.178132
10.4032,4.24352,-0.539838
2.70606,4.30826,1.55079
3.31402,3.05168,0.933288
-7.24212,10.4362,-0.577678
-4.62667,0.904193,-2.58505
-11.4359,5.16269,0.746971
-4.20442,7.07846,-0.438683
10.3252,5.42278,-1.04565
1.59772,1.30422,-0.885238
-13.4628,4.37808,1.81118
12.2869,12.9009,0.962982
-4.68678,2.60036,-0.423873
9.73595,4.10186,0.494892
-7.28364,2.79637,-0.448521
5.85017,1.43025,-0.0290229
