V35,V38,class
10.9203,0.266667,0
-0.667744,0.263889,0
-14.8954,0.7,0
-1.13424,0.347222,0
-6.24297,0.408333,0
8.63795,0.7,0
0.834843,0.252778,0
8.23703,0.2,0
10.0034,0.0638889,0
-0.501656,0.525,0
2.81835,0.245833,0
9.78016,0.341667,0
-3.10049,0.95625,0
-0.385044,0.175,0
-1.69603,0.222917,0
0.436022,0.333333,0
0.342152,0.325,0
0.165721,0.111111,0
3.35188,0.338889,0
2.70956,0.155556,0
4.34907,0.635417,0
7.58964,0.619444,0
1.2453,0.710417,0
-7.65815,0.566667,0
4.3673,0.794444,0
0.470235,0.305556,0
0.988183,0.0888889,0
0.0506848,0.172222,0
-3.09434,0.284375,0
-0.746396,0.433333,0
-2.54741,0.10625,0
-0.044659,0.15,0
15.9456,0.985417,0
-11.2489,0.655556,0
4.25601,0.636111,0
5.66153,0.871875,0
2.20424,0.1875,0
4.42882,0.183333,0
5.68142,0.366667,0
-20.4609,0.45,0
-11.1159,0.838889,0
2.62527,1.0,0
2.95981,0.275,0
-2.1995,0.0895833,0
3.02838,0.233333,0
-0.471897,0.2375,0
-0.699076,0.138889,0
-0.080965,0.425,0
0.00522975,0.116667,0
-0.502089,0.335417,0
1.87217,0.233333,0
9.11067,0.339583,0
-3.47226,0.605556,0
-0.0227659,0.913889,0
-7.8756,0.655556,0
-5.85695,0.864583,0
-4.69373,0.580556,0
-1.26111,0.130556,0
-4.52459,0.236111,0
16.6877,0.178125,0
3.45651,0.266667,0
-6.12345,0.0388889,0
-1.7502,1.0,0
4.21929,0.447222,0
4.80374,0.283333,0
2.13049,0.444444,0
-3.90556,0.283333,0
-3.32924,0.341667,0
17.1167,0.589583,0
-0.00169846,0.225,0
1.65665,0.189583,0
-1.98642,0.261111,0
45.4407,0.722917,0
4.04047,0.185417,0
-0.119815,0.197222,0
7.43817,0.219444,0
2.69224,0.475,0
-9.46192,0.471875,0
8.41481,0.172222,0
-0.156788,0.4,0
2.3552,0.238889,0
8.32706,0.647917,0
13.5176,0.344444,0
0.949304,0.338889,0
-1.8071,0.116667,0
3.47315,0.95833,0
-5.4626,0.505556,0
11.3851,0.766667,0
9.0118,0.239583,0
5.5549,0.389583,0
3.57904,0.455556,0
-13.376,0.158333,0
0.760649,0.366667,0
-0.57637,0.0944444,0
-1.34645,0.366667,0
12.8293,0.521875,0
1.38944,0.216667,0
5.25408,0.416667,0
-0.619149,0.844444,0
2.36959,0.638889,0
-2.40773,0.375,0
9.71115,0.8625,0
-1.97414,0.311111,0
12.9638,0.572222,0
-2.19942,0.1375,0
3.97301,0.344444,0
-6.21982,0.266667,0
4.33596,0.329167,0
6.25849,0.891667,0
-0.593864,0.813889,0
4.17619,0.125,0
0.735487,0.730556,0
-0.550485,0.404167,0
7.73134,0.736111,0
2.0864,0.429167,0
0.427676,0.438889,0
-3.6726,0.179167,0
-1.25536,0.916667,0
2.9656,0.944444,0
3.45871,1.0,0
6.69028,0.127083,0
5.78192,0.288889,0
4.19358,0.191667,0
2.56108,0.477778,0
-0.0384385,0.569444,0
-0.034622,0.266667,0
18.2584,0.672222,0
3.46232,0.133333,0
-3.96663,0.0416667,0
-0.173387,0.384375,0
4.46694,0.361111,0
-1.02257,0.388889,0
7.99478,0.0444444,0
0.438236,0.225,0
0.027481,0.141667,0
3.28809,1.0,0
5.34695,0.369444,0
-0.468482,0.388889,0
3.14326,0.108333,0
7.50258,0.0958333,0
1.96496,0.316667,0
0.35553,0.666667,0
0.249571,0.569444,0
2.62537,0.36875,0
3.06801,0.883333,0
-1.0173,0.105556,0
5.60488,0.408333,0
0.424676,0.172222,0
-2.83578,0.902778,0
0.927163,0.375,0
0.0214802,0.661111,0
-3.0091,0.352778,0
-3.24084,0.379167,0
0.348804,0.147222,0
-1.42568,0.675,0
0.06435,0.4,0
-5.0989,0.619444,0
3.83521,0.0527778,0
0.307562,0.2375,0
4.39959,0.411111,0
7.65334,0.272222,0
-1.48342,0.552778,0
9.39462,0.194444,0
12.9146,0.166667,0
2.28317,0.46875,0
-0.0250699,0.344444,0
-1.52556,0.136111,0
1.37374,0.655556,0
2.03642,0.1125,0
5.80267,0.729167,0
-0.886168,0.108333,0
11.9663,0.483333,0
-1.3224,0.744444,0
3.27739,0.2625,0
-2.96678,0.23125,0
0.777937,0.266667,0
4.83033,0.25,0
-0.382517,0.144444,0
0.291795,0.272222,0
16.4934,0.45,0
-10.8992,0.689583,0
0.779285,0.702778,0
-6.76788,0.0777778,0
5.67088,0.619444,0
-0.273997,0.283333,0
-1.1606,0.180556,0
3.06578,0.141667,0
1.61728,0.380556,0
0.544311,0.177778,0
-0.382786,0.265625,0
-9.61676,0.075,0
0.959154,0.177778,0
0.748414,0.5,0
13.9298,0.627778,0
-2.3353,0.0777778,0
-0.776052,1.0,0
1.30863,0.35,0
6.23348,0.536111,0
2.2981,0.266667,0
2.59899,0.397222,0
50.3278,0.163889,0
4.32634,0.566667,0
6.15028,0.296875,0
2.37594,0.15625,0
1.30863,0.463889,0
-2.56438,0.125,0
3.79873,0.48125,0
0.21488,0.472917,0
-0.568283,0.380556,0
7.09972,0.683333,0
2.63692,0.336111,0
4.66012,0.246875,0
2.59957,0.325,0
2.29482,0.0916667,0
-2.39826,0.255556,0
2.18348,0.177778,0
-4.2278,0.583333,0
0.00419348,0.283333,0
-1.52682,0.65,0
-0.2518,0.075,0
9.9353,0.23125,0
0.741997,0.125,0
-0.254126,0.291667,0
7.27963,0.536111,0
9.36876,0.494444,0
1.25518,0.377083,0
0.987062,0.911111,0
4.46466,0.258333,0
0.849792,0.266667,0
