V4,V5,V6,V7
0.90323,0.455349,0.220512,0.343834
0.0707335,0.332808,0.158481,0.597466
0.68861,0.575015,0.247521,0.197057
0.504051,0.0822565,0.994265,0.16267
0.0920229,0.0632296,0.226857,0.153687
0.359291,0.878362,0.769131,0.229436
0.404962,0.846006,1.02469,0.489542
0.63783,0.819461,0.836186,0.409015
0.865171,0.491131,0.269273,0.13127
0.501628,0.778978,1.02747,0.483452
0.49657,0.281029,1.10009,0.381149
0.505026,0.225172,1.01112,0.451389
0.195484,0.555836,0.302652,0.4009
0.492885,0.196937,0.982822,0.408651
0.484285,0.76494,1.19398,0.561707
0.492279,0.309589,0.121203,0.541977
0.721729,0.168244,0.266941,0.110356
0.114155,0.662505,0.307387,0.494523
0.500048,0.802359,1.00341,0.398143
0.923439,0.53607,0.167313,0.534029
0.547045,0.218691,0.960258,0.522007
0.230698,0.462482,0.276632,0.914375
0.118301,0.879178,0.367461,0.332457
0.933548,0.691205,0.159648,0.274702
0.476013,0.148921,1.11291,0.324319
0.603297,0.224274,0.262775,0.338252
0.517695,0.438098,1.02787,0.833906
0.923884,0.237756,0.108909,0.109499
0.916638,0.534473,0.123943,0.857418
0.335121,0.148973,0.759736,0.393092
0.550743,0.274677,1.04375,0.148973
0.63742,0.607509,0.744705,0.276499
0.770212,0.467284,0.513082,0.146226
0.581831,0.13421,0.937367,0.297678
0.526689,0.290335,1.04405,0.267815
0.436978,0.179621,1.17045,0.457207
0.501926,0.608414,0.948769,0.262294
0.443486,0.770316,1.16895,0.567295
0.879134,0.619943,0.247488,0.729355
0.50836,0.0791963,0.841163,0.182779
0.500618,0.236051,1.04185,0.466128
0.906335,0.919955,0.208051,0.180031
0.466755,0.12243,0.926724,0.260732
0.57017,0.900715,1.12023,0.240246
0.514053,0.168795,1.08909,0.365378
0.301574,0.64905,0.301285,0.58437
0.597665,0.197079,0.926177,0.451211
0.527056,0.689411,0.990585,0.633114
0.258753,0.452807,0.228127,0.555796
0.290463,0.030869,0.648961,0.0823956
0.385435,0.283015,0.522458,0.212293
0.515257,0.128587,1.00864,0.256607
0.539596,0.165156,1.07363,0.415031
0.139908,0.489599,0.283894,1.02317
0.834938,0.17987,0.31701,0.343332
0.834651,0.726984,0.26987,0.226263
0.271215,0.503951,0.192572,0.858573
0.501331,0.778444,0.932695,0.494895
0.533224,0.14649,1.05221,0.309078
0.705737,0.432072,0.236844,0.185882
0.708865,0.461532,0.325726,0.203283
0.468735,0.186948,0.894087,0.44353
0.406317,0.0607239,0.963865,0.137865
0.871037,0.314695,0.284466,0.203119
0.643877,0.155477,0.955318,0.392937
0.36272,0.743836,0.223253,0.583972
0.85014,0.655809,0.0819717,0.0673466
0.137754,0.66611,0.357969,0.454683
0.669355,0.846431,0.354664,0.310558
0.754606,0.079107,0.58887,0.185947
0.899307,0.483356,0.224422,0.123641
0.741982,0.731773,0.152419,0.134795
0.520284,0.896968,0.98414,0.213613
0.876598,0.155179,0.265564,0.147467
0.615454,0.648615,0.85367,0.651849
0.178592,0.553726,0.169778,0.304765
0.474061,0.686387,1.12596,0.545416
0.515223,0.225254,1.1191,0.517305
0.443007,0.575607,0.373922,0.349048
0.174423,0.0424976,0.486045,0.124126
0.518589,0.251781,1.00569,0.505517
0.55027,0.505407,0.699691,0.54257
0.464709,0.783783,0.973819,0.448458
0.82033,0.266681,0.39282,0.42477
0.490346,0.685477,0.394957,0.280405
0.699902,0.516836,0.65276,0.114997
0.170786,0.762692,0.323061,0.560012
0.503998,0.232018,1.00354,0.461501
0.502315,0.502836,1.01984,1.01788
0.449289,0.107923,0.839272,0.263707
0.401784,0.414173,0.30425,0.151318
0.496787,0.349686,1.04667,0.761783
0.7996,0.398995,0.394224,0.177845
0.334411,0.406493,0.172138,0.131837
0.726741,0.932972,0.506819,0.154852
0.588986,0.154626,1.18375,0.40355
0.582081,0.7634,0.188733,0.0997881
0.119553,0.261541,0.297838,0.267208
0.659218,0.706113,0.414041,0.0997285
0.592214,0.816706,1.05958,0.425476
0.481541,0.700872,1.04664,0.664825
0.810906,0.8388,0.384067,0.331908
0.778639,0.91053,0.446892,0.186228
0.424194,0.329598,0.884549,0.455186
0.517943,0.556982,1.15544,0.182382
0.205256,0.169018,0.180496,0.178491
0.137105,0.385072,0.16076,0.257791
0.510366,0.121876,0.468994,0.11726
0.0842536,0.577083,0.160895,0.460706
0.522948,0.914326,0.900842,0.167684
0.447004,0.915526,1.09954,0.233551
0.870555,0.642765,0.0607518,0.0841384
0.484773,0.775269,1.02972,0.467254
0.47694,0.250131,1.12231,0.59154
0.423051,0.931686,0.611489,0.175988
0.42304,0.908657,1.05934,0.223054
0.648001,0.667634,0.160149,0.891758
0.50879,0.842937,0.998657,0.31793
0.559917,0.195902,0.940546,0.32736
0.845365,0.505044,0.320069,0.41094
0.570508,0.166158,1.03006,0.396324
0.499918,0.199062,1.1073,0.44711
0.124175,0.0668452,0.285195,0.151034
0.225086,0.90812,0.420482,0.190007
0.514501,0.920386,0.972967,0.164541
0.354371,0.150693,0.919603,0.457982
0.331349,0.441642,0.943685,1.22179
0.563644,0.369712,1.03979,0.115576
0.409167,0.140024,0.869686,0.349904
0.915129,0.271083,0.14893,0.268226
0.923345,0.317012,0.164326,0.265443
0.220738,0.629837,0.520674,0.485687
0.458086,0.063175,1.06878,0.13816
0.748821,0.366244,0.250764,0.498749
0.233499,0.439215,0.444221,0.164003
0.428607,0.700152,0.102561,0.121254
0.714482,0.726914,0.59923,0.494597
0.502887,0.640249,1.0189,0.697612
0.150067,0.387278,0.306211,0.0989782
0.918155,0.49718,0.181985,0.899347
0.718064,0.739714,0.759647,0.733363
0.470757,0.262937,0.985269,0.528083
0.435798,0.15551,1.12384,0.384506
0.50135,0.193899,0.998728,0.384713
0.484482,0.950927,0.36194,0.115046
0.681208,0.433793,0.641163,0.217505
0.161229,0.63594,0.299247,0.177139
0.541686,0.679784,0.775983,0.247618
