V6,V7,V8
0.220512,0.343834,0.0379236
0.158481,0.597466,0.0467352
0.247521,0.197057,0.0455761
0.994265,0.16267,0.0309492
0.226857,0.153687,0.0820915
0.769131,0.229436,0.0273886
1.02469,0.489542,0.0543135
0.836186,0.409015,0.0375253
0.269273,0.13127,0.0665334
1.02747,0.483452,0.0295363
1.10009,0.381149,0.0247753
1.01112,0.451389,0.0175662
0.302652,0.4009,0.0466286
0.982822,0.408651,0.0192523
1.19398,0.561707,0.028883
0.121203,0.541977,0.0546657
0.266941,0.110356,0.0941456
0.307387,0.494523,0.0475031
1.00341,0.398143,0.0181165
0.167313,0.534029,0.0387075
0.960258,0.522007,0.0287197
0.276632,0.914375,0.0262289
0.367461,0.332457,0.0812989
0.159648,0.274702,0.0543516
1.11291,0.324319,0.027256
0.262775,0.338252,0.0301494
1.02787,0.833906,0.0189542
0.108909,0.109499,0.086
0.123943,0.857418,0.0762186
0.759736,0.393092,0.0375364
1.04375,0.148973,0.0562672
0.744705,0.276499,0.033338
0.513082,0.146226,0.0430365
0.937367,0.297678,0.0271813
1.04405,0.267815,0.0284076
1.17045,0.457207,0.0624686
0.948769,0.262294,0.0215219
1.16895,0.567295,0.0386629
0.247488,0.729355,0.0285733
0.841163,0.182779,0.0332307
1.04185,0.466128,0.0297051
0.208051,0.180031,0.0549207
0.926724,0.260732,0.022466
1.12023,0.240246,0.0465448
1.08909,0.365378,0.0229117
0.301285,0.58437,0.0402276
0.926177,0.451211,0.0192218
0.990585,0.633114,0.0122001
0.228127,0.555796,0.0359078
0.648961,0.0823956,0.141307
0.522458,0.212293,0.0317765
1.00864,0.256607,0.0219103
1.07363,0.415031,0.0447881
0.283894,1.02317,0.0214646
0.31701,0.343332,0.025637
0.26987,0.226263,0.0392828
0.192572,0.858573,0.0487517
0.932695,0.494895,0.0258945
1.05221,0.309078,0.0255083
0.236844,0.185882,0.0524187
0.325726,0.203283,0.0545973
0.894087,0.44353,0.0235474
0.963865,0.137865,0.0567488
0.284466,0.203119,0.0709327
0.955318,0.392937,0.030373
0.223253,0.583972,0.0381811
0.0819717,0.0673466,0.145754
0.357969,0.454683,0.0362226
0.354664,0.310558,0.0317972
0.58887,0.185947,0.0506261
0.224422,0.123641,0.11292
0.152419,0.134795,0.144057
0.98414,0.213613,0.0350412
0.265564,0.147467,0.0581083
0.85367,0.651849,0.0161643
0.169778,0.304765,0.0363432
1.12596,0.545416,0.0482658
1.1191,0.517305,0.0287256
0.373922,0.349048,0.073202
0.486045,0.124126,0.117894
1.00569,0.505517,0.0154904
0.699691,0.54257,0.0273486
0.973819,0.448458,0.0184675
0.39282,0.42477,0.024301
0.394957,0.280405,0.030126
0.65276,0.114997,0.110062
0.323061,0.560012,0.0254503
1.00354,0.461501,0.0162141
1.01984,1.01788,0.0140023
0.839272,0.263707,0.041441
0.30425,0.151318,0.0969108
1.04667,0.761783,0.0305363
0.394224,0.177845,0.0385699
0.172138,0.131837,0.0736718
0.506819,0.154852,0.072376
1.18375,0.40355,0.0407411
0.188733,0.0997881,0.137506
0.297838,0.267208,0.0449238
0.414041,0.0997285,0.0743007
1.05958,0.425476,0.027069
1.04664,0.664825,0.0168344
0.384067,0.331908,0.0305993
