V1,V2,V3,V7,V8
0.0674479,0.270833,0.444444,0.343834,0.0379236
0.0782581,0.21875,0.602778,0.597466,0.0467352
0.0454572,0.304167,0.286111,0.197057,0.0455761
0.162303,1.0,0.16875,0.16267,0.0309492
0.0249023,0.272917,0.171875,0.153687,0.0820915
0.165232,0.911111,0.283333,0.229436,0.0273886
0.155561,1.0,0.4125,0.489542,0.0543135
0.143113,0.822917,0.422222,0.409015,0.0375253
0.0318345,0.297917,0.152778,0.13127,0.0665334
0.424971,1.0,0.527778,0.483452,0.0295363
0.296881,1.0,0.491667,0.381149,0.0247753
0.445735,1.0,0.525,0.451389,0.0175662
0.0759549,0.366667,0.425,0.4009,0.0466286
0.381748,1.0,0.472222,0.408651,0.0192523
0.344421,1.0,0.575,0.561707,0.028883
0.0560012,0.14375,0.616667,0.541977,0.0546657
0.0146296,0.288889,0.125,0.110356,0.0941456
0.0784549,0.347222,0.510417,0.494523,0.0475031
0.398015,1.0,0.405556,0.398143,0.0181165
0.0841724,0.183333,0.630556,0.534029,0.0387075
0.348999,1.0,0.580556,0.522007,0.0287197
0.18754,0.375,1.0,0.914375,0.0262289
0.0549349,0.491667,0.315625,0.332457,0.0812989
0.0378516,0.177083,0.35,0.274702,0.0543516
0.248629,1.0,0.34375,0.324319,0.027256
0.0833044,0.316667,0.397222,0.338252,0.0301494
0.657043,1.0,1.0,0.833906,0.0189542
0.0115741,0.125,0.119444,0.109499,0.086
0.0606655,0.189583,0.936111,0.857418,0.0762186
0.18886,0.858333,0.511111,0.393092,0.0375364
0.111591,1.0,0.211111,0.148973,0.0562672
0.166643,0.827083,0.322222,0.276499,0.033338
0.067772,0.563889,0.175,0.146226,0.0430365
0.242286,1.0,0.338889,0.297678,0.0271813
0.243235,1.0,0.344444,0.267815,0.0284076
0.172772,1.0,0.75,0.457207,0.0624686
0.247917,1.0,0.320833,0.262294,0.0215219
0.299508,1.0,0.733333,0.567295,0.0386629
0.178432,0.275,0.74375,0.729355,0.0285733
0.135313,1.0,0.21875,0.182779,0.0332307
0.338835,1.0,0.64375,0.466128,0.0297051
0.0339294,0.25,0.194444,0.180031,0.0549207
0.232604,1.0,0.30625,0.260732,0.022466
0.125949,1.0,0.297222,0.240246,0.0465448
0.30739,1.0,0.394444,0.365378,0.0229117
0.103721,0.366667,0.616667,0.58437,0.0402276
0.348861,1.0,0.514583,0.451211,0.0192218
0.618067,1.0,0.685417,0.633114,0.0122001
0.100405,0.29375,0.713889,0.555796,0.0359078
0.0213368,0.683333,0.0972222,0.0823956,0.141307
0.114734,0.604167,0.238889,0.212293,0.0317765
0.254352,1.0,0.279167,0.256607,0.0219103
0.217072,1.0,0.639583,0.415031,0.0447881
0.274462,0.341667,1.0,1.02317,0.0214646
0.111736,0.345833,0.372222,0.343332,0.025637
0.0574537,0.325,0.261111,0.226263,0.0392828
0.112888,0.347222,0.885417,0.858573,0.0487517
0.383947,1.0,0.577778,0.494895,0.0258945
0.280637,1.0,0.388889,0.309078,0.0255083
0.0372049,0.29375,0.205556,0.185882,0.0524187
0.0385822,0.397222,0.25,0.203283,0.0545973
0.328582,1.0,0.555556,0.44353,0.0235474
0.106157,1.0,0.161111,0.137865,0.0567488
0.0383449,0.3,0.208333,0.203119,0.0709327
0.223113,1.0,0.494444,0.392937,0.030373
0.110341,0.305556,0.627083,0.583972,0.0381811
0.00456597,0.0979167,0.0861111,0.0673466,0.145754
0.103686,0.397222,0.516667,0.454683,0.0362226
0.107743,0.41875,0.327778,0.310558,0.0317972
0.0859606,0.710417,0.219444,0.185947,0.0506261
0.0163484,0.219444,0.18125,0.123641,0.11292
0.0130961,0.166667,0.172222,0.134795,0.144057
0.202969,1.0,0.219444,0.213613,0.0350412
0.0366493,0.33125,0.177778,0.147467,0.0581083
0.516256,1.0,0.733333,0.651849,0.0161643
0.0515914,0.210417,0.375,0.304765,0.0363432
0.317793,1.0,0.61875,0.545416,0.0482658
0.372095,1.0,0.525,0.517305,0.0287256
0.0361285,0.40625,0.361111,0.349048,0.073202
0.0303356,0.583333,0.175,0.124126,0.117894
0.498368,1.0,0.55,0.505517,0.0154904
0.304497,0.85,0.59375,0.54257,0.0273486
0.427975,1.0,0.484375,0.448458,0.0184675
0.153362,0.479167,0.494444,0.42477,0.024301
0.107957,0.4375,0.35,0.280405,0.030126
0.0361748,0.69375,0.158333,0.114997,0.110062
