Class,V13,V14,V27,V28,V29,V3,V32
1,0,80,0.5822,1,0,270900,0
1,0,80,0.2984,1,0,2538079,0
1,0,100,0.215,1,0,1553913,0
1,1,290,0.5212,1,0,369370,0
1,1,185,1.0,1,0,498078,0
1,1,40,0.9874,1,0,100250,0
1,1,150,1.0,1,0,138468,0
1,1,150,0.3359,1,0,210936,0
1,1,150,0.5593,1,0,429227,0
1,1,150,1.0,1,0,779144,0
1,1,150,0.8612,1,0,813452,0
1,1,150,0.9048,1,0,106604,0
1,1,150,0.9093,1,0,179258,0
1,1,150,0.8299,1,0,230644,0
1,1,150,0.9888,1,0,368143,0
1,1,150,1.0,1,0,491552,0
1,1,150,1.0,1,0,713788,0
1,1,150,0.9918,1,0,751059,0
1,1,150,0.2998,1,0,844704,0
1,1,200,0.5362,1,0,21349,0
1,1,200,0.6173,1,0,42683,0
1,1,200,0.4317,1,0,86284,0
1,1,200,0.2942,1,0,115485,0
1,1,200,0.6422,1,0,149044,0
1,1,200,0.4913,1,0,184350,0
1,1,40,0.3464,1,0,2128884,0
1,1,40,0.8355,1,0,2356396,0
1,1,40,0.215,1,0,5202306,0
1,1,40,1.0,1,0,4332564,0
1,1,40,0.7822,1,0,4822354,0
1,1,40,0.3834,1,0,1874382,0
1,1,40,0.9691,1,0,2378173,0
1,1,40,0.2901,1,0,2891780,0
1,1,50,0.463,1,0,2691161,0
1,1,50,0.9994,1,0,3874199,0
1,1,50,0.8061,1,0,3957796,0
1,1,70,0.7512,1,0,304433,0
1,1,70,0.9381,1,0,505964,0
1,1,40,0.7659,1,0,1701480,0
1,1,250,0.4564,1,0,183688,0
1,1,200,0.8299,1,0,284144,0
1,1,70,0.7037,1,0,1918092,0
1,1,40,0.5162,1,0,19815,0
1,1,40,0.7889,1,0,3884411,0
1,0,60,0.2901,1,0,1009978,0
1,0,60,0.7161,1,0,1702442,0
1,0,60,0.1965,1,0,3509718,0
1,0,60,0.2083,1,0,3550754,0
1,0,60,0.2583,1,0,43036,0
