V30,V31,V5,V6,V7
0,0,267,17,44
0,0,108,10,30
0,0,71,8,19
0,0,176,13,45
0,0,2409,60,260
0,0,630,20,87
0,0,9052,230,432
0,0,132,11,20
0,0,264,15,26
0,0,1506,46,167
0,0,442,13,48
0,0,284,42,69
0,0,480,15,54
0,0,433,22,60
0,0,728,30,68
0,0,1097,59,133
0,0,5044,167,282
0,0,552,38,76
0,0,137,8,25
0,0,209,15,27
0,0,284,18,34
0,0,153,13,29
0,0,106,10,19
0,0,264,15,39
0,0,201,17,35
0,0,171,9,23
0,0,395,19,39
0,0,85,9,18
0,0,3214,92,253
0,0,386,15,38
0,0,182,9,33
0,0,527,19,63
0,0,158,9,24
0,0,214,10,28
0,0,994,29,62
0,0,367,16,43
0,0,320,15,39
0,0,378,34,72
0,0,210,36,48
0,0,201,22,23
0,0,386,35,54
0,0,324,30,36
0,0,234,20,26
0,0,340,30,50
0,0,98,16,21
0,0,267,43,49
0,0,56,12,13
0,0,71,11,17
0,0,90,14,12
0,0,55,9,11
0,0,58,9,13
0,0,567,47,66
0,0,182,20,27
0,0,154,20,24
0,0,188,20,34
0,0,146,20,27
0,0,51,14,7
0,0,184,25,30
0,0,67,10,12
0,0,64,10,15
0,0,53,10,10
0,0,60,10,11
0,0,76,14,11
0,0,66,9,12
0,0,70,9,11
0,0,382,43,60
0,0,110,13,20
0,0,51,8,13
0,0,63,15,14
0,0,56,12,9
0,0,89,14,13
0,0,190,21,28
0,0,81,15,20
0,0,63,17,18
0,0,60,9,12
0,0,30,8,6
0,0,209,24,31
0,0,156,20,23
0,0,2643,165,285
0,0,2145,134,201
0,0,1421,142,185
0,0,103,13,17
0,0,40,11,7
0,0,10914,481,604
0,0,135,18,16
0,0,114,14,17
0,0,82,13,20
0,0,275,19,32
0,0,289,25,36
0,0,313,36,39
0,0,437,36,52
0,0,759,45,69
0,0,677,44,67
0,0,211,18,22
0,0,52,9,7
0,0,261,28,29
0,0,135,18,26
0,0,181,29,43
0,0,109,15,19
0,0,102,11,16
0,0,51,8,12
0,0,134,13,21
0,0,266,23,28
0,0,970,57,103
0,0,515,32,57
0,0,116,17,15
0,0,2490,146,197
0,0,251,22,28
0,0,165,22,26
0,0,112,16,17
0,0,208,24,32
0,0,337,26,35
0,0,167,24,28
0,0,200,24,32
0,0,359,29,84
0,0,349,33,70
0,0,140,12,30
0,0,379,35,45
0,0,121,13,20
0,0,762,63,86
0,0,861,78,98
0,0,335,37,42
0,0,242,24,33
0,0,264,26,30
0,0,134,20,27
0,0,372,56,70
0,0,794,59,87
0,0,227,28,32
0,0,927,65,103
0,0,227,22,31
0,0,271,35,45
0,0,771,50,89
0,0,471,37,54
0,0,285,24,32
0,0,120,17,23
0,0,4686,251,427
0,0,70,15,18
0,0,180,18,26
0,0,170,18,23
0,0,83,14,20
0,0,2705,213,359
0,0,177,15,50
0,0,221,26,31
0,0,109,16,18
0,0,104,14,14
0,0,3319,221,357
0,0,501,33,53
0,0,291,20,33
0,0,444,43,61
0,0,258,27,31
0,0,168,24,28
0,0,136,19,19
0,0,119,26,26
0,0,257,21,34
0,0,265,47,56
0,0,105,18,24
0,0,154,20,22
0,0,145,18,21
0,0,123,33,17
0,0,56,13,6
0,0,226,33,31
0,0,436,41,56
0,0,84,19,11
0,0,63,20,15
0,0,1590,143,172
0,0,2267,201,161
0,0,521,90,54
0,0,395,54,59
0,0,353,53,56
0,0,205,33,36
0,0,135,16,23
0,0,294,35,42
0,0,71,12,13
0,0,56,16,19
0,0,54,17,15
0,0,400,49,42
0,0,82,22,21
0,0,69,14,14
0,0,114,38,21
0,0,158,28,19
0,0,57,15,12
0,0,74,15,11
0,0,75,23,12
0,0,787,94,94
0,0,5027,748,403
0,0,353,65,40
0,0,59,13,12
0,0,74,19,13
0,0,55,12,7
0,0,397,50,56
0,0,123,28,16
0,0,78,24,12
0,0,63,17,17
0,0,170,28,25
0,0,124,18,20
0,0,884,106,98
0,0,139,21,27
0,0,444,58,50
0,0,112,23,17
0,0,71,15,10
0,0,77,15,20
0,0,812,93,120
0,0,2904,197,207
0,0,964,106,103
0,0,521,61,67
0,0,938,117,94
0,0,4315,470,380
0,0,995,70,90
0,0,585,101,56
0,0,7292,466,536
0,0,1014,96,102
0,0,1784,90,99
0,0,573,67,62
0,0,2875,202,161
0,0,2483,107,129
0,0,709,84,55
0,0,1148,85,94
0,0,3811,235,230
0,0,613,95,77
0,0,540,69,70
0,0,694,60,53
0,0,67,15,13
0,0,1348,98,100
0,0,265,47,40
0,0,138,30,16
0,0,109,25,22
0,0,74,19,20
0,0,7579,591,431
0,0,184,31,15
0,0,252,55,36
0,0,62,14,14
0,0,60,14,8
0,0,55,20,14
0,0,241,45,35
0,0,54,18,7
0,0,128,22,30
0,0,51,17,14
0,0,61,12,14
0,0,780,106,83
0,0,493,56,38
0,0,65,10,12
0,0,138,28,21
0,0,85,23,16
0,0,59,15,16
0,0,222,25,29
0,0,73,20,11
0,0,286,54,33
0,0,390,30,36
0,0,52,17,13
0,0,98,23,14
0,0,61,12,11
0,0,75,19,16
0,0,705,76,76
0,0,196,52,35
0,0,64,16,13
0,0,130,26,25
0,0,215,36,22
0,0,178,25,28
0,0,155,24,27
0,0,1030,72,92
0,0,140,27,22
0,0,1470,84,82
0,0,69,20,19
0,0,231,31,23
0,0,169,33,28
0,0,445,72,55
0,0,245,37,33
0,0,99,16,13
0,0,55,19,17
0,0,873,174,100
0,0,64,16,13
0,0,60,20,11
0,0,120,31,18
0,0,314,84,50
0,0,61,17,11
0,0,253,50,26
0,0,509,73,60
0,0,170,25,21
0,0,78,22,10
0,0,77,17,13
0,0,83,18,12
0,0,61,12,10
0,0,80,23,17
0,0,51,15,10
0,0,58,22,7
0,0,58,13,11
0,0,130,38,25
0,0,117,22,14
0,0,490,38,44
0,0,318,36,33
0,0,185,29,24
0,0,59,13,11
0,0,119,20,18
0,0,66,10,11
0,0,268,28,25
0,0,99,29,17
0,0,197,38,29
0,0,91,12,14
0,0,142,30,29
0,0,60,13,11
0,0,60,15,13
0,0,149,27,17
0,0,103,19,13
0,0,93,19,17
0,0,115,22,17
0,0,1203,68,89
0,0,109,22,20
