V22,V5
2.4265,267
2.0334,108
1.8513,71
2.2455,176
3.3818,2409
2.7993,630
3.9567,9052
2.1206,132
2.4216,264
3.1778,1506
2.6454,442
2.4533,284
2.6812,480
2.6365,433
2.8621,728
3.0402,1097
3.7028,5044
2.7419,552
2.1367,137
2.3201,209
2.4533,284
2.1847,153
2.0253,106
2.4216,264
2.3032,201
2.233,171
2.5966,395
1.9294,85
3.5071,3214
2.5866,386
2.2601,182
2.7218,527
2.1987,158
2.3304,214
2.9974,994
2.5647,367
2.5052,320
2.5775,378
2.3222,210
2.3032,201
2.5866,386
2.5106,324
2.3692,234
2.5315,340
1.9912,98
2.4265,267
1.7482,56
1.8513,71
1.9542,90
1.7404,55
1.7634,58
2.7536,567
2.2601,182
2.1875,154
2.2742,188
2.1644,146
1.7076,51
2.2648,184
1.8261,67
1.8062,64
1.7243,53
1.7781,60
1.8808,76
1.8195,66
1.8451,70
2.5821,382
2.0414,110
1.7076,51
1.7993,63
1.7482,56
1.9494,89
2.2787,190
1.9085,81
1.7993,63
1.7781,60
1.4771,30
2.3201,209
2.1931,156
3.4221,2643
3.3314,2145
3.1526,1421
2.0128,103
1.6021,40
4.038,10914
2.1303,135
2.0569,114
1.9138,82
2.4393,275
2.4609,289
2.4955,313
2.6405,437
2.8802,759
2.8306,677
2.3243,211
1.716,52
2.4166,261
2.1303,135
2.2577,181
2.0374,109
2.0086,102
1.7076,51
2.1271,134
2.4249,266
2.9868,970
2.7118,515
2.0645,116
3.3962,2490
2.3997,251
2.2175,165
2.0492,112
2.3181,208
2.5276,337
2.2227,167
2.301,200
2.5551,359
2.5428,349
2.1461,140
2.5786,379
2.0828,121
2.8819,762
2.935,861
2.525,335
2.3838,242
2.4216,264
2.1271,134
2.5705,372
2.8998,794
2.356,227
2.9671,927
2.356,227
2.433,271
2.887,771
2.673,471
2.4548,285
2.0792,120
3.6708,4686
1.8451,70
2.2553,180
2.2304,170
1.9191,83
3.4322,2705
2.248,177
2.3444,221
2.0374,109
2.017,104
3.521,3319
2.6998,501
2.4639,291
2.6474,444
2.4116,258
2.2253,168
2.1335,136
2.0756,119
2.4099,257
2.4232,265
2.0212,105
2.1875,154
2.1614,145
2.0899,123
1.7482,56
2.3541,226
2.6395,436
1.9243,84
1.7993,63
3.2014,1590
3.3554,2267
2.7168,521
2.5966,395
2.5478,353
2.3117,205
2.1303,135
2.4683,294
1.8513,71
1.7482,56
1.7324,54
2.6021,400
1.9138,82
1.8389,69
2.0569,114
2.1987,158
1.7559,57
1.8692,74
1.8751,75
2.896,787
3.7013,5027
2.5478,353
1.7708,59
1.8692,74
1.7404,55
2.5988,397
2.0899,123
1.8921,78
1.7993,63
2.2304,170
2.0934,124
2.9464,884
2.143,139
2.6474,444
2.0492,112
1.8513,71
1.8865,77
2.9096,812
3.463,2904
2.9841,964
2.7168,521
2.9722,938
3.635,4315
2.9978,995
2.7672,585
3.8628,7292
3.006,1014
3.2514,1784
2.7582,573
3.4586,2875
3.395,2483
2.8507,709
3.0599,1148
3.581,3811
2.7875,613
