steel/table13.V22,steel/table13.V5
1.8751,75
1.2305,17
3.7992,6298
2.4409,276
1.7993,63
3.7884,6143
4.0118,10276
3.7824,6059
1.0414,11
3.8125,6494
1.9912,98
2.248,177
1.8513,71
3.755,5688
2.5623,365
3.2674,1851
2.1673,147
2.5611,364
4.1152,13037
1.8261,67
1.8692,74
3.8012,6327
1.7781,60
3.7013,5027
2.1072,128
2.3463,222
2.1239,133
2.2253,168
2.5024,318
1.8261,67
2.9666,926
2.3054,202
2.5502,355
4.2395,17357
2.4969,314
2.0645,116
1.7708,59
3.905,8035
1.7853,61
4.3078,20313
2.9004,795
1.7924,62
2.0607,115
1.9868,97
1.7243,53
1.8389,69
2.1072,128
4.0366,10880
3.7655,5828
3.5825,3824
2.1106,129
4.218,16521
2.5263,336
2.1303,135
2.567,369
2.6702,468
3.903,7998
2.2923,196
1.8751,75
2.301,200
2.1303,135
2.0756,119
3.9214,8344
1.8261,67
1.7781,60
2.0043,101
1.7708,59
2.281,191
2.0453,111
1.7634,58
2.3284,213
2.2304,170
2.2648,184
2.1553,143
4.2259,16821
1.7559,57
1.9031,80
3.8212,6625
2.243,175
1.8865,77
3.3581,2281
2.6021,400
3.5933,3920
2.5659,368
2.8733,747
2.9499,891
2.7059,508
2.8943,784
1.9085,81
2.1584,144
1.9445,88
3.8146,6525
2.2856,193
1.0792,12
2.3598,229
2.0492,112
3.0402,1097
2.6484,445
2.3139,206
1.2041,16
1.8451,70
1.7324,54
3.4506,2822
2.1553,143
1.716,52
1.7482,56
2.1367,137
2.2878,194
4.1177,13114
2.1004,126
1.8513,71
2.5911,390
1.6532,45
2.1553,143
1.7781,60
3.2951,1973
3.6333,4298
2.2967,198
4.081,12051
3.2997,1994
1.7404,55
2.0569,114
2.8722,745
2.1399,138
3.0442,1107
2.0414,110
1.2305,17
3.6504,4471
2.5315,340
1.7853,61
2.1271,134
2.5185,330
1.9395,87
1.8129,65
2.3997,251
1.9494,89
3.9708,9349
2.5172,329
2.0374,109
1.8261,67
2.3444,221
3.5356,3432
2.1206,132
3.7624,5786
2.1703,148
1.9085,81
2.1703,148
2.4502,282
2.0645,116
3.7776,5993
4.0724,11813
1.8976,79
3.9785,9518
2.0253,106
1.0792,12
2.3711,235
1.7853,61
1.8195,66
2.1614,145
1.9395,87
4.2676,18517
1.7324,54
2.1106,129
2.7528,566
1.8692,74
1.9085,81
3.1861,1535
2.7235,529
2.2577,181
2.6946,495
2.6474,444
3.3813,2406
1.8573,72
1.2305,17
2.4843,305
1.2553,18
3.6072,4048
2.7505,563
2.1335,136
2.2068,161
2.659,456
1.8921,78
2.1139,130
1.9138,82
3.7911,6182
1.1761,15
2.2878,194
2.4014,252
2.0086,102
1.7993,63
1.7993,63
2.4487,281
1.8633,73
1.7482,56
3.5884,3876
2.3541,226
