V19,V24,V25,V26,V3,V4,V5,V6,V7,V8,V9
0.4706,1.6435,0.8182,-0.2913,270900,270944,267,17,44,24220,76
0.6,1.4624,0.7931,-0.1756,2538079,2538108,108,10,30,11397,84
0.75,1.2553,0.6667,-0.1228,1553913,1553931,71,8,19,7972,99
0.5385,1.6532,0.8444,-0.1568,369370,369415,176,13,45,18996,99
0.2833,2.4099,0.9338,-0.1992,498078,498335,2409,60,260,246930,37
0.55,1.9395,0.8736,-0.2267,100250,100337,630,20,87,62357,64
0.1435,2.6181,0.9205,0.2791,138468,138883,9052,230,432,1481991,23
0.9091,1.301,0.5,0.1841,210936,210956,132,11,20,20007,124
0.8667,1.415,0.5,-0.1197,429227,429253,264,15,26,29748,53
0.3478,2.2148,0.9024,-0.0651,779144,779308,1506,46,167,180215,53
0.9231,1.6812,0.75,-0.1093,813452,813500,442,13,48,50393,76
0.2381,1.8062,0.8438,-0.1455,106604,106668,284,42,69,31062,97
0.8,1.7324,0.7778,0.0086,179258,179312,480,15,54,61966,102
0.4091,1.7781,0.85,-0.2978,230644,230704,433,22,60,38917,62
0.5,1.8129,0.7692,-0.2568,368143,368208,728,30,68,69258,36
0.2542,2.1206,0.8864,-0.1487,491552,491684,1097,59,133,119540,50
0.2156,2.4281,0.8657,-0.1157,713788,714056,5044,167,282,570911,11
0.3684,1.8633,0.8082,-0.1543,751059,751132,552,38,76,59750,79
0.875,1.3979,0.72,-0.1499,844704,844729,137,8,25,14907,92
0.8,1.4314,0.5556,-0.0727,21349,21376,209,15,27,24807,96
0.6111,1.5315,0.6765,-0.1031,42683,42717,284,18,34,32604,87
0.6923,1.4624,0.6897,-0.0935,86284,86313,153,13,29,17753,101
0.9,1.2787,0.5263,0.0192,115485,115504,106,10,19,13829,107
0.6667,1.5911,0.7436,-0.0479,149044,149083,264,15,39,32175,92
0.5294,1.5185,0.7273,0.063,184350,184383,201,17,35,27349,123
1.0,1.3617,0.6087,-0.2395,2128884,2128907,171,9,23,16645,77
0.7368,1.5911,0.641,-0.2341,2356396,2356435,395,19,39,38722,75
0.6667,1.2553,0.6667,-0.1776,5202306,5202324,85,9,18,8948,97
0.2283,2.3997,0.9163,-0.1045,4332564,4332815,3214,92,253,368381,33
0.8667,1.5798,0.6579,-0.2537,4822354,4822392,386,15,38,36875,51
0.7778,1.5185,0.7879,-0.1093,1874382,1874415,182,9,33,20751,99
0.6842,1.7993,0.7936,-0.2767,2378173,2378236,527,19,63,48793,47
0.7778,1.3802,0.7083,-0.1752,2891780,2891804,158,9,24,16680,80
1.0,1.4472,0.6429,-0.2785,2691161,2691189,214,10,28,19762,70
0.7931,1.7924,0.629,-0.4588,3874199,3874261,994,29,62,68851,15
0.75,1.6335,0.7209,-0.2367,3957796,3957839,367,16,43,35856,55
0.8,1.5911,0.6923,-0.2015,304433,304472,320,15,39,32705,55
0.2941,1.8513,0.8591,-0.1046,505964,506035,378,34,72,43323,77
0.2778,1.6812,0.7917,-0.3522,1701480,1701528,210,36,48,17413,73
0.5454,1.3617,0.4783,-0.184,183688,183711,201,22,23,20993,79
0.2857,1.7324,0.8148,-0.095,284144,284198,386,35,54,44712,90
0.4,1.5563,0.6667,-0.2701,1918092,1918128,324,30,36,30269,65
0.6,1.415,0.5385,-0.2252,19815,19841,234,20,26,23207,66
0.3333,1.699,0.8,-0.2037,3884411,3884461,340,30,50,34655,88
0.5,1.3222,0.6191,-0.1403,1009978,1009999,98,16,21,10784,96
0.2093,1.6902,0.8163,-0.3333,1702442,1702491,267,43,49,22785,67
0.5833,1.1139,0.4615,-0.2206,3509718,3509731,56,12,13,5587,85
0.5454,1.2305,0.6471,-0.1745,3550754,3550771,71,11,17,7502,91
0.8571,1.0792,0.0,-0.3468,43036,43048,90,14,12,7525,67
0.7778,1.0414,0.3636,-0.1301,1686880,1686891,55,9,11,6124,95
0.7778,1.1139,0.4615,-0.1154,2379116,2379129,58,9,13,6567,100
0.234,1.8195,0.8333,-0.3611,2512899,2512965,567,47,66,46365,51
0.45,1.4314,0.6667,-0.2987,2845229,2845256,182,20,27,16337,72
0.5,1.3802,0.5833,-0.3061,3826564,3826588,154,20,24,13678,69
0.45,1.5315,0.7353,-0.1469,4157586,4157620,188,20,34,20528,95
0.45,1.4314,0.6667,-0.1667,5437033,5437060,146,20,27,15572,88
0.9286,0.7782,-0.5385,0.0573,5683008,5683014,51,14,7,6902,120
0.48,1.4771,0.6,-0.2106,1005865,1005895,184,25,30,18593,85
0.8,1.0792,0.3333,-0.1353,1094617,1094629,67,10,12,7416,94
0.6,1.1761,0.6,-0.1439,718602,718617,64,10,15,7013,99
0.7,1.0,0.3,-0.2572,807870,807880,53,10,10,5039,81
0.7,1.0414,0.3636,-0.1064,238656,238667,60,10,11,6863,100
0.6429,1.0414,0.1818,-0.1712,2071945,2071956,76,14,11,8063,84
0.7778,1.0792,0.4167,-0.2158,893849,893861,66,9,12,6625,87
1.0,1.0414,0.1818,-0.1243,969900,969911,70,9,11,7846,99
0.2093,1.7781,0.85,-0.2186,1031539,1031599,382,43,60,38206,77
0.6154,1.301,0.6,-0.2098,1060712,1060732,110,13,20,11126,84
0.75,1.1139,0.5385,-0.1775,914648,914661,51,8,13,5369,95
0.5333,1.1461,0.4286,-0.3512,1194800,1194814,63,15,14,5232,73
0.6667,0.9542,0.1111,-0.3479,1944129,1944138,56,12,9,4674,71
0.7857,1.1139,0.1539,-0.315,2095494,2095507,89,14,13,7804,77
0.4286,1.4472,0.6786,-0.2428,2493647,2493675,190,21,28,18416,81
0.5333,1.301,0.6,-0.16,11430396,11430416,81,15,20,8709,99
0.3529,1.2553,0.6667,-0.4276,237702,237720,63,17,18,4616,58
0.8889,1.0792,0.3333,-0.403,309514,309526,60,9,12,4585,62
0.875,0.7782,-0.1429,-0.213,200561,200567,30,8,6,3022,80
0.375,1.4914,0.7097,-0.1016,519677,519708,209,24,31,24034,90
0.45,1.3617,0.6087,-0.0658,1334420,1334443,156,20,23,18654,101
0.097,2.4487,0.9431,-0.1132,2377039,2377320,2643,165,285,300024,64
0.1343,2.2989,0.9096,-0.166,513812,514011,2145,134,201,228995,16
0.1831,2.2201,0.8434,-0.2246,66196,66362,1421,142,185,141034,47
