steel/table3.V19,steel/table3.V24,steel/table3.V25,steel/table3.V26,steel/table3.V4,steel/table3.V5,steel/table3.V6,steel/table3.V7,steel/table3.V8,steel/table3.V9,V3
0.5556,1.0792,-0.2,0.0362,260136,75,27,17,9948,125,260124
0.7778,0.699,-0.2857,0.0294,1789337,17,9,6,2240,115,1789332
0.6364,1.7853,-0.6514,-0.1879,2708939,6298,275,134,654634,42,2708878
0.7179,1.2787,-0.3214,-0.0416,86427,276,39,26,33858,115,86408
0.3529,1.2305,0.6471,-0.2096,530985,63,17,17,6374,90,530968
0.7929,1.7993,-0.5987,-0.1895,590503,6143,198,119,637317,45,590440
0.3225,2.1461,-0.2135,-0.097,1359742,10276,552,319,1187807,25,1359602
0.7621,1.8062,-0.5924,-0.1925,696948,6059,206,129,626256,45,696884
1.0,0.4771,-0.4,-0.0071,1436092,11,5,3,1398,111,1436089
0.5429,1.8261,-0.6082,-0.1923,1505982,6494,315,145,671353,38,1505915
0.6429,1.0792,0.25,-0.2813,6724,98,14,12,9016,82,6712
0.3333,1.699,0.9,-0.2325,4270218,177,15,50,17388,65,4270168
0.75,1.2553,0.6667,-0.1228,1553931,71,8,19,7972,99,1553913
0.5578,1.7924,-0.6331,-0.1773,4440576,5688,303,154,598976,43,4440514
0.4359,1.5911,0.5641,-0.1603,1969068,365,39,40,39229,91,1969029
0.9671,1.0792,-0.9592,-0.1512,4737394,1851,304,87,201109,91,4737382
0.2857,1.4771,0.7333,-0.1014,737568,147,28,31,16908,105,737538
0.3636,1.415,-0.2778,-0.0995,4532948,364,99,60,41956,99,4532922
0.2504,2.2833,0.1875,-0.0976,1864008,13037,623,387,1505833,35,1863816
0.6923,1.0414,0.1818,-0.0547,2451296,67,13,11,8107,112,2451285
0.7188,1.0,-0.5652,-0.0377,1094348,74,32,12,9115,110,1094338
0.6436,1.7924,-0.6497,-0.1847,2698294,6327,275,148,660291,40,2698232
0.65,1.0,-0.2308,-0.1849,1723392,60,20,11,6260,96,1723382
0.1805,2.1847,0.1177,-0.0496,425176,5027,748,403,611544,93,425023
0.9167,1.2041,0.3125,-0.1458,3020360,128,12,16,13996,88,3020344
0.56,1.4472,0.5,-0.097,1323745,222,25,29,25660,104,1323717
0.4063,1.3979,0.48,-0.0156,151265,133,32,25,16759,114,151240
0.3889,1.415,0.4615,-0.1317,178484,168,36,29,18671,99,178458
0.6154,1.2787,-0.2083,-0.0195,1133734,318,39,32,39911,116,1133715
0.8182,1.0414,0.1818,-0.1196,961371,67,11,11,7550,99,961360
0.0974,2.1614,0.9241,-0.168,2113824,926,113,146,98616,92,2113679
1.0,0.699,-0.9315,-0.0402,2286298,202,73,17,24816,116,2286293
0.4741,1.2553,-0.6727,0.0317,289665,355,116,58,46882,123,289647
0.2179,2.3385,0.2064,-0.0843,862693,17357,794,495,2034432,27,862475
0.4167,1.5441,0.0,-0.0397,1747660,314,84,50,38597,110,1747625
1.0,1.1761,0.3333,-0.1979,399363,116,10,15,11910,75,399348
0.7273,1.0,0.2,-0.0816,2636459,59,11,10,6936,102,2636449
0.3704,2.3032,0.6517,-0.2395,395722,8035,189,214,782154,80,395521
0.9167,1.0,-0.0909,-0.1247,1398914,61,12,11,6834,102,1398904
0.253,2.2765,-0.0105,-0.0767,844903,20313,755,497,2400588,23,844714
1.0,0.4771,-0.991,-0.0626,2191539,795,333,62,95390,77,2191536
0.4615,1.1461,0.5714,-0.1477,2615309,62,13,14,6764,97,2615295
1.0,1.2787,0.5263,-0.3586,4174926,115,9,19,9441,44,4174907
0.6842,1.2305,0.2353,-0.5216,2445050,97,19,17,5940,47,2445033
0.8889,0.9031,0.0,0.3315,928264,53,9,8,9033,158,928256
0.8,1.1139,0.3846,-0.393,1671963,69,10,14,5361,63,1671950
0.4474,1.1461,-0.1765,-0.0217,997556,128,38,27,16028,120,997542
0.228,2.2304,0.1294,-0.1059,1853339,10880,649,409,1245114,33,1853169
0.5676,1.8129,-0.6131,-0.1704,4639275,5828,296,169,618846,48,4639210
0.9682,1.6812,-0.6842,-0.148,7783320,3824,157,95,417036,73,7783272
0.64,1.0414,-0.6563,0.0257,673281,129,50,25,16937,123,673270
0.7505,2.3032,-0.7108,-0.0577,685134,16521,926,591,1992604,21,684933
0.7,1.3424,0.0454,-0.165,5303295,336,30,25,35912,79,5303273
0.75,1.301,0.55,-0.2421,4807479,135,12,21,13096,89,4807459
0.9444,1.5315,0.5,-0.122,1120571,369,18,34,41469,52,1120537
0.2429,1.6902,0.6531,-0.3068,1554760,468,70,54,41524,80,1554711
0.2491,2.2095,0.142,-0.1309,2627391,7998,558,343,889727,49,2627229
0.7273,1.4914,0.7419,-0.1019,393488,196,11,31,22532,97,393457
0.6087,1.0792,-0.1429,-0.1109,387414,75,23,12,8535,104,387402
0.4,1.3979,0.52,-0.2715,220253,200,30,25,18651,66,220228
0.6875,1.301,0.45,-0.4918,204953,135,16,23,8781,46,204933
0.6,1.2553,0.3333,-0.244,2001794,119,20,18,11516,84,2001776
0.2401,2.1703,0.0946,-0.1144,2616725,8344,558,338,945879,52,2616577
0.6923,1.0,0.1,-0.19,2690135,67,13,10,6947,84,2690125
0.6,1.1139,0.3077,-0.2743,2097270,60,15,13,5573,81,2097257
0.2963,1.4314,0.7037,-0.0891,1207406,101,27,27,11776,104,1207379
1.0,0.9031,0.0,-0.1336,1973176,59,8,8,6543,93,1973168
0.8824,1.2041,0.0625,-0.1578,3204845,191,17,16,20590,67,3204829
0.381,1.3802,0.6667,-0.0907,2197376,111,21,24,12919,106,2197352
1.0,0.4771,-0.8965,0.0261,3212695,58,29,10,7618,100,3212692
0.381,1.4914,0.4839,-0.2476,929513,213,42,39,20512,80,929482
0.6154,1.1461,-0.4167,0.0325,356625,170,39,20,22467,123,356611
0.4048,1.2553,0.0556,-0.0358,1545486,184,42,22,22708,115,1545468
0.55,1.301,0.45,-0.0965,5798213,143,20,21,16538,104,5798193
