steel/table4.V18,steel/table4.V19,steel/table4.V5,steel/table4.V6,steel/table4.V9
0.011,0.5556,75,27,125
0.0052,0.7778,17,9,115
0.1289,0.6364,6298,275,42
0.0206,0.7179,276,39,115
0.0044,0.3529,63,17,90
0.1156,0.7929,6143,198,45
0.1271,0.3225,10276,552,25
0.1156,0.7621,6059,206,45
0.0037,1.0,11,5,111
0.1261,0.5429,6494,315,38
0.0066,0.6429,98,14,82
0.0037,0.3333,177,15,65
0.0037,0.75,71,8,99
0.1246,0.5578,5688,303,43
0.0099,0.4359,365,39,91
0.2175,0.9671,1851,304,91
0.0059,0.2857,147,28,105
0.0265,0.3636,364,99,99
0.1113,0.2504,13037,623,35
0.0067,0.6923,67,13,112
0.0168,0.7188,74,32,110
0.1303,0.6436,6327,275,40
0.0096,0.65,60,20,96
0.0994,0.1805,5027,748,93
0.0065,0.9167,128,12,88
0.0103,0.56,222,25,104
0.0095,0.4063,133,32,114
0.0083,0.3889,168,36,99
0.0176,0.6154,318,39,116
0.0066,0.8182,67,11,99
0.0081,0.0974,926,113,92
0.0537,1.0,202,73,116
0.0404,0.4741,355,116,123
0.1236,0.2179,17357,794,27
0.0258,0.4167,314,84,110
0.0059,1.0,116,10,75
0.0048,0.7273,59,11,102
0.0515,0.3704,8035,189,80
0.0081,0.9167,61,12,102
0.1364,0.253,20313,755,23
0.1968,1.0,795,333,77
0.0044,0.4615,62,13,97
0.0065,1.0,115,9,44
0.0096,0.6842,97,19,47
0.0058,0.8889,53,9,158
0.0048,0.8,69,10,63
0.0121,0.4474,128,38,120
0.1057,0.228,10880,649,33
0.1237,0.5676,5828,296,48
0.1116,0.9682,3824,157,73
0.0236,0.64,129,50,123
0.4964,0.7505,16521,926,21
0.0154,0.7,336,30,79
0.0065,0.75,135,12,89
0.0101,0.9444,369,18,52
0.01,0.2429,468,70,80
0.0993,0.2491,7998,558,49
0.0047,0.7273,196,11,97
0.0103,0.6087,75,23,104
0.0071,0.4,200,30,66
0.0081,0.6875,135,16,46
0.0089,0.6,119,20,84
0.0957,0.2401,8344,558,52
0.0053,0.6923,67,13,84
0.0066,0.6,60,15,81
0.0047,0.2963,101,27,104
0.0049,1.0,59,8,93
0.0092,0.8824,191,17,67
0.0059,0.381,111,21,106
0.0172,1.0,58,29,100
0.0116,0.381,213,42,80
0.0176,0.6154,170,39,123
0.0104,0.4048,184,42,115
0.0081,0.55,143,20,104
0.128,0.2672,16821,670,29
0.0058,0.8,57,10,161
