V23,V24,V25
0.9031,1.6435,0.8182
0.7782,1.4624,0.7931
0.7782,1.2553,0.6667
0.8451,1.6532,0.8444
1.2305,2.4099,0.9338
1.0414,1.9395,0.8736
1.5185,2.6181,0.9205
1.0,1.301,0.5
1.1139,1.415,0.5
1.2041,2.2148,0.9024
1.0792,1.6812,0.75
1.0,1.8062,0.8438
1.0792,1.7324,0.7778
0.9542,1.7781,0.85
1.1761,1.8129,0.7692
1.1761,2.1206,0.8864
1.5563,2.4281,0.8657
1.1461,1.8633,0.8082
0.8451,1.3979,0.72
1.0792,1.4314,0.5556
1.0414,1.5315,0.6765
0.9542,1.4624,0.6897
0.9542,1.2787,0.5263
1.0,1.5911,0.7436
0.9542,1.5185,0.7273
0.9542,1.3617,0.6087
1.1461,1.5911,0.641
0.7782,1.2553,0.6667
1.3222,2.3997,0.9163
1.1139,1.5798,0.6579
0.8451,1.5185,0.7879
1.1139,1.7993,0.7936
0.8451,1.3802,0.7083
1.0,1.4472,0.6429
1.3617,1.7924,0.629
1.0792,1.6335,0.7209
1.0792,1.5911,0.6923
1.0,1.8513,0.8591
1.0,1.6812,0.7917
1.0792,1.3617,0.4783
1.0,1.7324,0.8148
1.0792,1.5563,0.6667
1.0792,1.415,0.5385
1.0,1.699,0.8
0.9031,1.3222,0.6191
0.9542,1.6902,0.8163
0.8451,1.1139,0.4615
0.7782,1.2305,0.6471
1.0792,1.0792,0.0
0.8451,1.0414,0.3636
0.8451,1.1139,0.4615
1.0414,1.8195,0.8333
0.9542,1.4314,0.6667
1.0,1.3802,0.5833
0.9542,1.5315,0.7353
0.9542,1.4314,0.6667
1.1139,0.7782,-0.5385
1.0792,1.4771,0.6
0.9031,1.0792,0.3333
0.7782,1.1761,0.6
0.8451,1.0,0.3
0.8451,1.0414,0.3636
0.9542,1.0414,0.1818
0.8451,1.0792,0.4167
0.9542,1.0414,0.1818
0.9542,1.7781,0.85
0.9031,1.301,0.6
0.7782,1.1139,0.5385
0.9031,1.1461,0.4286
0.9031,0.9542,0.1111
1.0414,1.1139,0.1539
0.9542,1.4472,0.6786
0.9031,1.301,0.6
0.7782,1.2553,0.6667
0.9031,1.0792,0.3333
0.8451,0.7782,-0.1429
0.9542,1.4914,0.7097
0.9542,1.3617,0.6087
1.2041,2.4487,0.9431
1.2553,2.2989,0.9096
1.415,2.2201,0.8434
0.9031,1.2305,0.5294
0.9031,0.8451,-0.125
1.4914,2.776,0.9481
1.0792,1.2041,0.25
0.9542,1.2041,0.4375
0.8451,1.301,0.65
1.0792,1.5051,0.625
1.0414,1.5563,0.6944
1.1761,1.5911,0.6154
1.1139,1.716,0.75
1.2305,1.8389,0.7536
1.1139,1.8261,0.806
1.1139,1.3424,0.4091
0.9542,0.8451,-0.2222
1.1139,1.4624,0.5517
0.9031,1.415,0.6923
0.8451,1.6335,0.8372
0.9031,1.2787,0.5789
0.9031,1.2041,0.5
0.8451,1.0792,0.4167
1.0,1.3222,0.5238
1.1461,1.4472,0.5
1.0792,2.0128,0.8835
1.1139,1.7559,0.7719
1.0,1.1761,0.3333
1.3222,2.2945,0.8934
1.1139,1.4472,0.5357
1.0792,1.3802,0.5
0.9542,1.2305,0.4706
1.0414,1.5051,0.6563
1.1139,1.5441,0.6286
0.9542,1.4472,0.6786
0.9542,1.5051,0.7188
0.7782,1.9243,0.9286
0.8451,1.8451,0.9
0.8451,1.4771,0.7667
1.0792,1.6532,0.7333
0.9542,1.301,0.55
1.1761,1.9294,0.8235
1.1461,1.9912,0.8571
1.1461,1.6233,0.6667
1.0414,1.5185,0.6667
1.0792,1.4771,0.6
0.9031,1.4314,0.7037
1.0792,1.8389,0.8261
1.2041,1.9395,0.8161
1.0792,1.5051,0.625
1.1761,2.0086,0.8529
0.9542,1.4914,0.7097
0.9542,1.6435,0.7954
1.2553,1.9494,0.7977
1.1139,1.7324,0.7593
1.1761,1.5051,0.5313
0.9031,1.3617,0.6522
1.2553,2.6294,0.9578
0.699,1.2553,0.7222
0.9542,1.415,0.6539
1.0414,1.3617,0.5217
0.7782,1.301,0.7
1.1461,2.5515,0.9607
0.699,1.699,0.9
1.0414,1.4914,0.6452
0.9031,1.2553,0.5556
1.0,1.1461,0.2857
1.2041,2.5527,0.9552
1.1139,1.7243,0.7547
1.1139,1.5185,0.6061
1.0414,1.7853,0.8197
1.0792,1.4914,0.6129
0.9031,1.4472,0.7143
1.0,1.2787,0.4737
0.9542,1.415,0.6539
1.0,1.5315,0.7059
0.9542,1.7404,0.8364
0.9031,1.3802,0.6667
0.9542,1.3424,0.5909
0.9542,1.3222,0.5714
1.2787,1.1461,-0.2632
1.0792,0.7782,-0.5
1.2041,1.3979,0.36
1.0792,1.7482,0.7857
1.0792,1.0414,-0.0833
1.1461,1.0792,-0.1429
1.3222,2.2279,0.8757
1.6128,2.1644,0.7192
1.5441,1.6628,0.2391
1.1139,1.7404,0.7636
1.2305,1.699,0.66
1.0792,1.5441,0.6571
1.0414,1.301,0.45
1.0792,1.6233,0.7143
0.9031,1.1139,0.3846
0.7782,1.2553,0.6667
0.9542,1.1461,0.3571
1.2787,1.5315,0.4412
0.9031,1.2553,0.5556
1.0,1.1461,0.2857
1.301,1.0792,-0.4
1.2041,1.2787,0.1579
1.0792,1.0792,0.0
0.9542,1.0414,0.1818
1.1461,1.0792,-0.1429
1.3424,1.9395,0.7471
2.1303,2.1847,0.1177
1.3617,1.5051,0.2813
0.9031,1.0792,0.3333
1.1139,1.0792,-0.0769
1.0792,0.8451,-0.4167
1.1761,1.7243,0.717
1.2787,1.0414,-0.4211
1.0414,1.0414,0.0
0.7782,1.2305,0.6471
1.1139,1.3802,0.4583
1.0792,1.301,0.4
1.3424,1.8389,0.6812
1.0,1.4314,0.6296
1.2553,1.699,0.64
1.1761,1.2041,0.0625
1.0414,0.9542,-0.1818
0.8451,1.301,0.65
