steel/table9.V23,steel/table9.V24,steel/table9.V25
1.1761,1.0792,-0.2
0.8451,0.699,-0.2857
2.243,1.7853,-0.6514
1.4472,1.2787,-0.3214
0.7782,1.2305,0.6471
2.1959,1.7993,-0.5987
2.2504,2.1461,-0.2135
2.1959,1.8062,-0.5924
0.699,0.4771,-0.4
2.233,1.8261,-0.6082
0.9542,1.0792,0.25
0.699,1.699,0.9
0.7782,1.2553,0.6667
2.2279,1.7924,-0.6331
1.2305,1.5911,0.5641
2.4683,1.0792,-0.9592
0.9031,1.4771,0.7333
1.5563,1.415,-0.2778
2.1931,2.2833,0.1875
0.9542,1.0414,0.1818
1.3617,1.0,-0.5652
2.248,1.7924,-0.6497
1.1139,1.0,-0.2308
2.1303,2.1847,0.1177
1.0414,1.2041,0.3125
1.1461,1.4472,0.5
1.1139,1.3979,0.48
1.1461,1.415,0.4615
1.3802,1.2787,-0.2083
0.9542,1.0414,0.1818
1.0414,2.1614,0.9241
1.8633,0.699,-0.9315
1.7404,1.2553,-0.6727
2.238,2.3385,0.2064
1.5441,1.5441,0.0
1.0,1.1761,0.3333
0.9031,1.0,0.2
1.8451,2.3032,0.6517
1.0414,1.0,-0.0909
2.281,2.2765,-0.0105
2.5224,0.4771,-0.991
0.7782,1.1461,0.5714
0.9542,1.2787,0.5263
1.1139,1.2305,0.2353
0.9031,0.9031,0.0
0.9031,1.1139,0.3846
1.2305,1.1461,-0.1765
2.1703,2.2304,0.1294
2.2253,1.8129,-0.6131
2.1818,1.6812,-0.6842
1.5051,1.0414,-0.6563
2.842,2.3032,-0.7108
1.3222,1.3424,0.0454
0.9542,1.301,0.55
1.2305,1.5315,0.5
1.2305,1.6902,0.6531
2.143,2.2095,0.142
0.9031,1.4914,0.7419
1.1461,1.0792,-0.1429
1.0792,1.3979,0.52
1.0414,1.301,0.45
1.0792,1.2553,0.3333
2.1271,2.1703,0.0946
0.9542,1.0,0.1
0.9542,1.1139,0.3077
0.9031,1.4314,0.7037
0.9031,0.9031,0.0
1.1761,1.2041,0.0625
0.9031,1.3802,0.6667
1.4624,0.4771,-0.8965
1.2041,1.4914,0.4839
1.3802,1.1461,-0.4167
1.2305,1.2553,0.0556
1.0414,1.301,0.45
2.2529,2.1703,-0.1732
0.9031,0.9542,0.1111
0.9542,1.0792,0.25
2.2504,1.8325,-0.618
1.5441,1.1461,-0.6
1.0,1.1461,0.2857
1.6021,2.2455,0.7727
1.2787,1.5315,0.4412
2.1335,1.6812,-0.6471
2.0,0.9031,-0.92
1.2787,1.8513,0.7324
0.9542,2.1903,0.9419
1.716,1.4914,-0.4038
1.7243,1.7243,0.0
1.1139,1.0,-0.2308
1.0414,1.2787,0.4211
1.0,1.0414,0.0909
2.238,1.8195,-0.6185
1.0,1.4771,0.6667
0.6021,0.6021,0.0
1.5798,1.2041,-0.5789
1.1761,1.2041,0.0625
1.1761,2.1206,0.8864
1.2787,1.7076,0.6274
1.4624,1.1761,-0.4828
0.699,0.7782,0.1667
0.9031,1.0414,0.2727
0.9542,1.0,0.1
1.5185,2.1004,0.7381
1.1461,1.1461,0.0
0.7782,1.0792,0.5
1.301,0.6021,-0.8
1.1461,1.1461,0.0
1.2305,1.3802,0.2917
2.1818,2.1703,-0.0263
1.2305,1.2041,-0.0588
1.0414,0.9542,-0.1818
1.2305,1.6812,0.6458
0.8451,1.0,0.3
1.1761,1.0792,-0.2
1.6021,0.301,-0.95
1.9031,1.6628,-0.425
