pk_table,pk_column,fk_table,fk_column
table42.csv,wtd_range_atomic_mass,table45.csv,wtd_range_atomic_mass
table42.csv,wtd_mean_atomic_radius,table44.csv,wtd_mean_atomic_radius
table42.csv,wtd_mean_atomic_radius,table47.csv,wtd_mean_atomic_radius
table42.csv,wtd_mean_atomic_radius,table40.csv,wtd_mean_atomic_radius
table42.csv,wtd_range_fie,table21.csv,wtd_range_fie
table42.csv,wtd_range_atomic_mass,table20.csv,wtd_range_atomic_mass
table42.csv,wtd_range_fie,table20.csv,wtd_range_fie
table42.csv,wtd_range_fie,table37.csv,wtd_range_fie
table42.csv,wtd_range_fie,table27.csv,wtd_range_fie
table42.csv,wtd_range_fie,table26.csv,wtd_range_fie
table42.csv,wtd_range_fie,table18.csv,wtd_range_fie
table42.csv,wtd_range_atomic_mass,table25.csv,wtd_range_atomic_mass
table42.csv,wtd_range_atomic_mass,table29.csv,wtd_range_atomic_mass
table42.csv,wtd_mean_atomic_radius,table12.csv,wtd_mean_atomic_radius
table42.csv,wtd_mean_atomic_radius,table17.csv,wtd_mean_atomic_radius
table42.csv,wtd_range_atomic_mass,table17.csv,wtd_range_atomic_mass
table42.csv,wtd_range_atomic_mass,table38.csv,wtd_range_atomic_mass
table42.csv,wtd_mean_atomic_radius,table9.csv,wtd_mean_atomic_radius
table42.csv,wtd_range_atomic_mass,table9.csv,wtd_range_atomic_mass
table42.csv,wtd_range_fie,table9.csv,wtd_range_fie
table43.csv,wtd_mean_Density,table45.csv,wtd_mean_Density
table43.csv,wtd_mean_Density,table30.csv,wtd_mean_Density
table43.csv,wtd_mean_Density,table29.csv,wtd_mean_Density
table43.csv,wtd_range_Valence,table39.csv,wtd_range_Valence
table43.csv,wtd_mean_Density,table39.csv,wtd_mean_Density
table41.csv,wtd_mean_FusionHeat,table40.csv,wtd_mean_FusionHeat
table41.csv,wtd_std_Valence,table40.csv,wtd_std_Valence
table41.csv,mean_Valence,table40.csv,mean_Valence
table43.csv,wtd_mean_Density,table9.csv,wtd_mean_Density
table41.csv,wtd_mean_FusionHeat,table52.csv,wtd_mean_FusionHeat
table41.csv,wtd_mean_FusionHeat,table5.csv,wtd_mean_FusionHeat
table41.csv,wtd_mean_FusionHeat,table4.csv,wtd_mean_FusionHeat
table41.csv,wtd_mean_FusionHeat,table6.csv,wtd_mean_FusionHeat
table41.csv,wtd_mean_FusionHeat,table7.csv,wtd_mean_FusionHeat
table41.csv,wtd_mean_FusionHeat,table18.csv,wtd_mean_FusionHeat
table41.csv,wtd_mean_FusionHeat,table19.csv,wtd_mean_FusionHeat
table41.csv,wtd_std_Valence,table17.csv,wtd_std_Valence
table41.csv,wtd_std_Valence,table39.csv,wtd_std_Valence
table41.csv,wtd_mean_FusionHeat,table11.csv,wtd_mean_FusionHeat
table41.csv,wtd_std_Valence,table11.csv,wtd_std_Valence
table41.csv,wtd_std_Valence,table10.csv,wtd_std_Valence
table41.csv,wtd_std_Valence,table38.csv,wtd_std_Valence
table41.csv,wtd_mean_FusionHeat,table8.csv,wtd_mean_FusionHeat
table41.csv,wtd_mean_FusionHeat,table49.csv,wtd_mean_FusionHeat
table40.csv,wtd_mean_atomic_radius,table44.csv,wtd_mean_atomic_radius
table41.csv,wtd_mean_FusionHeat,table9.csv,wtd_mean_FusionHeat
table41.csv,wtd_std_Valence,table9.csv,wtd_std_Valence
table40.csv,wtd_mean_atomic_radius,table47.csv,wtd_mean_atomic_radius
table40.csv,wtd_mean_FusionHeat,table52.csv,wtd_mean_FusionHeat
table40.csv,wtd_mean_FusionHeat,table5.csv,wtd_mean_FusionHeat
table40.csv,wtd_mean_FusionHeat,table6.csv,wtd_mean_FusionHeat
table40.csv,wtd_mean_FusionHeat,table4.csv,wtd_mean_FusionHeat
table40.csv,wtd_mean_FusionHeat,table7.csv,wtd_mean_FusionHeat
table40.csv,wtd_mean_FusionHeat,table18.csv,wtd_mean_FusionHeat
table40.csv,wtd_mean_FusionHeat,table19.csv,wtd_mean_FusionHeat
table40.csv,wtd_mean_atomic_radius,table17.csv,wtd_mean_atomic_radius
table40.csv,wtd_std_Valence,table17.csv,wtd_std_Valence
table40.csv,wtd_mean_atomic_radius,table12.csv,wtd_mean_atomic_radius
table40.csv,wtd_std_Valence,table39.csv,wtd_std_Valence
table40.csv,wtd_mean_FusionHeat,table11.csv,wtd_mean_FusionHeat
table40.csv,wtd_std_Valence,table11.csv,wtd_std_Valence
table40.csv,wtd_std_Valence,table10.csv,wtd_std_Valence
table40.csv,wtd_std_Valence,table38.csv,wtd_std_Valence
table40.csv,wtd_mean_FusionHeat,table8.csv,wtd_mean_FusionHeat
table40.csv,wtd_mean_FusionHeat,table49.csv,wtd_mean_FusionHeat
table50.csv,wtd_mean_ElectronAffinity,table47.csv,wtd_mean_ElectronAffinity
table50.csv,wtd_range_ElectronAffinity,table52.csv,wtd_range_ElectronAffinity
table50.csv,wtd_mean_ElectronAffinity,table46.csv,wtd_mean_ElectronAffinity
table40.csv,wtd_mean_atomic_radius,table9.csv,wtd_mean_atomic_radius
table40.csv,wtd_mean_FusionHeat,table9.csv,wtd_mean_FusionHeat
table40.csv,wtd_std_Valence,table9.csv,wtd_std_Valence
table50.csv,wtd_range_ElectronAffinity,table5.csv,wtd_range_ElectronAffinity
table50.csv,wtd_mean_ElectronAffinity,table5.csv,wtd_mean_ElectronAffinity
table50.csv,wtd_range_ElectronAffinity,table6.csv,wtd_range_ElectronAffinity
table50.csv,wtd_mean_ElectronAffinity,table4.csv,wtd_mean_ElectronAffinity
table50.csv,wtd_mean_ElectronAffinity,table6.csv,wtd_mean_ElectronAffinity
table50.csv,wtd_range_ElectronAffinity,table7.csv,wtd_range_ElectronAffinity
table50.csv,wtd_mean_ElectronAffinity,table32.csv,mean_ElectronAffinity
table50.csv,wtd_mean_ElectronAffinity,table24.csv,wtd_mean_ElectronAffinity
table50.csv,wtd_range_ElectronAffinity,table8.csv,wtd_range_ElectronAffinity
table44.csv,wtd_mean_atomic_radius,table47.csv,wtd_mean_atomic_radius
table50.csv,wtd_mean_ElectronAffinity,table9.csv,wtd_mean_ElectronAffinity
table44.csv,wtd_mean_ThermalConductivity,table21.csv,wtd_mean_ThermalConductivity
table44.csv,wtd_mean_ThermalConductivity,table20.csv,wtd_mean_ThermalConductivity
table44.csv,wtd_mean_ThermalConductivity,table4.csv,wtd_gmean_ThermalConductivity
table44.csv,wtd_mean_ThermalConductivity,table22.csv,wtd_mean_ThermalConductivity
table44.csv,wtd_mean_ThermalConductivity,table23.csv,wtd_mean_ThermalConductivity
table44.csv,wtd_mean_ThermalConductivity,table37.csv,wtd_mean_ThermalConductivity
table44.csv,wtd_mean_atomic_radius,table12.csv,wtd_mean_atomic_radius
table44.csv,mean_atomic_radius,table12.csv,gmean_atomic_radius
table44.csv,wtd_mean_atomic_radius,table17.csv,wtd_mean_atomic_radius
table44.csv,wtd_mean_ThermalConductivity,table49.csv,wtd_mean_ThermalConductivity
table44.csv,wtd_mean_ThermalConductivity,table9.csv,wtd_mean_ThermalConductivity
table44.csv,wtd_mean_atomic_radius,table9.csv,wtd_mean_atomic_radius
table45.csv,wtd_range_atomic_mass,table20.csv,wtd_range_atomic_mass
table45.csv,wtd_mean_Density,table30.csv,wtd_mean_Density
table45.csv,wtd_range_atomic_mass,table25.csv,wtd_range_atomic_mass
table45.csv,wtd_range_atomic_mass,table29.csv,wtd_range_atomic_mass
table45.csv,wtd_mean_Density,table29.csv,wtd_mean_Density
table45.csv,wtd_range_atomic_mass,table17.csv,wtd_range_atomic_mass
table45.csv,wtd_mean_Density,table39.csv,wtd_mean_Density
table45.csv,wtd_range_atomic_mass,table38.csv,wtd_range_atomic_mass
table45.csv,wtd_range_atomic_mass,table9.csv,wtd_range_atomic_mass
table45.csv,wtd_mean_Density,table9.csv,wtd_mean_Density
table51.csv,range_atomic_mass,table37.csv,range_atomic_mass
table51.csv,wtd_mean_fie,table26.csv,wtd_mean_fie
table51.csv,range_atomic_mass,table18.csv,range_atomic_mass
table51.csv,wtd_mean_fie,table24.csv,wtd_mean_fie
table51.csv,range_atomic_mass,table25.csv,range_atomic_mass
table51.csv,wtd_mean_fie,table25.csv,wtd_mean_fie
table51.csv,wtd_mean_fie,table28.csv,wtd_mean_fie
table51.csv,range_atomic_mass,table17.csv,range_atomic_mass
table51.csv,range_atomic_mass,table10.csv,range_atomic_mass
table51.csv,wtd_mean_fie,table38.csv,wtd_mean_fie
table51.csv,wtd_mean_fie,table48.csv,wtd_mean_fie
table47.csv,wtd_mean_ElectronAffinity,table46.csv,wtd_mean_ElectronAffinity
table51.csv,range_atomic_mass,table9.csv,range_atomic_mass
table51.csv,wtd_mean_fie,table9.csv,wtd_mean_fie
table47.csv,wtd_mean_ElectronAffinity,table5.csv,wtd_mean_ElectronAffinity
