criticaltemp,wtd_mean_atomic_mass,wtd_range_atomic_radius
29.0,57.8626922857143,42.9142857142857
26.0,58.5184161428571,50.5714285714286
19.0,57.8852418571429,49.3142857142857
22.0,57.8739670714286,46.1142857142857
23.0,57.8401427142857,36.5142857142857
23.0,57.7950435714286,23.7142857142857
11.0,57.6822957142857,15.4285714285714
33.0,57.1751418571429,49.8
36.0,56.8088170714286,46.8428571428571
31.0,56.4424922857143,43.8857142857143
33.0,55.7098427142857,37.9714285714286
26.0,63.713457,40.0285714285714
27.0,58.201829,51.75
27.0,58.5184161428571,50.5714285714286
26.0,59.4681775714286,49.3142857142857
27.0,61.0511132857143,49.3142857142857
82.0,47.5053192307692,26.0
30.0,57.8739670714286,46.1142857142857
39.0,56.8088170714286,46.8428571428571
14.8,57.5414666428571,52.7571428571429
30.0,57.1751418571429,49.8
35.5,56.2593298928571,42.4071428571429
23.3,56.0761675,40.9285714285714
18.2,55.7098427142857,37.9714285714286
18.3,55.3435179285714,35.0142857142857
18.3,54.9771931428571,32.0571428571429
37.5,56.6256546785714,45.3642857142857
20.0,55.7900599285714,47.3785714285714
76.9,152.46412,175.2
65.3,104.627,87.9
78.6,139.466266666667,142.666666666667
79.3,102.84178115,88.815
90.0,65.8346466666667,34.6
90.5,65.8346466666667,34.6
92.0,77.2794666666667,32.3333333333333
93.2,75.9783078333333,38.8166666666667
94.4,75.451521,43.0333333333333
93.2,74.9247341666667,47.25
80.5,74.3979473333333,52.6666666666667
48.0,55.09179,23.9230769230769
90.0,81.45675,65.4285714285714
90.0,48.3803623529412,15.7647058823529
92.0,49.4136183333333,16.75
80.0,51.9229542857143,22.6571428571429
85.0,73.2128,34.6
8.0,50.9452,11.88
13.0,51.36808,11.72
91.0,51.78808,12.12
94.0,51.9825056,12.28
93.0,52.1688,12.28
93.0,52.3028168,12.6
91.0,52.785424,13.0
18.0,94.0176727272727,64.6363636363636
43.0,90.2359142857143,65.4285714285714
40.0,96.3827636363636,64.6363636363636
70.0,81.45675,65.4285714285714
95.5,46.868971,22.7
94.0,78.86562,63.9
88.0,73.2809171428571,51.3428571428571
28.0,60.7767998571429,43.6928571428571
35.5,56.8088170714286,46.8428571428571
79.2,102.9195735,79.05
26.0,55.3435179285714,35.0142857142857
92.0,65.8346466666667,34.6
88.0,52.6324,12.6
71.9,67.1356057142857,48.5714285714286
81.0,36.8819275,27.7833333333333
