superconduct/table3.criticaltemp,superconduct/table3.wtd_range_atomic_radius,wtd_mean_atomic_mass
5.0,141.5,53.7223
97.0,46.15,71.92235
62.1,38.0492307692308,51.2569515384615
60.0,31.2923076923077,48.5869096153846
4.0,50.35,72.150027125
17.1,50.08,60.4457678
36.6,47.2568571428571,56.8601025414286
9.2,45.9166666666667,52.9075225
3.48,39.6875,55.708355
4.1,66.75,190.1263675
71.0,37.3993808049536,51.4103542763158
30.4,43.8857142857143,56.4424922857143
2.24,86.7142857142857,116.730214285714
37.8,57.13,15.544446
3.1,27.0,135.348023333333
67.0,38.4315384615385,51.2520138461539
50.0,53.8571428571429,68.9846535714286
11.7,34.2785493827161,55.5598947916667
18.0,145.375,98.205285
11.0,28.1785714285714,49.5670857142857
5.2,91.7777777777778,186.022566666667
3.9,39.2,94.19796
16.0,23.4545454545455,70.7709818181818
35.0,27.7923076923077,47.68795
82.0,38.1769230769231,56.5809703846154
78.0,22.96875,51.79638828125
2.84,165.504,48.22111824
11.0,61.3142857142857,58.4628789285714
80.0,33.9333333333333,92.43951
15.55,57.1796,79.888625666
27.0,40.5,50.6182875
2.4,59.1666666666667,157.448783333333
0.96,13.8181818181818,69.4392736363636
1.67,57.3333333333333,82.365304
9.0,10.0,22.03785
2.0,34.0,68.1751604651163
94.0,23.0769230769231,55.5022923076923
33.15,51.224,15.3617868
8.2,26.5,67.4025
0.065,57.3333333333333,123.47
77.9,29.5353846153846,48.190253
87.2,58.4873949579832,72.8246220888355
11.6,39.8666666666667,40.1493116666667
22.5,57.9714285714286,81.5807892857143
0.49,108.0,114.915716666667
80.0,65.4285714285714,88.8855785714286
3.07,80.23,149.16767
1.87,30.1875,65.3625325
1.95,54.75,77.600095
0.855,0.0,65.38
14.0,52.7257142857143,57.1777618571429
69.0,23.1459612659424,52.0725735159817
21.0,36.0948616600791,56.9294498023715
8.6,69.3,82.169
11.1,25.3333333333333,51.2521230933333
88.0,42.5,77.184690625
7.83,8.0,38.1761266666667
6.49,72.9642857142857,81.58425
16.3,34.3125,68.587934375
2.5,16.8,69.4002
8.5,20.5263157894737,67.0790821052632
79.0,25.8548152681098,51.1842227262296
3.6,42.5,44.73265925
60.4,37.8307692307692,57.2869384615385
14.3,57.4,81.9945
126.6,27.9166666666667,61.5342
6.88,88.8006091370558,42.9161280812183
4.1,39.1785714285714,56.7431208333333
19.8,40.4488778054863,53.6817495428096
90.5,27.7529411764706,53.5064435294118
4.0,16.9013333333333,61.82392
0.75,170.904095904096,102.471329140859
65.0,71.52,80.8677751428571
0.37,39.57,51.352794
0.88,107.171428571429,110.441605142857
11.3,79.6666666666667,95.1178333333333
103.0,26.0790273556231,53.7713027355623
79.0,28.8189778992726,50.885523569476
38.7,18.1442841287458,57.2540019977803
27.4,33.6108949416342,52.8711501945525
21.96,51.11,56.7949525
40.0,46.6960979777841,56.6809607376816
0.435,130.935,186.401932185
74.6,69.5142857142857,82.244975
91.0,45.3086419753086,57.5278243120988
0.0125,72.9,95.12174
5.3,98.75,66.34025
7.2,76.0,42.47918
45.4,37.8826666666667,49.7029964
29.0,30.7633928571429,68.8918615428572
11.0,44.4571428571429,47.441593408
22.8,51.1908571428571,56.8132710714286
29.5,16.8,82.69944
85.0,27.7692307692308,50.7844192307692
34.0,61.5294117647059,75.3121953529412
1.07,67.6467661691542,123.119024875622
0.168,79.5,87.051325
75.0,46.6833333333333,94.1836922222222
93.5,65.4285714285714,80.1128357142857
64.9,32.3476702508961,75.7637010752688
0.00104,0.0,195.084
16.95,100.5,45.2275
89.0,37.4307692307692,56.1332990769231
7.4,0.0,12.0107
32.85,30.6678571428571,49.1956410714286
108.0,23.2368421052632,53.8707210526316
3.1,54.88,87.234936
4.0,27.8823529411765,62.3681324647059
81.8,22.96875,51.79638828125
6.14,53.616,79.85407392
21.0,28.6371428571429,49.02184
42.7,28.7266666666667,60.3698298333333
20.0,107.3,90.310488125
0.478,0.0,190.23
79.3,70.0625,78.3221149375
0.07,81.25,64.72345
23.4,54.6384,79.849862514
27.8,30.3875968992248,56.3869523255814
1.68,47.0,93.9082333333333
76.0,71.4714285714286,81.5956671428571
59.3,33.2999228989977,52.5300083269083
34.9,57.376,15.43516
2.36,87.02,45.51817829
81.0,16.2666666666667,59.2244
81.0,26.7333333333333,60.55824
87.8,26.0263157894737,59.2981217105263
88.5,22.6764365599691,51.3408153490166
24.9,50.1133465570983,57.737776737036
0.429,110.316,129.507021142857
78.0,37.4307692307692,56.5661388461538
1.5,18.0,114.09
13.5,41.7307142857143,59.7585938214286
88.0,56.7428571428571,77.736175
18.23,143.1375,102.742425
77.0,31.0015649452269,50.6627646322379
3.5,69.84375,75.280984375
2.7,35.2352941176471,91.9711754901961
40.0,54.1178120617111,57.0717541795231
3.88,26.0,37.6424166666667
60.4,33.2230769230769,52.4457069230769
13.8,57.95,71.995617375
37.0,31.2538461538462,47.6252053846154
1.16,114.96225,188.030360485
0.6,19.9751243781095,65.0511243781094
16.6,51.0035714285714,56.7914863571429
0.96,38.2826086956522,47.4630608695652
34.0,55.7142857142857,69.5950860714286
19.3,56.788,79.82445056
1.3,6.0,76.53305
26.0,43.0274135876043,72.589674135876
60.2,37.0230769230769,54.1238896153846
2.455,12.0,107.9607
68.0,38.284,49.718382
55.5,37.2143974960876,51.016091627543
0.055,110.75,109.765515
36.6,56.0333333333333,15.3536089766667
2.09,64.7,140.20785
12.0,39.9028571428571,58.0241844
16.0,45.0342857142857,57.8816446071429
4.8,37.4065040650406,54.449146097561
0.067,142.0,191.090088
27.0,49.94,56.4451122857143
1.5,10.5,164.48
62.0,48.75,97.046275
2.24,57.3333333333333,82.365304
4.0,62.4590163934426,80.7302847422951
4.2,15.2222222222222,36.3349666666667
7.42,86.39,42.48157795
55.0,55.7142857142857,70.2580607142857
3.1,34.8,85.90295432
4.4,45.0666666666667,90.4033111111111
11.0,18.5714285714286,48.8115142857143
3.9,73.5833333333333,67.5631
86.9,50.575,95.63115
4.35,37.36,87.030240384
40.0,32.5555555555556,58.4425555555556
64.8,32.9783113865221,48.2189174283501
105.55,41.8425742574257,89.032050990099
38.0,27.5134719014627,52.1576823325635
26.0,50.64,77.42569944
6.19,50.6666666666667,80.3680933333333
55.2,36.7630769230769,56.3962784615385
40.0,29.2142857142857,53.6279645714286
15.3,94.25,55.636875
108.55,37.3142857142857,90.0869339
55.3,56.9825,73.56940565
86.5,22.6153846153846,51.2456653846154
4.7,2.66666666666666,83.6087933333333
21.0,62.0666666666667,51.2778580516667
18.0,52.1333333333333,56.73690688
92.0,19.6976744186046,55.8621209302326
40.0,48.75,97.046275
89.3,22.9150428682775,51.712685268901
4.59,55.25,131.35625
70.78,52.63,97.5345535
1.746,57.6005,122.962346
91.0,22.7906976744186,51.518892248062
21.87,36.8125,68.426703125
13.05,124.209,54.5767630422
5.3,40.2,92.73266032
25.1,43.8555513087301,57.6786013136847
5.33,23.7579908675799,69.451894063927
66.0,36.3104524180967,50.7581682917317
13.2,131.556331006979,73.2305348953141
7.5,32.9828571428571,61.0543087142857
0.46,64.0,146.816125
2.0,0.0,74.9216
45.0,26.4307692307692,43.3359161538462
86.5,25.0384615384615,54.9949461538462
41.4,25.6643887623386,51.1576437357631
22.7,59.54,60.9756342857143
13.6,50.0228571428571,59.2099577857143
76.0,19.6443757247777,55.7542589099343
51.0,37.6633333333333,49.6902666666667
45.0,37.7430769230769,50.8800207706154
78.5,22.96875,51.79638828125
19.6,41.395752058951,56.5336251842219
8.5,59.0793650793651,14.2782061977778
0.75,103.72,77.235862
1.74,65.0275,122.40106
29.4,51.3328571428571,56.8114370714286
52.0,26.0822342901474,50.0751618308766
93.4,38.6830769230769,51.2338176923077
0.1,23.125748502994,33.8569620758483
