range_atomic_radius,range_fie,wtd_mean_fie
205.0,810.6,1010.26857142857
205.0,810.6,1010.61285714286
205.0,810.6,1010.82
205.0,810.6,1010.54428571429
205.0,810.6,1009.71714285714
205.0,810.6,1008.61428571429
205.0,810.6,1005.85714285714
171.0,772.0,1011.48428571429
171.0,772.0,1011.54071428571
171.0,772.0,1011.59714285714
171.0,772.0,1011.71
205.0,810.6,1020.90285714286
205.0,810.6,1010.71642857143
205.0,810.6,1010.61285714286
205.0,810.6,1010.30214285714
205.0,810.6,1009.78428571429
205.0,810.6,1006.96538461538
205.0,810.6,1010.54428571429
171.0,772.0,1011.54071428571
171.0,772.0,1011.42785714286
171.0,772.0,1011.48428571429
171.0,772.0,1011.62535714286
171.0,772.0,1011.65357142857
171.0,772.0,1011.71
171.0,772.0,1011.76642857143
171.0,772.0,1011.82285714286
171.0,772.0,1011.56892857143
147.0,772.0,1012.40642857143
205.0,810.6,647.68
205.0,810.6,811.0
205.0,810.6,686.511111111111
205.0,810.6,808.447
205.0,810.6,868.586666666667
205.0,810.6,868.586666666667
205.0,810.6,866.616666666667
205.0,810.6,863.625
205.0,810.6,862.183333333333
205.0,810.6,860.741666666667
205.0,810.6,859.3
205.0,810.6,997.907692307692
205.0,810.6,738.357142857143
205.0,810.6,1032.74352941176
205.0,810.6,1027.05666666667
205.0,810.6,1013.24571428571
205.0,810.6,857.4
205.0,810.6,1040.912
205.0,810.6,1044.696
205.0,810.6,1042.52
205.0,810.6,1043.08
205.0,810.6,1043.64
205.0,810.6,1044.28
205.0,810.6,1038.2
205.0,810.6,691.690909090909
205.0,810.6,727.6
205.0,810.6,703.090909090909
205.0,810.6,738.357142857143
205.0,810.6,1044.134
205.0,810.6,788.355
205.0,810.6,822.74
205.0,810.6,1015.31
171.0,772.0,1011.54071428571
205.0,810.6,807.905
171.0,772.0,1011.76642857143
205.0,810.6,868.586666666667
205.0,810.6,1045.4
205.0,810.6,1003.04285714286
205.0,810.6,1100.25166666667
205.0,810.6,1010.54428571429
171.0,772.0,1011.54071428571
171.0,772.0,1010.97428571429
171.0,772.0,1011.46157142857
171.0,772.0,1011.46485714286
171.0,772.0,1011.51657142857
171.0,772.0,1011.69785714286
171.0,772.0,1011.69071428571
171.0,772.0,1011.53428571429
171.0,772.0,1011.82685714286
199.0,786.5,1011.39
171.0,781.6,1011.46
190.0,773.0,1011.58285714286
185.0,772.0,1012.35571428571
205.0,810.6,1003.78576923077
205.0,810.6,1003.94846153846
205.0,810.6,1003.65561538462
205.0,810.6,1003.68815384615
205.0,810.6,1003.75323076923
205.0,810.6,1003.62307692308
205.0,810.6,979.461538461538
205.0,810.6,999.146153846154
205.0,810.6,1003.62307692308
205.0,810.6,1003.62307692308
205.0,810.6,1001.99230769231
205.0,810.6,1003.62307692308
205.0,810.6,1003.62307692308
205.0,810.6,1003.62307692308
205.0,810.6,1003.62307692308
205.0,810.6,1022.77142857143
205.0,810.6,1024.36571428571
