superconduct/table48.range_atomic_radius,superconduct/table48.range_fie,superconduct/table48.wtd_mean_fie
7.0,145.7,672.37
205.0,810.6,994.525
205.0,810.6,1004.61261538462
171.0,764.1,1005.63923076923
199.0,786.5,886.175
80.0,356.8,799.96
171.0,772.0,1011.53281428571
159.0,516.7,789.716666666667
128.0,544.6,862.725
41.0,174.1,671.675
205.0,810.6,1001.85890092879
171.0,772.0,1011.59714285714
29.0,179.4,578.514285714286
58.0,62.9000000000001,779.279533333333
81.0,405.1,785.133333333333
205.0,810.6,1004.17969230769
205.0,810.6,745.114285714286
205.0,810.6,996.099614197531
73.0,96.4,676.045
185.0,764.1,1028.33357142857
23.0,244.4,643.211111111111
113.0,238.9,903.74
183.0,766.2,1011.50545454545
205.0,810.6,1007.17692307692
205.0,810.6,1000.59076923077
205.0,810.6,998.7875
24.0,100.3,661.0096
199.0,786.5,1007.51785714286
171.0,764.1,695.763333333333
139.0,443.7,782.49404
171.0,764.1,924.0875
32.0,252.7,775.816666666667
84.0,244.9,701.1
6.0,79.5,683.8
20.0,86.7,1042.35
145.0,724.2,1136.2023255814
205.0,810.6,997.169230769231
78.0,348.4,791.795333333333
53.0,181.3,849.75
18.0,109.6,648.266666666667
205.0,810.6,1008.87923076923
205.0,810.6,1010.4481392557
145.0,470.3,795.943333333333
171.0,764.1,749.871428571429
44.0,206.5,685.083333333333
205.0,810.6,725.671428571429
57.0,0.899999999999977,868.7
111.0,335.4,879.725
65.0,175.5,703.125
0.0,0.0,905.8
171.0,772.0,1011.714
205.0,810.6,996.362478349866
205.0,810.6,988.894466403162
69.0,239.9,827.05
76.0,450.6,733.633333333333
199.0,786.5,719.45
111.0,136.6,754.666666666667
111.0,570.1,864.553571428571
199.0,786.5,887.65
151.0,543.4,762.68
73.0,237.3,762.442105263158
205.0,810.6,1003.72954180372
171.0,764.1,926.9375
205.0,810.6,1002.21384615385
53.0,181.3,828.33
205.0,810.6,997.416666666667
