range_ThermalConductivity,range_atomic_mass,wtd_mean_fie
399.97342,122.90607,1010.26857142857
429.97342,122.90607,1010.61285714286
399.97342,122.90607,1010.82
399.97342,122.90607,1010.54428571429
399.97342,122.90607,1009.71714285714
399.97342,122.90607,1008.61428571429
399.97342,122.90607,1005.85714285714
399.97342,122.90607,1011.48428571429
399.97342,122.90607,1011.54071428571
399.97342,122.90607,1011.59714285714
399.97342,122.90607,1011.71
399.97342,184.5906,1020.90285714286
429.97342,122.90607,1010.71642857143
429.97342,122.90607,1010.61285714286
429.97342,122.90607,1010.30214285714
429.97342,122.90607,1009.78428571429
399.97342,121.3276,1006.96538461538
399.97342,122.90607,1010.54428571429
399.97342,122.90607,1011.54071428571
399.97342,122.90607,1011.42785714286
399.97342,122.90607,1011.48428571429
399.97342,122.90607,1011.62535714286
399.97342,122.90607,1011.65357142857
399.97342,122.90607,1011.71
399.97342,122.90607,1011.76642857143
399.97342,122.90607,1011.82285714286
399.97342,122.90607,1011.56892857143
399.97342,122.90607,1012.40642857143
399.97342,157.0546,647.68
399.97342,157.0546,811.0
399.97342,157.0546,686.511111111111
399.97342,157.0546,808.447
399.97342,121.3276,868.586666666667
399.97342,121.3276,868.586666666667
399.97342,151.2596,866.616666666667
399.97342,152.93481,863.625
399.97342,152.93481,862.183333333333
399.97342,152.93481,860.741666666667
399.97342,152.93481,859.3
399.97342,122.90607,997.907692307692
399.97342,121.3276,738.357142857143
399.97342,121.3276,1032.74352941176
399.97342,121.3276,1027.05666666667
399.97342,121.3276,1013.24571428571
399.97342,128.2426,857.4
399.97342,135.9646,1040.912
399.97342,141.2506,1044.696
399.97342,146.5006,1042.52
399.97342,148.93092,1043.08
399.97342,151.2596,1043.64
399.97342,152.93481,1044.28
399.97342,158.9674,1038.2
399.97342,128.2426,691.690909090909
399.97342,134.3606,727.6
399.97342,141.2506,703.090909090909
399.97342,121.3276,738.357142857143
399.97342,121.3276,1044.134
399.97342,121.3276,788.355
399.97342,121.3276,822.74
399.97342,184.5906,1015.31
399.97342,122.90607,1011.54071428571
399.97342,157.0546,807.905
399.97342,122.90607,1011.76642857143
399.97342,121.3276,868.586666666667
399.97342,157.0546,1045.4
399.97342,158.9674,1003.04285714286
399.97342,121.3276,1100.25166666667
399.97342,122.90607,1010.54428571429
399.97342,122.90607,1011.54071428571
399.97342,122.90607,1010.97428571429
399.97342,122.90607,1011.46157142857
399.97342,122.90607,1011.46485714286
399.97342,122.90607,1011.51657142857
399.97342,122.90607,1011.69785714286
399.97342,122.90607,1011.69071428571
399.97342,122.90607,1011.53428571429
399.97342,122.90607,1011.82685714286
399.97342,124.90825,1011.39
399.97342,128.2426,1011.46
399.97342,134.3606,1011.58285714286
399.97342,141.2506,1012.35571428571
399.97342,121.3276,1003.78576923077
399.97342,121.3276,1003.94846153846
399.97342,121.3276,1003.65561538462
399.97342,121.3276,1003.68815384615
