pk_table,pk_column,fk_table,fk_column
table5.csv,oz249,table14.csv,oz249
table5.csv,oz249,table3.csv,oz249
table5.csv,oz5,table3.csv,oz5
table5.csv,oz247,table2.csv,oz247
table5.csv,oz9,table2.csv,oz9
table5.csv,oz249,table7.csv,oz249
table5.csv,oz247,table1.csv,oz247
table5.csv,oz249,table1.csv,oz249
table5.csv,oz5,table1.csv,oz5
table5.csv,oz6,table1.csv,oz6
table5.csv,oz9,table1.csv,oz9
table5.csv,oz249,table17.csv,oz249
table5.csv,oz249,table16.csv,oz249
table5.csv,oz249,table13.csv,oz249
table5.csv,oz149,table9.csv,oz149
table5.csv,oz249,table9.csv,oz249
table5.csv,oz149,table6.csv,oz149
table5.csv,oz247,table6.csv,oz247
table5.csv,oz249,table6.csv,oz249
table5.csv,oz249,table11.csv,oz249
table5.csv,oz149,table15.csv,oz149
table5.csv,oz149,table12.csv,oz149
table5.csv,oz249,table10.csv,oz249
table5.csv,oz249,table8.csv,oz249
table4.csv,oz248,table2.csv,oz248
table4.csv,oz250,table2.csv,oz250
table4.csv,oz251,table2.csv,oz251
table4.csv,oz250,table1.csv,oz250
table4.csv,oz251,table1.csv,oz251
table6.csv,oz249,table3.csv,oz249
table6.csv,oz124,table7.csv,oz124
table6.csv,oz150,table7.csv,oz150
table6.csv,oz171,table7.csv,oz171
table6.csv,oz175,table7.csv,oz175
table6.csv,oz197,table7.csv,oz197
table6.csv,oz249,table7.csv,oz249
table6.csv,oz247,table2.csv,oz247
table6.csv,oz172,table14.csv,oz172
table6.csv,oz175,table14.csv,oz175
table6.csv,oz249,table14.csv,oz249
table6.csv,oz249,table17.csv,oz249
table6.csv,oz247,table1.csv,oz247
table6.csv,oz249,table1.csv,oz249
table6.csv,oz128,table15.csv,oz128
table6.csv,oz131,table15.csv,oz131
table6.csv,oz149,table15.csv,oz149
table6.csv,oz150,table15.csv,oz150
table6.csv,oz151,table15.csv,oz151
table6.csv,oz165,table15.csv,oz165
table6.csv,oz171,table15.csv,oz171
table6.csv,oz172,table15.csv,oz172
table6.csv,oz173,table15.csv,oz173
table6.csv,oz175,table15.csv,oz175
table6.csv,oz176,table15.csv,oz176
table6.csv,oz177,table15.csv,oz177
table6.csv,oz178,table15.csv,oz178
table6.csv,oz249,table16.csv,oz249
table6.csv,oz172,table13.csv,oz172
table6.csv,oz197,table13.csv,oz197
table6.csv,oz249,table13.csv,oz249
table6.csv,oz149,table9.csv,oz149
table6.csv,oz175,table9.csv,oz175
table6.csv,oz176,table9.csv,oz176
table6.csv,oz249,table9.csv,oz249
table7.csv,oz249,table3.csv,oz249
table6.csv,oz172,table11.csv,oz172
table6.csv,oz249,table11.csv,oz249
