oz1,oz247,oz249,oz250,oz251,oz252,oz5,oz6,oz9
0.998925,0.028578,0.176438,0.116674,0.53708,0.983921,0.133333,0.0,0.0
0.999801,0.008386,0.183086,0.05328,0.603374,0.916621,0.0,0.0,0.0
0.951,0.020523,0.134016,0.05328,0.338043,0.908762,0.2,0.0,0.0
0.999958,0.172349,0.120501,0.0,0.544481,0.912105,0.2,0.0,0.0
0.999554,0.01622,0.149819,0.0,0.552606,0.914634,0.0,0.0,0.0
0.999797,0.075692,0.187659,0.080467,0.524246,0.910027,0.0,0.0,0.0
0.998759,0.020523,0.139989,0.063393,0.532319,0.914544,0.2,0.171429,0.0
0.998759,0.027695,0.099387,0.084369,0.461937,0.911021,0.133333,0.114286,0.0
0.999958,0.022399,0.107075,0.103065,0.49423,0.911111,0.066667,0.028571,0.0
0.999958,0.046011,0.096402,0.0839,0.483051,0.912195,0.0,0.0,0.0
0.999954,0.071389,0.134812,0.345839,0.48745,0.89449,0.0,0.0,0.0
0.999288,0.073375,0.195134,0.05328,0.586555,0.945619,0.066667,0.142857,0.0
0.99921,0.047225,0.092383,0.146794,0.39616,0.914182,0.0,0.0,0.0
0.998759,0.150171,0.194987,0.159841,0.467215,0.99449,0.133333,0.028571,0.181818
0.999958,0.020523,0.196209,0.132717,0.585261,0.914905,0.133333,0.0,0.0
0.998759,0.184155,0.115075,0.08209,0.477928,0.911472,0.066667,0.171429,0.0
0.998759,0.027695,0.090331,0.063393,0.462661,0.908491,0.066667,0.0,0.227273
0.999958,0.019199,0.392877,0.343467,0.656265,0.913369,0.133333,0.171429,0.0
0.998759,0.031226,0.119575,0.179131,0.541841,0.939657,0.2,0.028571,0.0
0.999958,0.046011,0.107998,0.0839,0.483051,0.907046,0.0,0.0,0.0
0.999958,0.056162,0.122608,0.130782,0.378202,0.905781,0.0,0.0,0.0
0.998759,0.082864,0.08978,0.159841,0.212907,0.906685,0.0,0.0,0.0
0.99838,0.070837,0.088568,0.122323,0.314082,0.90533,0.066667,0.028571,0.0
0.999556,0.075692,0.202876,0.049285,0.631579,0.902981,0.0,0.0,0.0
0.999958,0.020523,0.122684,0.05328,0.538063,0.915266,0.0,0.085714,0.0
0.999958,0.015116,0.1738,0.0,0.572427,0.913008,0.133333,0.0,0.0
0.999958,0.02273,0.21985,0.106561,0.51964,0.903613,0.0,0.057143,0.0
0.998759,0.043584,0.09807,0.198764,0.385551,0.909756,0.133333,0.028571,0.045455
0.999958,0.031336,0.156998,0.198764,0.461833,0.919964,0.066667,0.028571,0.045455
0.998759,0.067196,0.089573,0.203945,0.295296,0.909304,0.0,0.0,0.181818
0.999963,0.035308,0.125026,0.146794,0.520778,0.910208,0.0,0.0,0.0
0.999958,0.07823,0.171168,0.08209,0.538529,0.906504,0.2,0.028571,0.0
0.999423,0.048108,0.115483,0.226887,0.418827,0.903613,0.0,0.0,0.0
0.999958,0.025378,0.169768,0.1109,0.54624,0.915808,0.0,0.0,0.0
0.999577,0.015116,0.184562,0.141426,0.603426,0.935592,0.066667,0.0,0.0
0.998759,0.6841,0.112339,0.0,0.366092,0.905059,0.0,0.171429,0.0
0.999971,0.205671,0.08255,0.040233,0.45407,0.908762,0.066667,0.0,0.0
0.999971,0.015999,0.09778,0.040233,0.514206,0.906775,0.2,0.0,0.0
0.998759,0.024826,0.102257,0.05328,0.521192,0.911653,0.2,0.085714,0.0
0.999958,0.01622,0.166204,0.05328,0.581742,0.920325,0.133333,0.085714,0.0
0.999965,0.080216,0.205457,0.146794,0.466698,0.909304,0.0,0.028571,0.0
0.999537,0.032771,0.146083,0.148511,0.558557,0.908943,0.0,0.0,0.0
0.999556,0.014123,0.186768,0.05328,0.596543,0.91626,0.0,0.0,0.0
0.998759,0.22145,0.063905,0.0,0.43161,0.909395,0.066667,0.085714,0.0
0.998759,0.035419,0.089713,0.156346,0.455105,0.914002,0.2,0.028571,0.0
0.999537,0.027033,0.13976,0.148511,0.537494,0.910298,0.0,0.0,0.0
0.999958,0.035308,0.169081,0.222767,0.5155,0.99991,0.0,0.0,0.0
0.998759,0.024385,0.308561,0.130782,0.639445,0.899458,0.0,0.0,0.681818
0.998759,0.031226,0.074162,0.038579,0.485639,0.909485,0.2,0.028571,0.0
0.999577,0.020523,0.183054,0.1109,0.577654,0.913008,0.266667,0.028571,0.0
0.999752,0.008386,0.186322,0.05328,0.597371,0.919151,0.066667,0.028571,0.0
0.999965,0.02935,0.132298,0.040233,0.577861,0.909756,0.0,0.0,0.0
0.999958,0.051528,0.090696,0.132717,0.394763,0.920777,0.0,0.0,0.0
0.999577,0.10736,0.09266,0.05328,0.408115,0.909756,0.0,0.0,0.0
0.998759,0.074479,0.046397,0.106561,0.250116,0.912466,0.0,0.028571,0.0
