yprop/table12.oz125,yprop/table12.oz126,yprop/table12.oz127,yprop/table12.oz128,yprop/table12.oz131,yprop/table12.oz149,yprop/table12.oz150,yprop/table12.oz151,yprop/table12.oz165,yprop/table12.oz171,yprop/table12.oz172,yprop/table12.oz173,yprop/table12.oz175,yprop/table12.oz176,yprop/table12.oz177,yprop/table12.oz178
0.107143,0.0,0.171429,0.0,0.05,0.288462,0.136364,0.0,0.0,0.025,0.403846,0.0,0.153846,0.0,0.166667,0.333333
0.035714,0.266667,0.0,0.058824,0.0,0.153846,0.136364,0.071429,0.0,0.1625,0.153846,0.0,0.076923,0.0,0.0,0.0
0.142857,0.0,0.028571,0.0,0.0,0.134615,0.090909,0.071429,0.1,0.0,0.134615,0.083333,0.076923,0.076923,0.0,0.0
0.214286,0.0,0.0,0.0,0.0,0.076923,0.045455,0.142857,0.0,0.0,0.076923,0.0,0.076923,0.0,0.0,0.0
0.142857,0.133333,0.0,0.0,0.05,0.076923,0.045455,0.071429,0.2,0.0375,0.115385,0.083333,0.076923,0.0,0.083333,0.0
0.214286,0.0,0.0,0.0,0.2,0.115385,0.090909,0.0,0.1,0.0,0.326923,0.0,0.0,0.0,0.0,0.0
0.035714,0.133333,0.0,0.0,0.05,0.038462,0.136364,0.071429,0.0,0.075,0.076923,0.0,0.076923,0.0,0.0,0.0
0.107143,0.133333,0.0,0.0,0.0,0.096154,0.090909,0.0,0.0,0.075,0.096154,0.0,0.153846,0.0,0.0,0.0
0.214286,0.0,0.0,0.0,0.1,0.115385,0.0,0.071429,0.2,0.0,0.115385,0.083333,0.0,0.153846,0.0,0.0
0.107143,0.0,0.171429,0.176471,0.0,0.192308,0.090909,0.0,0.0,0.1125,0.192308,0.083333,0.0,0.0,0.166667,0.0
0.285714,0.0,0.0,0.0,0.05,0.096154,0.045455,0.0,0.0,0.0,0.153846,0.0,0.0,0.076923,0.0,0.0
0.142857,0.133333,0.085714,0.058824,0.1,0.115385,0.181818,0.0,0.1,0.1,0.192308,0.0,0.230769,0.076923,0.083333,0.0
0.178571,0.0,0.0,0.0,0.0,0.134615,0.272727,0.071429,0.1,0.0,0.192308,0.0,0.076923,0.0,0.0,0.0
0.178571,0.466667,0.114286,0.0,0.05,0.0,0.0,0.0,0.2,0.0375,0.057692,0.0,0.153846,0.076923,0.611111,0.0
0.071429,0.066667,0.4,0.0,0.05,0.076923,0.0,0.142857,0.0,0.3625,0.115385,0.0,0.153846,0.0,0.055556,0.0
0.142857,0.133333,0.342857,0.0,0.1,0.0,0.0,0.0,0.2,0.325,0.076923,0.0,0.0,0.153846,0.0,0.0
0.178571,0.0,0.0,0.0,0.0,0.096154,0.090909,0.0,0.1,0.0,0.153846,0.083333,0.076923,0.0,0.0,0.0
0.142857,0.066667,0.0,0.0,0.1,0.0,0.045455,0.0,0.1,0.0,0.076923,0.0,0.0,0.115385,0.0,0.0
0.142857,0.0,0.0,0.0,0.0,0.192308,0.090909,0.0,0.0,0.0,0.211538,0.0,0.076923,0.0,0.0,0.0
0.178571,0.133333,0.0,0.058824,0.0,0.096154,0.045455,0.071429,0.2,0.0375,0.115385,0.0,0.0,0.038462,0.083333,0.0
0.285714,0.0,0.0,0.117647,0.0,0.115385,0.090909,0.0,0.2,0.0,0.153846,0.333333,0.0,0.0,0.0,0.0
0.178571,0.0,0.0,0.0,0.0,0.096154,0.181818,0.357143,0.0,0.0,0.403846,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.058824,0.0,0.25,0.136364,0.142857,0.1,0.0,0.269231,0.0,0.076923,0.0,0.0,0.0
0.392857,0.066667,0.0,0.0,0.05,0.076923,0.045455,0.071429,0.1,0.0375,0.173077,0.083333,0.461538,0.0,0.0,0.0
