oz172,oz181,oz197,oz249
0.192308,0.0,0.0,0.176438
0.173077,0.0,0.0,0.183086
0.269231,0.0,0.1,0.134016
0.038462,0.0,0.0,0.120501
0.192308,0.0,0.0,0.149819
0.173077,0.0,0.0,0.187659
0.076923,0.0,0.1,0.139989
0.115385,0.0,0.0,0.099387
0.134615,0.0,0.0,0.107075
0.096154,0.0,0.0,0.096402
0.038462,0.076923,0.0,0.134812
0.096154,0.0,0.0,0.195134
0.038462,0.0,0.0,0.092383
0.019231,0.076923,0.1,0.194987
0.153846,0.0,0.0,0.196209
0.076923,0.0,0.0,0.115075
0.076923,0.0,0.1,0.090331
0.384615,0.0,0.0,0.392877
0.038462,0.0,0.0,0.119575
0.096154,0.0,0.2,0.107998
0.096154,0.0,0.0,0.122608
0.0,0.0,0.6,0.08978
0.038462,0.0,0.3,0.088568
0.153846,0.0,0.0,0.202876
0.096154,0.0,0.0,0.122684
0.153846,0.0,0.0,0.1738
0.269231,0.0,0.2,0.21985
0.134615,0.0,0.1,0.09807
0.173077,0.0,0.1,0.156998
0.153846,0.0,0.2,0.089573
0.096154,0.0,0.0,0.125026
0.115385,0.076923,0.0,0.171168
0.076923,0.0,0.1,0.115483
0.192308,0.0,0.0,0.169768
0.134615,0.0,0.0,0.184562
0.230769,0.0,0.0,0.112339
0.038462,0.0,0.0,0.08255
0.038462,0.0,0.0,0.09778
0.0,0.0,0.0,0.102257
0.096154,0.0,0.0,0.166204
0.134615,0.0,0.2,0.205457
0.076923,0.0,0.0,0.146083
0.230769,0.0,0.1,0.186768
0.057692,0.153846,0.0,0.063905
0.0,0.0,0.0,0.089713
0.096154,0.0,0.0,0.13976
0.057692,0.0,0.0,0.169081
0.057692,0.0,0.3,0.308561
0.0,0.0,0.0,0.074162
0.153846,0.0,0.0,0.183054
0.173077,0.0,0.0,0.186322
0.076923,0.0,0.0,0.132298
0.096154,0.0,0.0,0.090696
0.076923,0.0,0.1,0.09266
0.0,0.0,0.2,0.046397
0.076923,0.0,0.1,0.09266
0.019231,0.0,0.0,0.049009
0.0,0.076923,0.0,0.043472
0.346154,0.0,0.0,0.374366
0.096154,0.0,0.2,0.150649
0.096154,0.0,0.1,0.128479
0.057692,0.0,0.1,0.126589
0.0,0.0,0.0,0.093054
0.0,0.0,0.0,0.101185
0.038462,0.0,0.0,0.084638
0.192308,0.0,0.1,0.163518
0.115385,0.0,0.0,0.161323
0.0,0.0,0.0,0.090795
0.153846,0.076923,0.0,0.181301
0.019231,0.0,0.0,0.090235
0.019231,0.0,0.0,0.093621
0.0,0.076923,0.0,0.146143
0.0,0.0,0.0,0.070613
0.0,0.0,0.0,0.102257
0.057692,0.0,0.0,0.138551
0.057692,0.0,0.0,0.095183
0.0,0.0,0.2,0.090353
0.076923,0.0,0.2,0.145125
0.038462,0.0,0.0,0.154917
0.019231,0.076923,0.0,0.132212
0.0,0.076923,0.0,0.07482
0.096154,0.0,0.0,0.11049
0.038462,0.0,0.0,0.12446
0.038462,0.0,0.0,0.12705
0.076923,0.076923,0.2,0.051924
0.076923,0.0,0.0,0.137634
0.153846,0.0,0.1,0.155846
0.153846,0.076923,0.0,0.149036
0.038462,0.0,0.0,0.15801
0.038462,0.0,0.0,0.09006
0.057692,0.0,0.0,0.187929
0.134615,0.0,0.0,0.16257
0.192308,0.0,0.0,0.161046
0.038462,0.0,0.0,0.082076
0.096154,0.076923,0.0,0.107925
0.153846,0.076923,0.0,0.125268
0.057692,0.076923,0.0,0.134808
0.076923,0.0,0.0,0.086117
0.134615,0.230769,0.0,0.085185
0.173077,0.0,0.0,0.205416
0.0,0.0,0.0,0.093163
0.057692,0.0,0.0,0.124708
0.076923,0.0,0.0,0.165523
0.0,0.0,0.1,0.0758
0.0,0.0,0.0,0.109125
0.153846,0.0,0.0,0.175646
0.115385,0.0,0.1,0.095836
0.173077,0.0,0.0,0.139703
0.096154,0.0,0.0,0.098646
0.019231,0.076923,0.0,0.105042
0.096154,0.0,0.1,0.157695
0.115385,0.0,0.0,0.130115
0.211538,0.0,0.0,0.16889
0.153846,0.0,0.0,0.167907
0.057692,0.0,0.0,0.073589
0.038462,0.0,0.0,0.119769
0.0,0.0,0.0,0.079915
0.076923,0.0,0.3,0.147069
0.076923,0.0,0.2,0.11083
0.019231,0.076923,0.0,0.340991
0.076923,0.076923,0.0,0.354496
0.038462,0.076923,0.0,0.258953
0.153846,0.0,0.0,0.285331
0.096154,0.0,0.0,0.199898
0.134615,0.0,0.0,0.215554
0.057692,0.0,0.0,0.098623
0.25,0.0,0.0,0.426325
0.057692,0.0,0.2,0.163986
0.115385,0.0,0.0,0.109771
0.115385,0.0,0.0,0.118783
0.134615,0.0,0.0,0.183665
0.0,0.0,0.0,0.158631
0.211538,0.076923,0.0,0.183802
0.0,0.153846,0.0,0.056421
0.096154,0.0,0.1,0.128396
0.096154,0.0,0.1,0.098849
0.038462,0.0,0.0,0.109067
0.134615,0.0,0.0,0.141297
0.153846,0.0,0.0,0.164304
0.057692,0.0,0.0,0.082464
0.173077,0.0,0.0,0.211805
0.211538,0.0,0.0,0.207147
0.076923,0.0,0.0,0.050734
0.230769,0.076923,0.0,0.07778
0.192308,0.307692,0.0,0.185024
0.230769,0.0,0.0,0.195551
0.057692,0.0,0.0,0.146726
0.173077,0.0,0.0,0.142888
0.115385,0.0,0.2,0.108638
0.230769,0.0,0.0,0.160934
0.096154,0.0,0.0,0.13303
0.134615,0.0,0.0,0.178188
0.038462,0.0,0.2,0.094493
0.0,0.0,0.0,0.056367
0.211538,0.0,0.0,0.157402
0.076923,0.0,0.1,0.114006
0.269231,0.0,0.0,0.177205
0.173077,0.153846,0.0,0.128934
0.153846,0.076923,0.0,0.12592
0.269231,0.0,0.0,0.299781
0.134615,0.0,0.0,0.119776
0.211538,0.0,0.0,0.211481
0.153846,0.0,0.0,0.132832
0.076923,0.076923,0.1,0.172152
0.038462,0.0,0.1,0.065617
0.211538,0.076923,0.0,0.109981
0.057692,0.0,0.0,0.185998
0.115385,0.0,0.0,0.12229
0.153846,0.0,0.0,0.183465
0.288462,0.076923,0.0,0.20861
0.038462,0.0,0.0,0.149106
0.211538,0.0,0.1,0.204044
0.134615,0.0,0.1,0.138961
0.057692,0.0,0.0,0.155607
0.038462,0.0,0.1,0.086334
0.288462,0.384615,0.0,0.258062
0.173077,0.0,0.0,0.167506
0.038462,0.0,0.0,0.041563
0.134615,0.0,0.0,0.113736
0.192308,0.0,0.0,0.20203
0.019231,0.076923,0.0,0.07517
0.076923,0.0,0.0,0.116151
0.211538,0.0,0.0,0.193533
0.115385,0.076923,0.0,0.13835
0.076923,0.0,0.0,0.19057
0.0,0.0,0.0,0.059479
0.076923,0.0,0.2,0.122025
0.0,0.0,0.0,0.110184
0.173077,0.0,0.0,0.180165
0.076923,0.0,0.0,0.103877
0.076923,0.0,0.0,0.111114
0.057692,0.0,0.0,0.111725
0.096154,0.0,0.2,0.097382
0.192308,0.384615,0.0,0.60502
0.0,0.0,0.0,0.134048
0.230769,0.307692,0.0,0.304959
0.057692,0.076923,0.0,0.257938
0.115385,0.0,0.0,0.152298
0.076923,0.0,0.0,0.078098
0.057692,0.0,0.0,0.093389
0.076923,0.0,0.0,0.157759
0.134615,0.076923,0.0,0.12306
0.076923,0.0,0.1,0.10803
0.096154,0.0,0.0,0.308386
0.038462,0.0,0.0,0.31608
0.134615,0.0,0.0,0.112043
0.0,0.0,0.0,0.107394
0.134615,0.0,0.0,0.172422
0.076923,0.0,0.0,0.12621
0.134615,0.0,0.0,0.175032
0.057692,0.0,0.0,0.139108
0.134615,0.0,0.0,0.175032
0.096154,0.0,0.0,0.157087
0.057692,0.0,0.0,0.100342
0.076923,0.0,0.1,0.09286
0.057692,0.0,0.0,0.046537
0.134615,0.0,0.0,0.105061
0.076923,0.0,0.0,0.157962
0.307692,0.0,0.0,0.200719
0.173077,0.0,0.1,0.179035
0.173077,0.076923,0.0,0.072185
0.173077,0.0,0.1,0.13471
0.230769,0.0,0.0,0.199863
0.038462,0.0,0.0,0.170341
0.057692,0.076923,0.0,0.040141
0.019231,0.0,0.0,0.138191
0.192308,0.0,0.1,0.18055
0.192308,0.0,0.0,0.191236
0.115385,0.0,0.0,0.107651
0.096154,0.0,0.2,0.120788
0.096154,0.076923,0.0,0.188219
0.153846,0.0,0.1,0.109936
0.076923,0.0,0.0,0.339005
0.038462,0.0,0.0,0.058212
0.288462,0.076923,0.2,0.451392
0.134615,0.0,0.1,0.276064
0.346154,0.0,0.0,0.352864
0.096154,0.0,0.0,0.117761
0.019231,0.0,0.0,0.09014
0.096154,0.0,0.0,0.140546
0.192308,0.0,0.0,0.134016
0.192308,0.0,0.0,0.141717
0.0,0.0,0.0,0.124272
0.115385,0.0,0.0,0.132902
0.096154,0.076923,0.0,0.14018
0.057692,0.076923,0.0,0.056303
0.0,0.076923,0.0,0.046944
0.019231,0.0,0.0,0.157259
0.038462,0.0,0.0,0.093494
0.192308,0.0,0.0,0.131184
0.173077,0.0,0.0,0.123454
0.230769,0.0,0.0,0.203576
0.115385,0.0,0.1,0.094318
0.076923,0.0,0.0,0.122207
0.096154,0.0,0.0,0.069172
0.038462,0.0,0.2,0.155591
0.076923,0.0,0.0,0.17254
0.25,0.0,0.0,0.166268
0.230769,0.0,0.0,0.173307
0.038462,0.076923,0.0,0.047638
0.134615,0.0,0.0,0.109112
0.0,0.076923,0.1,0.051135
0.192308,0.0,0.1,0.151821
0.057692,0.153846,0.0,0.108084
0.173077,0.0,0.0,0.192069
0.134615,0.0,0.1,0.17198
0.076923,0.0,0.1,0.146497
0.076923,0.0,0.0,0.082458
0.057692,0.0,0.0,0.129481
0.115385,0.076923,0.0,0.155595
0.057692,0.0,0.0,0.106894
0.115385,0.0,0.0,0.100587
0.076923,0.0,0.1,0.104437
0.076923,0.0,0.1,0.120555
0.134615,0.0,0.1,0.115317
0.192308,0.307692,0.0,0.167105
0.038462,0.076923,0.0,0.367044
0.038462,0.076923,0.0,0.39717
0.038462,0.0,0.1,0.124667
0.076923,0.0,0.1,0.154293
0.134615,0.0,0.0,0.117408
0.173077,0.0,0.0,0.140937
0.0,0.0,0.0,0.140683
0.019231,0.076923,0.0,0.149434
0.038462,0.076923,0.0,0.22063
0.115385,0.0,0.0,0.136816
0.230769,0.0,0.0,0.293181
