oz2,oz3,oz4
0.174118,0.999326,0.99643
0.174118,0.999885,0.99735
0.117647,0.999995,0.976971
0.164706,1.0,0.996741
0.174118,0.999597,0.997016
0.174118,0.99972,0.997407
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.164706,1.0,0.996741
0.164706,1.0,0.996741
0.164706,0.997504,0.997017
0.174118,0.999455,0.996601
0.174118,0.999205,0.996534
0.0,0.99726,0.996325
0.164706,1.0,0.997158
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.164706,1.0,0.997158
0.0,0.99726,0.996325
0.164706,1.0,0.996741
0.164706,1.0,0.996741
0.0,0.99726,0.996325
0.170588,0.998644,0.996281
0.174118,0.999663,0.997017
0.164706,1.0,0.996741
0.164706,1.0,0.997158
0.164706,1.0,0.997158
0.0,0.99726,0.996325
0.164706,1.0,0.996741
0.0,0.99726,0.996325
0.164706,0.99866,0.997231
0.164706,1.0,0.996741
0.174118,0.997638,0.996709
0.164706,1.0,0.997158
0.174118,0.999748,0.996988
0.0,0.99726,0.996325
0.164706,0.999742,0.996746
0.164706,0.999742,0.996746
0.0,0.99726,0.996325
0.164706,1.0,0.996741
0.164706,0.999838,0.997163
0.174118,0.9996,0.996686
0.174118,0.999663,0.997017
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.174118,0.9996,0.996686
0.164706,1.0,0.996741
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.174118,0.999748,0.996656
0.174118,0.999855,0.997073
0.164706,0.999827,0.997093
0.164706,1.0,0.996741
0.174118,0.999748,0.996656
0.0,0.99726,0.996325
0.174118,0.999748,0.996656
0.0,0.99726,0.996325
0.174118,0.997945,0.996269
0.164706,1.0,0.997158
0.174118,0.999748,0.996656
0.164706,1.0,0.996741
0.174118,0.999271,0.99669
0.164706,0.999718,0.996807
0.164706,0.999718,0.996807
0.174118,0.999386,0.996661
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.174118,0.999668,0.997078
0.174118,0.998602,0.996043
0.174118,0.998427,0.996269
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.164706,0.998693,0.997213
0.164706,0.999742,0.996746
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.143529,1.0,0.996463
0.0,0.99726,0.996325
0.0,0.99726,0.996325
0.174118,0.999614,0.996571
