yprop/table1.oz1,yprop/table1.oz247,yprop/table1.oz250,yprop/table1.oz251,yprop/table1.oz5,yprop/table1.oz6,yprop/table1.oz9,oz249,oz252
0.999958,0.115856,0.010113,0.640946,0.0,0.114286,0.136364,0.384428,0.944354
0.999958,0.059804,0.0,0.655178,0.266667,0.0,0.0,0.231312,0.999639
0.99972,0.029129,0.186248,0.588987,0.0,0.028571,0.0,0.255281,0.909937
0.999408,0.102725,0.188651,0.447964,0.0,0.0,0.0,0.125061,0.903342
0.999537,0.081982,0.156346,0.501837,0.133333,0.028571,0.0,0.179204,0.898916
0.998977,0.026702,0.217585,0.467474,0.066667,0.0,0.181818,0.234711,0.906594
0.999958,0.08805,0.0,0.560161,0.133333,0.028571,0.0,0.12629,0.89458
0.9995,0.151826,0.0,0.564405,0.133333,0.0,0.0,0.213212,0.922313
0.999282,0.035419,0.167801,0.448378,0.0,0.0,0.090909,0.199551,0.931346
0.999716,0.012579,0.038923,0.714951,0.0,0.0,0.272727,0.297958,0.898103
0.999627,0.045239,0.320775,0.509289,0.066667,0.028571,0.0,0.213301,0.914544
0.999752,0.131524,0.094294,0.568286,0.133333,0.142857,0.0,0.28781,0.918248
0.999079,0.024385,0.169954,0.563267,0.066667,0.0,0.0,0.233263,0.965673
0.998759,0.025488,0.13537,0.518036,0.466667,0.142857,0.0,0.258431,0.910298
0.999958,0.124683,0.02881,0.683486,0.066667,0.428571,0.0,0.308491,0.92701
0.998759,0.020523,0.16418,0.613104,0.133333,0.4,0.0,0.254912,0.927191
0.999578,0.035419,0.163337,0.443823,0.066667,0.0,0.0,0.170653,0.912376
0.999979,0.038288,0.063393,0.400611,0.066667,0.0,0.090909,0.11372,0.908943
0.953522,0.02273,0.156533,0.453449,0.0,0.0,0.0,0.178048,0.903071
0.999587,0.029129,0.145483,0.517259,0.133333,0.0,0.0,0.221565,0.891689
0.999958,0.031557,0.279418,0.528852,0.0,0.0,0.090909,0.225301,0.912195
0.999556,0.025709,0.144048,0.554572,0.333333,0.0,0.0,0.276579,0.914363
0.99969,0.024937,0.241931,0.571754,0.0,0.0,0.0,0.306636,0.895032
0.999558,0.402074,0.228572,0.323086,0.066667,0.028571,0.0,0.279676,0.911201
0.999966,0.297584,0.138086,0.434146,0.133333,0.0,0.045455,0.273225,0.909846
0.999752,0.090698,0.106561,0.606738,0.0,0.0,0.0,0.221428,0.903433
0.999746,0.029129,0.238436,0.535476,0.066667,0.0,0.0,0.227834,0.990876
0.999536,0.163522,0.0,0.495627,0.133333,0.028571,0.0,0.138522,0.897832
0.999958,0.027585,0.243461,0.520623,0.066667,0.028571,0.045455,0.337952,0.908401
0.998759,0.291956,0.057619,0.344305,0.133333,0.0,0.0,0.099015,0.91888
0.998759,0.126779,0.212279,0.374528,0.066667,0.0,0.045455,0.080462,0.934417
0.999932,0.05208,0.196579,0.364643,0.133333,0.057143,0.0,0.13282,0.910388
0.999405,0.082092,0.344622,0.412824,0.0,0.0,0.0,0.283771,0.933153
0.999955,0.043584,0.255072,0.479584,0.0,0.0,0.0,0.117243,0.998013
0.999104,0.023281,0.19299,0.563318,0.133333,0.057143,0.0,0.244223,0.909124
0.999752,0.029129,0.159841,0.585209,0.066667,0.0,0.0,0.244754,0.914453
0.999958,0.041818,0.05328,0.490452,0.0,0.0,0.0,0.110127,0.89449
0.999577,0.010593,0.05328,0.582881,0.0,0.0,0.181818,0.140234,0.893044
0.999752,0.155798,0.0,0.669824,0.0,0.0,0.045455,0.204308,0.923216
