oz1,oz247,oz248,oz250,oz251,oz9
0.998925,0.028578,0.647,0.116674,0.53708,0.0
0.999801,0.008386,0.944,0.05328,0.603374,0.0
0.951,0.020523,0.583,0.05328,0.338043,0.0
0.999958,0.172349,0.6,0.0,0.544481,0.0
0.999554,0.01622,0.938,0.0,0.552606,0.0
0.999797,0.075692,0.947,0.080467,0.524246,0.0
0.998759,0.020523,0.0,0.063393,0.532319,0.0
0.998759,0.027695,0.0,0.084369,0.461937,0.0
0.999958,0.022399,0.545,0.103065,0.49423,0.0
0.999958,0.046011,0.6,0.0839,0.483051,0.0
0.999954,0.071389,0.588,0.345839,0.48745,0.0
0.999288,0.073375,0.5,0.05328,0.586555,0.0
0.99921,0.047225,0.667,0.146794,0.39616,0.0
0.998759,0.150171,0.0,0.159841,0.467215,0.181818
0.999958,0.020523,0.667,0.132717,0.585261,0.0
0.998759,0.184155,0.0,0.08209,0.477928,0.0
0.998759,0.027695,0.0,0.063393,0.462661,0.227273
0.999958,0.019199,0.4,0.343467,0.656265,0.0
0.998759,0.031226,0.0,0.179131,0.541841,0.0
0.999958,0.046011,0.6,0.0839,0.483051,0.0
0.999958,0.056162,0.5,0.130782,0.378202,0.0
0.998759,0.082864,0.0,0.159841,0.212907,0.0
0.99838,0.070837,0.182,0.122323,0.314082,0.0
0.999556,0.075692,0.789,0.049285,0.631579,0.0
0.999958,0.020523,0.5,0.05328,0.538063,0.0
0.999958,0.015116,0.706,0.0,0.572427,0.0
0.999958,0.02273,0.571,0.106561,0.51964,0.0
0.998759,0.043584,0.0,0.198764,0.385551,0.045455
0.999958,0.031336,0.316,0.198764,0.461833,0.045455
0.998759,0.067196,0.0,0.203945,0.295296,0.181818
0.999963,0.035308,0.929,0.146794,0.520778,0.0
0.999958,0.07823,0.375,0.08209,0.538529,0.0
0.999423,0.048108,0.667,0.226887,0.418827,0.0
0.999958,0.025378,0.632,0.1109,0.54624,0.0
0.999577,0.015116,0.778,0.141426,0.603426,0.0
0.998759,0.6841,0.0,0.0,0.366092,0.0
0.999971,0.205671,0.75,0.040233,0.45407,0.0
0.999971,0.015999,0.667,0.040233,0.514206,0.0
0.998759,0.024826,0.0,0.05328,0.521192,0.0
0.999958,0.01622,0.4,0.05328,0.581742,0.0
0.999965,0.080216,0.545,0.146794,0.466698,0.0
0.999537,0.032771,0.571,0.148511,0.558557,0.0
0.999556,0.014123,0.833,0.05328,0.596543,0.0
0.998759,0.22145,0.0,0.0,0.43161,0.0
0.998759,0.035419,0.0,0.156346,0.455105,0.0
0.999537,0.027033,0.615,0.148511,0.537494,0.0
0.999958,0.035308,0.375,0.222767,0.5155,0.0
0.998759,0.024385,0.0,0.130782,0.639445,0.681818
0.998759,0.031226,0.0,0.038579,0.485639,0.0
0.999577,0.020523,0.412,0.1109,0.577654,0.0
0.999752,0.008386,0.765,0.05328,0.597371,0.0
0.999965,0.02935,0.846,0.040233,0.577861,0.0
0.999958,0.051528,0.545,0.132717,0.394763,0.0
0.999577,0.10736,0.636,0.05328,0.408115,0.0
0.998759,0.074479,0.0,0.106561,0.250116,0.0
0.999577,0.10736,0.636,0.05328,0.408115,0.0
