oz1,oz249,oz3,oz4,oz5
0.998925,0.176438,0.999326,0.99643,0.133333
0.999801,0.183086,0.999885,0.99735,0.0
0.951,0.134016,0.999995,0.976971,0.2
0.999958,0.120501,1.0,0.996741,0.2
0.999554,0.149819,0.999597,0.997016,0.0
0.999797,0.187659,0.99972,0.997407,0.0
0.998759,0.139989,0.99726,0.996325,0.2
0.998759,0.099387,0.99726,0.996325,0.133333
0.999958,0.107075,1.0,0.996741,0.066667
0.999958,0.096402,1.0,0.996741,0.0
0.999954,0.134812,0.997504,0.997017,0.0
0.999288,0.195134,0.999455,0.996601,0.066667
0.99921,0.092383,0.999205,0.996534,0.0
0.998759,0.194987,0.99726,0.996325,0.133333
0.999958,0.196209,1.0,0.997158,0.133333
0.998759,0.115075,0.99726,0.996325,0.066667
0.998759,0.090331,0.99726,0.996325,0.066667
0.999958,0.392877,1.0,0.997158,0.133333
0.998759,0.119575,0.99726,0.996325,0.2
0.999958,0.107998,1.0,0.996741,0.0
0.999958,0.122608,1.0,0.996741,0.0
0.998759,0.08978,0.99726,0.996325,0.0
0.99838,0.088568,0.998644,0.996281,0.066667
0.999556,0.202876,0.999663,0.997017,0.0
0.999958,0.122684,1.0,0.996741,0.0
0.999958,0.1738,1.0,0.997158,0.133333
0.999958,0.21985,1.0,0.997158,0.0
0.998759,0.09807,0.99726,0.996325,0.133333
0.999958,0.156998,1.0,0.996741,0.066667
0.998759,0.089573,0.99726,0.996325,0.0
0.999963,0.125026,0.99866,0.997231,0.0
0.999958,0.171168,1.0,0.996741,0.2
0.999423,0.115483,0.997638,0.996709,0.0
0.999958,0.169768,1.0,0.997158,0.0
0.999577,0.184562,0.999748,0.996988,0.066667
0.998759,0.112339,0.99726,0.996325,0.0
0.999971,0.08255,0.999742,0.996746,0.066667
0.999971,0.09778,0.999742,0.996746,0.2
0.998759,0.102257,0.99726,0.996325,0.2
0.999958,0.166204,1.0,0.996741,0.133333
0.999965,0.205457,0.999838,0.997163,0.0
0.999537,0.146083,0.9996,0.996686,0.0
0.999556,0.186768,0.999663,0.997017,0.0
0.998759,0.063905,0.99726,0.996325,0.066667
0.998759,0.089713,0.99726,0.996325,0.2
0.999537,0.13976,0.9996,0.996686,0.0
0.999958,0.169081,1.0,0.996741,0.0
0.998759,0.308561,0.99726,0.996325,0.0
0.998759,0.074162,0.99726,0.996325,0.2
0.999577,0.183054,0.999748,0.996656,0.266667
0.999752,0.186322,0.999855,0.997073,0.066667
0.999965,0.132298,0.999827,0.997093,0.0
0.999958,0.090696,1.0,0.996741,0.0
0.999577,0.09266,0.999748,0.996656,0.0
0.998759,0.046397,0.99726,0.996325,0.0
0.999577,0.09266,0.999748,0.996656,0.0
0.998759,0.049009,0.99726,0.996325,0.066667
0.99827,0.043472,0.997945,0.996269,0.133333
0.999958,0.374366,1.0,0.997158,0.2
0.999577,0.150649,0.999748,0.996656,0.0
0.999958,0.128479,1.0,0.996741,0.0
0.999546,0.126589,0.999271,0.99669,0.0
0.999949,0.093054,0.999718,0.996807,0.0
0.999949,0.101185,0.999718,0.996807,0.0
0.999588,0.084638,0.999386,0.996661,0.066667
0.998759,0.163518,0.99726,0.996325,0.0
0.998759,0.161323,0.99726,0.996325,0.2
0.998759,0.090795,0.99726,0.996325,0.066667
0.999759,0.181301,0.999668,0.997078,0.0
0.997948,0.090235,0.998602,0.996043,0.0
0.998278,0.093621,0.998427,0.996269,0.133333
0.998759,0.146143,0.99726,0.996325,0.333333
0.998759,0.070613,0.99726,0.996325,0.266667
0.998759,0.102257,0.99726,0.996325,0.2
0.999939,0.138551,0.998693,0.997213,0.0
0.999971,0.095183,0.999742,0.996746,0.066667
0.998759,0.090353,0.99726,0.996325,0.2
0.998759,0.145125,0.99726,0.996325,0.2
0.999948,0.154917,1.0,0.996463,0.133333
0.998759,0.132212,0.99726,0.996325,0.4
0.998759,0.07482,0.99726,0.996325,0.2
0.999291,0.11049,0.999614,0.996571,0.066667
0.999577,0.12446,0.999748,0.996656,0.0
0.999577,0.12705,0.999748,0.996656,0.2
0.998759,0.051924,0.99726,0.996325,0.0
0.999958,0.137634,1.0,0.996741,0.133333
0.999958,0.155846,1.0,0.996741,0.2
0.999958,0.149036,1.0,0.996741,0.133333
0.998759,0.15801,0.99726,0.996325,0.066667
0.998759,0.09006,0.99726,0.996325,0.066667
0.998759,0.187929,0.99726,0.996325,0.333333
0.999577,0.16257,0.999748,0.996988,0.066667
0.999577,0.161046,0.999748,0.996988,0.066667
0.998759,0.082076,0.99726,0.996325,0.133333
0.999958,0.107925,1.0,0.996741,0.133333
0.999958,0.125268,1.0,0.996741,0.066667
0.998759,0.134808,0.99726,0.996325,0.133333
0.999955,0.086117,0.998049,0.996879,0.0
0.998759,0.085185,0.99726,0.996325,0.0
0.999806,0.205416,0.999745,0.997355,0.066667
0.999557,0.093163,0.999197,0.996695,0.0
0.999557,0.124708,0.999197,0.996695,0.066667
0.999587,0.165523,0.99943,0.996756,0.0
0.998274,0.0758,0.998178,0.996213,0.0
0.999557,0.109125,0.999197,0.996695,0.0
0.999781,0.175646,0.999471,0.997153,0.133333
0.998884,0.095836,0.998471,0.996368,0.133333
0.999557,0.139703,0.999197,0.996695,0.2
0.999958,0.098646,1.0,0.996741,0.0
0.998759,0.105042,0.99726,0.996325,0.133333
0.999958,0.157695,1.0,0.996741,0.066667
0.999958,0.130115,1.0,0.997088,0.0
0.999766,0.16889,0.999726,0.997199,0.066667
0.999766,0.167907,0.999726,0.997199,0.0
0.999958,0.073589,1.0,0.996741,0.0
0.999506,0.119769,0.999309,0.996671,0.066667
0.999506,0.079915,0.999309,0.996671,0.0
0.999627,0.147069,0.999488,0.996727,0.066667
0.999536,0.11083,0.999488,0.996685,0.0
0.998759,0.340991,0.99726,0.996325,0.4
0.998759,0.354496,0.99726,0.996325,0.266667
0.998759,0.258953,0.99726,0.996325,0.2
0.999833,0.285331,0.999611,0.997569,0.066667
0.999781,0.199898,0.999471,0.997153,0.066667
0.999781,0.215554,0.999471,0.997153,0.133333
0.998601,0.098623,0.998372,0.996298,0.133333
0.998759,0.426325,0.99726,0.996325,0.533333
0.999955,0.163986,0.998049,0.996879,0.133333
0.999577,0.109771,0.999748,0.996656,0.066667
0.998278,0.118783,0.998427,0.996269,0.133333
0.999806,0.183665,0.999551,0.997234,0.133333
0.998759,0.158631,0.99726,0.996325,0.066667
0.999958,0.183802,1.0,0.997435,0.0
0.997241,0.056421,0.997103,0.995974,0.0
0.999958,0.128396,1.0,0.996741,0.066667
0.999958,0.098849,1.0,0.996741,0.0
0.999958,0.109067,1.0,0.996741,0.0
0.999963,0.141297,0.99866,0.997231,0.066667
0.999577,0.164304,0.999748,0.996988,0.0
0.999971,0.082464,0.999742,0.996746,0.0
0.999866,0.211805,0.999896,0.997734,0.0
0.99964,0.207147,0.999731,0.997294,0.0
0.998759,0.050734,0.99726,0.996325,0.0
0.998759,0.07778,0.99726,0.996325,0.0
0.999955,0.185024,0.998049,0.996879,0.0
0.999289,0.195551,0.999523,0.996847,0.0
0.998759,0.146726,0.99726,0.996325,0.0
0.998977,0.142888,0.99914,0.996489,0.0
0.998683,0.108638,0.998945,0.996312,0.133333
0.999556,0.160934,0.999663,0.997017,0.0
0.999288,0.13303,0.999455,0.996601,0.0
0.999735,0.178188,0.999844,0.997003,0.0
0.998998,0.094493,0.996865,0.996422,0.0
0.998759,0.056367,0.99726,0.996325,0.0
0.999958,0.157402,1.0,0.997158,0.0
0.999958,0.114006,1.0,0.996741,0.066667
0.999556,0.177205,0.999663,0.997017,0.066667
0.998759,0.128934,0.99726,0.996325,0.2
0.999958,0.12592,1.0,0.996741,0.066667
0.999562,0.299781,0.99974,0.99758,0.0
0.999958,0.119776,1.0,0.996741,0.133333
0.999958,0.211481,1.0,0.996741,0.133333
0.998759,0.132832,0.99726,0.996325,0.0
0.999537,0.172152,0.9996,0.996686,0.0
0.998759,0.065617,0.99726,0.996325,0.133333
0.999958,0.109981,1.0,0.996741,0.066667
0.999958,0.185998,1.0,0.996741,0.266667
0.999958,0.12229,1.0,0.996741,0.133333
0.999561,0.183465,0.999496,0.997022,0.0
0.999958,0.20861,1.0,0.996741,0.2
0.999577,0.149106,0.999748,0.996656,0.2
0.999752,0.204044,0.999855,0.997073,0.0
0.999958,0.138961,1.0,0.996741,0.0
0.999963,0.155607,0.99866,0.997231,0.0
0.998759,0.086334,0.99726,0.996325,0.133333
0.999734,0.258062,0.999597,0.997172,0.0
0.999958,0.167506,1.0,0.997435,0.0
0.998759,0.041563,0.99726,0.996325,0.0
0.999958,0.113736,1.0,0.996741,0.0
0.999643,0.20203,0.999663,0.997297,0.0
0.998759,0.07517,0.99726,0.996325,0.133333
0.999955,0.116151,0.998049,0.996879,0.066667
0.999414,0.193533,0.999583,0.996932,0.0
0.999958,0.13835,1.0,0.996741,0.066667
0.998759,0.19057,0.99726,0.996325,0.2
0.998759,0.059479,0.99726,0.996325,0.133333
0.998278,0.122025,0.998427,0.996214,0.133333
0.999948,0.110184,1.0,0.996738,0.2
0.999958,0.180165,1.0,0.997158,0.066667
0.999958,0.103877,1.0,0.996741,0.066667
0.999973,0.111114,0.999731,0.997098,0.066667
0.999955,0.111725,0.998049,0.996879,0.066667
0.999958,0.097382,1.0,0.996741,0.0
0.998278,0.60502,0.998427,0.996269,0.466667
0.998759,0.134048,0.99726,0.996325,0.133333
0.999752,0.304959,0.999855,0.997073,0.0
0.998759,0.257938,0.99726,0.996325,0.066667
0.999958,0.152298,1.0,0.996741,0.133333
0.999958,0.078098,1.0,0.996741,0.0
0.999958,0.093389,1.0,0.996741,0.0
0.999958,0.157759,1.0,0.996741,0.133333
0.999958,0.12306,1.0,0.996741,0.066667
0.999659,0.10803,0.997772,0.996794,0.0
0.999577,0.308386,0.999748,0.996656,0.4
0.998759,0.31608,0.99726,0.996325,0.266667
0.998278,0.112043,0.998427,0.996102,0.066667
0.998759,0.107394,0.99726,0.996325,0.133333
0.999778,0.172422,0.998589,0.99721,0.0
0.999963,0.12621,0.99866,0.997231,0.0
0.999958,0.175032,1.0,0.997088,0.0
0.999971,0.139108,0.999742,0.996746,0.066667
0.999958,0.175032,1.0,0.997088,0.0
0.999735,0.157087,0.999844,0.997003,0.0
0.999924,0.100342,1.0,0.996798,0.0
0.999291,0.09286,0.999614,0.996571,0.0
0.998759,0.046537,0.99726,0.996325,0.066667
0.998759,0.105061,0.99726,0.996325,0.0
0.999537,0.157962,0.9996,0.996686,0.0
0.999958,0.200719,1.0,0.997158,0.133333
0.999752,0.179035,0.999855,0.997073,0.066667
0.998759,0.072185,0.99726,0.996325,0.2
0.999958,0.13471,1.0,0.996741,0.066667
0.999752,0.199863,0.999855,0.997073,0.133333
0.998759,0.170341,0.99726,0.996325,0.133333
0.998759,0.040141,0.99726,0.996325,0.066667
0.998759,0.138191,0.99726,0.996325,0.2
0.999536,0.18055,0.999488,0.996685,0.133333
0.999958,0.191236,1.0,0.997158,0.0
0.999949,0.107651,0.999718,0.996807,0.133333
0.998278,0.120788,0.998427,0.996269,0.133333
0.999954,0.188219,0.997504,0.997017,0.0
0.998759,0.109936,0.99726,0.996325,0.066667
0.999958,0.339005,1.0,0.996741,0.066667
0.998278,0.058212,0.998427,0.996269,0.0
0.998136,0.451392,0.99846,0.996073,0.466667
0.998759,0.276064,0.99726,0.996325,0.266667
0.999958,0.352864,1.0,0.998268,0.0
0.999965,0.117761,0.999827,0.997093,0.066667
0.999823,0.09014,0.999775,0.996756,0.0
0.999958,0.140546,1.0,0.996741,0.133333
0.999958,0.134016,1.0,0.996741,0.2
0.999958,0.141717,1.0,0.997158,0.0
0.999928,0.124272,0.999858,0.996799,0.0
0.999958,0.132902,1.0,0.996741,0.133333
0.998759,0.14018,0.99726,0.996325,0.2
0.998759,0.056303,0.99726,0.996325,0.0
0.998759,0.046944,0.99726,0.996325,0.133333
0.999953,0.157259,0.997399,0.997154,0.0
0.999948,0.093494,1.0,0.996463,0.2
0.999577,0.131184,0.999748,0.996656,0.066667
0.999537,0.123454,0.9996,0.996686,0.066667
0.999958,0.203576,1.0,0.997088,0.0
0.999577,0.094318,0.999748,0.996656,0.0
0.999958,0.122207,1.0,0.996741,0.2
0.998759,0.069172,0.99726,0.996325,0.066667
0.998759,0.155591,0.99726,0.996325,0.066667
0.998759,0.17254,0.99726,0.996325,0.133333
0.999958,0.166268,1.0,0.997158,0.066667
0.999752,0.173307,0.999855,0.997073,0.066667
0.998759,0.047638,0.99726,0.996325,0.0
0.999958,0.109112,1.0,0.996741,0.133333
0.998759,0.051135,0.99726,0.996325,0.066667
0.999958,0.151821,1.0,0.997158,0.0
0.998759,0.108084,0.99726,0.996325,0.133333
0.999666,0.192069,0.999479,0.997376,0.0
0.999958,0.17198,1.0,0.996741,0.066667
0.999958,0.146497,1.0,0.996741,0.066667
0.999836,0.082458,0.999211,0.996824,0.0
0.999958,0.129481,1.0,0.996741,0.0
0.999955,0.155595,0.998049,0.996879,0.066667
0.999958,0.106894,1.0,0.996741,0.0
0.999577,0.100587,0.999748,0.996656,0.066667
0.999958,0.104437,1.0,0.996741,0.066667
0.999577,0.120555,0.999748,0.996656,0.066667
0.999958,0.115317,1.0,0.996741,0.133333
0.999958,0.167105,1.0,0.996741,0.0
0.998759,0.367044,0.99726,0.996325,0.066667
0.998759,0.39717,0.99726,0.996325,0.466667
0.998759,0.124667,0.99726,0.996325,0.066667
0.998759,0.154293,0.99726,0.996325,0.266667
0.999659,0.117408,0.997772,0.996794,0.066667
0.999408,0.140937,0.99781,0.996738,0.066667
0.998759,0.140683,0.99726,0.996325,0.0
0.998759,0.149434,0.99726,0.996325,0.0
0.998759,0.22063,0.99726,0.996325,0.066667
0.999588,0.136816,0.999386,0.996661,0.133333
0.999816,0.293181,0.998953,0.997671,0.0
0.998759,0.181094,0.99726,0.996325,0.0
0.999971,0.072984,0.999742,0.996746,0.066667
0.999958,0.194119,1.0,0.996741,0.066667
0.998759,0.10024,0.99726,0.996325,0.133333
0.999928,0.104911,0.999858,0.996799,0.066667
1.0,0.140123,1.0,0.996684,0.0
0.999903,0.141256,0.999775,0.996855,0.0
0.998606,0.108593,0.998602,0.996299,0.0
