yprop/table4.oz246,yprop/table4.oz248,yprop/table4.oz250,yprop/table4.oz251
0.666353,0.514,0.010113,0.640946
0.580392,0.6,0.0,0.655178
0.654118,0.615,0.186248,0.588987
0.580392,0.688,0.188651,0.447964
0.542588,0.471,0.156346,0.501837
0.627451,0.464,0.217585,0.467474
0.440314,0.545,0.0,0.560161
0.612863,0.684,0.0,0.564405
0.597176,0.458,0.167801,0.448378
0.612863,0.438,0.038923,0.714951
0.627451,0.625,0.320775,0.509289
0.612863,0.481,0.094294,0.568286
0.709647,0.731,0.169954,0.563267
0.248627,0.0,0.13537,0.518036
0.440314,0.25,0.02881,0.683486
0.248627,0.0,0.16418,0.613104
0.580392,0.476,0.163337,0.443823
0.440314,0.308,0.063393,0.400611
0.641098,0.636,0.156533,0.453449
0.562353,0.346,0.145483,0.517259
0.612863,0.364,0.279418,0.528852
0.627451,0.536,0.144048,0.554572
0.728471,0.588,0.241931,0.571754
0.597176,0.3,0.228572,0.323086
0.666353,0.581,0.138086,0.434146
0.627451,0.565,0.106561,0.606738
0.654118,0.64,0.238436,0.535476
0.497255,0.571,0.0,0.495627
0.654118,0.333,0.243461,0.520623
0.0,0.0,0.057619,0.344305
0.313725,0.0,0.212279,0.374528
0.440314,0.267,0.196579,0.364643
0.709647,0.567,0.344622,0.412824
0.542588,0.615,0.255072,0.479584
0.612863,0.423,0.19299,0.563318
0.641098,0.542,0.159841,0.585209
0.470588,0.545,0.05328,0.490452
0.497255,0.467,0.05328,0.582881
0.597176,0.684,0.0,0.669824
0.562353,0.167,0.353549,0.385137
0.470588,0.4,0.1109,0.481964
0.248627,0.0,0.106561,0.375511
0.313725,0.0,0.159841,0.495989
0.719216,0.6,0.322398,0.459608
0.497255,0.261,0.407298,0.545723
0.248627,0.0,0.22748,0.39735
0.542588,0.333,0.264686,0.538581
0.580392,0.455,0.263749,0.417119
0.688941,0.692,0.120326,0.487502
0.248627,0.0,0.279418,0.607307
0.688941,0.531,0.401773,0.544325
0.688941,0.45,0.276765,0.590488
0.728471,0.571,0.270741,0.568701
0.156863,0.0,0.141519,0.57548
0.562353,0.556,0.249204,0.566423
0.654118,0.385,0.532867,0.360089
0.521098,0.615,0.05328,0.446722
0.497255,0.429,0.116674,0.483465
0.0,0.0,0.057619,0.576877
0.497255,0.583,0.122323,0.476893
0.804549,0.593,0.344965,0.687005
0.470588,0.133,0.120326,0.58257
0.627451,0.636,0.113241,0.575635
0.597176,0.579,0.173731,0.420587
0.521098,0.333,0.175011,0.532681
0.699451,0.679,0.340471,0.564509
0.677961,0.231,0.627442,0.502355
0.627451,0.882,0.0,0.652849
0.666353,0.263,0.303889,0.774517
0.248627,0.0,0.167801,0.349325
0.497255,0.182,0.315688,0.475289
0.497255,0.231,0.126787,0.603581
0.248627,0.0,0.106561,0.613104
0.497255,0.375,0.106561,0.57667
0.470588,0.429,0.08209,0.567717
0.580392,0.152,0.32836,0.508875
0.497255,0.727,0.106561,0.548466
0.497255,0.533,0.0,0.553589
0.497255,0.286,0.16418,0.54593
0.580392,0.5,0.157937,0.526109
0.248627,0.0,0.16418,0.504735
0.627451,0.213,0.385979,0.532888
0.521098,0.316,0.239497,0.519329
0.470588,0.176,0.0,0.661595
0.470588,0.462,0.189244,0.533406
0.521098,0.5,0.02881,0.635512
0.156863,0.0,0.08209,0.597009
0.248627,0.0,0.0,0.589246
0.562353,0.733,0.040233,0.498111
0.562353,0.529,0.156346,0.555245
0.719216,0.75,0.156346,0.661647
0.709647,0.656,0.147512,0.491797
0.470588,0.4,0.073506,0.446566
0.641098,0.75,0.103065,0.560265
0.654118,0.81,0.0,0.641101
0.156863,0.0,0.073506,0.453035
0.688941,0.769,0.128379,0.597216
0.627451,0.353,0.165366,0.54681
0.597176,0.429,0.102316,0.620194
0.440314,0.429,0.010113,0.492832
0.313725,0.0,0.188651,0.502665
0.497255,0.727,0.106561,0.502769
0.709647,0.957,0.146794,0.628888
0.641098,0.52,0.227574,0.562646
0.641098,0.941,0.0,0.595974
0.156863,0.0,0.161121,0.540392
0.580392,0.5,0.089082,0.682503
0.521098,0.429,0.185998,0.427315
0.562353,0.458,0.050346,0.552554
0.470588,0.353,0.08209,0.622522
0.627451,0.462,0.219801,0.535062
0.677961,0.783,0.05328,0.668323
0.364235,0.154,0.155596,0.414842
0.86651,0.774,0.265435,0.486777
0.0,0.0,0.057619,0.487398
0.627451,0.778,0.08209,0.571702
0.40549,0.071,0.169954,0.454122
0.597176,0.429,0.1109,0.475754
0.248627,0.0,0.077158,0.45909
0.699451,0.704,0.106561,0.612534
0.156863,0.0,0.092203,0.611965
0.440314,0.429,0.0,0.464938
0.497255,0.375,0.1109,0.561818
0.542588,0.643,0.08209,0.574962
0.580392,0.45,0.106561,0.507375
0.737255,0.513,0.422561,0.322155
0.364235,0.167,0.252637,0.330435
0.562353,0.733,0.040233,0.363298
0.823216,0.714,0.274799,0.666925
0.580392,0.55,0.067045,0.480101
0.364235,0.2,0.077158,0.448481
0.580392,0.545,0.038923,0.663199
0.470588,0.462,0.117392,0.363608
0.641098,0.636,0.368968,0.440511
0.497255,0.093,0.402897,0.492315
0.156863,0.0,0.05328,0.434715
0.156863,0.0,0.08209,0.62392
0.597176,0.414,0.092203,0.638772
0.597176,0.5,0.188651,0.462454
0.156863,0.0,0.074256,0.586503
0.580392,0.387,0.020226,0.60679
0.654118,0.81,0.0,0.695855
0.641098,0.429,0.250484,0.492418
0.641098,0.636,0.120326,0.571961
0.580392,0.688,0.200855,0.448171
0.597176,0.706,0.063393,0.596439
0.666353,0.762,0.106561,0.573513
0.440314,0.182,0.113365,0.303007
0.156863,0.0,0.08209,0.517311
0.497255,0.333,0.16418,0.547896
0.654118,0.81,0.080467,0.587228
0.313725,0.0,0.16418,0.499715
0.627451,0.393,0.288813,0.52466
0.709647,0.441,0.502778,0.489417
0.580392,0.414,0.144048,0.570874
0.699451,0.76,0.106561,0.570926
0.580392,0.556,0.16418,0.492367
0.777098,0.882,0.080467,0.632562
0.562353,0.846,0.160934,0.361072
0.562353,0.44,0.050346,0.582311
0.823216,0.64,0.399963,0.490969
0.666353,0.773,0.159841,0.510687
0.497255,0.316,0.242525,0.556798
0.470588,0.5,0.08209,0.538063
0.40549,0.333,0.222236,0.326657
0.580392,0.786,0.159841,0.522072
0.156863,0.0,0.100162,0.516586
0.709647,0.5,0.16418,0.451224
0.688941,0.731,0.08209,0.648864
0.521098,0.286,0.170298,0.533561
0.364235,0.182,0.182596,0.432542
0.440314,0.231,0.234003,0.385085
0.612863,0.684,0.05328,0.641153
0.654118,0.68,0.115238,0.472183
0.728471,0.7,0.220738,0.578068
0.641098,0.28,0.16418,0.843296
0.497255,0.727,0.106561,0.529059
0.156863,0.0,0.354454,0.415826
0.641098,0.343,0.606218,0.606272
0.754039,0.758,0.267495,0.494126
0.0,0.0,0.0,0.564353
0.542588,0.75,0.159841,0.492574
0.627451,0.438,0.197328,0.52466
0.641098,0.538,0.13537,0.642964
0.688941,0.581,0.22542,0.66056
0.497255,0.261,0.221799,0.522693
0.542588,0.381,0.112086,0.493764
0.627451,0.484,0.102847,0.494333
0.580392,0.647,0.08209,0.598458
0.654118,0.727,0.1109,0.529938
0.745882,0.806,0.133747,0.566372
0.728471,0.676,0.067045,0.621332
0.497255,0.727,0.080467,0.325778
0.688941,0.704,0.193645,0.547224
0.440314,0.462,0.038923,0.515293
0.156863,0.0,0.157937,0.693008
0.313725,0.0,0.08209,0.612638
0.612863,0.579,0.159841,0.471562
0.597176,0.813,0.0,0.643016
0.666353,0.545,0.0,0.854267
0.666353,0.708,0.05328,0.626559
0.542588,0.563,0.274112,0.243233
0.497255,0.231,0.147013,0.455933
0.745882,0.564,0.261845,0.635719
0.156863,0.0,0.074443,0.58966
0.364235,0.111,0.174293,0.359416
0.364235,0.0,0.226044,0.159137
0.521098,0.389,0.09186,0.551674
0.677961,0.63,0.161527,0.530663
0.677961,0.289,0.5417,0.442892
0.497255,0.294,0.191117,0.314703
0.156863,0.0,0.132249,0.422864
0.580392,0.462,0.038923,0.646639
0.612863,0.56,0.033991,0.551829
0.777098,0.769,0.057619,0.754127
0.580392,0.6,0.069043,0.550536
0.313725,0.0,0.08209,0.613311
0.562353,0.5,0.255852,0.36278
0.40549,0.176,0.057619,0.556435
0.248627,0.0,0.127723,0.35186
0.248627,0.0,0.02881,0.65968
0.597176,0.619,0.134465,0.440822
0.677961,0.72,0.151913,0.558091
0.470588,0.286,0.132936,0.622264
0.654118,0.654,0.088145,0.719143
0.597176,0.522,0.084369,0.520364
0.627451,0.56,0.149822,0.444703
0.248627,0.0,0.204913,0.55245
0.677961,0.76,0.086429,0.523418
0.762039,0.585,0.397185,0.63251
0.745882,0.579,0.233348,0.471407
0.156863,0.0,0.05328,0.521192
0.580392,0.478,0.096198,0.573203
0.156863,0.0,0.092203,0.503286
0.728471,0.487,0.321368,0.50991
0.666353,0.667,0.162276,0.509341
0.612863,0.6,0.16418,0.514827
0.709647,0.741,0.116674,0.604254
0.666353,0.231,0.397528,0.475444
0.542588,0.318,0.217461,0.555452
0.542588,0.368,0.180941,0.47948
0.737255,0.548,0.299551,0.468354
0.440314,0.278,0.211405,0.37401
0.248627,0.095,0.16418,0.578275
0.497255,0.5,0.0,0.626714
0.612863,0.462,0.16418,0.545619
0.769725,0.818,0.106561,0.662423
0.497255,0.5,0.13537,0.521606
0.40549,0.086,0.16418,0.691249
0.699451,0.655,0.106561,0.613983
0.612863,0.6,0.17164,0.535114
0.156863,0.0,0.08209,0.521192
0.580392,0.5,0.086429,0.492781
0.612863,0.619,0.113927,0.550846
0.719216,0.759,0.367189,0.622626
0.470588,0.375,0.08209,0.538529
0.666353,0.696,0.13537,0.58552
0.156863,0.0,0.063393,0.677586
0.497255,0.444,0.023878,0.5037
0.627451,0.619,0.16418,0.424261
0.248627,0.0,0.131875,0.681882
0.627451,0.882,0.040233,0.638979
0.654118,0.533,0.232318,0.551467
0.666353,0.095,0.630876,0.437303
0.612863,0.429,0.174293,0.516069
0.521098,0.14,0.33248,0.582466
0.364235,0.053,0.13537,0.738653
0.364235,0.0,0.233348,0.437717
0.580392,0.522,0.020226,0.603167
0.313725,0.0,0.276609,0.354086
0.597176,0.524,0.295212,0.581845
0.612863,0.619,0.05328,0.596646
0.248627,0.0,0.13537,0.396522
0.156863,0.0,0.05328,0.360762
0.542588,0.643,0.080467,0.342804
0.612863,0.636,0.129752,0.53827
0.497255,0.438,0.077502,0.431299
0.521098,0.192,0.309383,0.461057
0.597176,0.5,0.116674,0.547689
0.612863,0.571,0.14283,0.554314
0.156863,0.0,0.0,0.68007
0.497255,0.5,0.106561,0.547068
0.612863,0.571,0.106561,0.51964
0.440314,0.545,0.0,0.498887
0.562353,0.258,0.297147,0.551933
0.542588,0.381,0.270741,0.481395
0.627451,0.536,0.038923,0.670496
0.627451,0.619,0.106561,0.533768
0.313725,0.0,0.159841,0.389277
0.627451,0.4,0.105968,0.638565
0.440314,0.462,0.057619,0.501423
0.562353,0.588,0.153412,0.453139
0.654118,0.625,0.242525,0.514102
0.470588,0.333,0.063393,0.524711
0.440314,0.278,0.110806,0.452776
0.81098,0.872,0.03062,0.778244
0.470588,0.462,0.05328,0.55333
0.542588,0.286,0.223235,0.463593
0.497255,0.098,0.32836,0.523366
0.542588,0.583,0.185998,0.441598
0.521098,0.533,0.05328,0.485173
0.688941,0.4,0.506898,0.321844
0.612863,0.522,0.18553,0.553744
0.156863,0.0,0.063393,0.422139
0.521098,0.571,0.100162,0.469337
0.0,0.0,0.010113,0.544067
0.364235,0.0,0.424902,0.418103
0.313725,0.071,0.139709,0.53382
0.156863,0.0,0.141519,0.384205
0.156863,0.0,0.08209,0.750453
0.641098,0.353,0.223235,0.555866
0.497255,0.4,0.13537,0.470372
0.521098,0.4,0.170329,0.626093
0.666353,0.667,0.130813,0.533923
0.542588,0.75,0.05328,0.552968
0.709647,0.759,0.086429,0.552399
0.521098,0.4,0.128972,0.499612
0.666353,0.9,0.040233,0.530352
0.654118,0.414,0.323054,0.615639
0.0,0.0,0.0,0.608084
0.597176,0.75,0.122323,0.539357
0.719216,0.88,0.08209,0.652073
0.754039,0.294,0.463731,0.551622
0.728471,0.6,0.02881,0.768307
0.580392,0.524,0.134528,0.582104
0.597176,0.333,0.241931,0.415722
0.677961,0.643,0.1109,0.621591
0.709647,0.541,0.194769,0.610361
0.248627,0.0,0.05328,0.649433
0.313725,0.0,0.26762,0.411789
0.440314,0.211,0.221799,0.471666
0.313725,0.057,0.05328,0.744915
0.666353,0.556,0.209626,0.549966
0.497255,0.261,0.084369,0.570615
0.440314,0.667,0.040233,0.451327
0.497255,0.273,0.161527,0.608756
0.677961,0.667,0.246957,0.472856
0.580392,0.522,0.057619,0.560731
0.248627,0.0,0.092203,0.779951
0.709647,0.8,0.132717,0.500233
0.497255,0.438,0.08209,0.620918
0.677961,0.818,0.134528,0.554262
0.248627,0.0,0.126787,0.507478
0.497255,0.4,0.094232,0.456658
0.597176,0.867,0.146794,0.536511
0.580392,0.688,0.266402,0.502976
0.0,0.0,0.010113,0.528127
0.580392,0.414,0.125351,0.557315
0.709647,0.69,0.293589,0.483828
0.597176,0.684,0.010113,0.583605
0.562353,0.846,0.040233,0.577861
0.440314,0.3,0.02881,0.411944
0.612863,0.667,0.173201,0.477462
0.542588,0.526,0.16418,0.53263
0.677961,0.667,0.181722,0.576049
0.248627,0.0,0.09186,0.477773
0.654118,0.571,0.244585,0.498008
0.248627,0.0,0.120669,0.451534
0.521098,0.296,0.121013,0.513895
0.719216,0.588,0.399713,0.551312
0.440314,0.353,0.057619,0.529628
0.562353,0.233,0.247799,0.540496
0.313725,0.0,0.277733,0.507064
0.521098,0.438,0.172951,0.283807
0.521098,0.412,0.16418,0.545981
0.470588,0.545,0.063393,0.515241
0.440314,0.375,0.0,0.630751
0.612863,0.706,0.132717,0.57165
0.313725,0.2,0.02881,0.332712
0.562353,0.476,0.132967,0.36071
0.497255,0.5,0.187371,0.384412
0.248627,0.182,0.106561,0.502665
0.0,0.0,0.040452,0.496921
0.542588,0.533,0.161714,0.346064
0.580392,0.229,0.340283,0.481343
0.719216,0.885,0.129752,0.62542
0.745882,0.294,0.47762,0.588211
0.440314,0.176,0.176072,0.412772
0.470588,0.333,0.08209,0.629043
0.641098,0.522,0.213122,0.452052
0.248627,0.0,0.1109,0.612897
0.709647,0.45,0.268431,0.530145
0.719216,0.465,0.27508,0.530042
0.627451,0.444,0.210968,0.449102
0.542588,0.444,0.196579,0.447239
0.641098,0.343,0.270741,0.54536
0.699451,0.362,0.27227,0.552606
0.521098,0.5,0.05328,0.457952
0.641098,0.64,0.177945,0.522383
0.562353,0.733,0.069043,0.54681
0.677961,0.857,0.174761,0.513585
0.627451,0.882,0.02881,0.638979
0.641098,0.667,0.132717,0.530559
0.737255,0.96,0.05328,0.677431
0.612863,0.619,0.171609,0.511308
0.580392,0.857,0.080467,0.486105
0.580392,0.458,0.295212,0.612845
0.364235,0.0,0.213122,0.455778
0.612863,0.4,0.16418,0.721472
0.86651,0.725,0.520881,0.419397
