oz124,oz125,oz126,oz128,oz13,oz131,oz149,oz150,oz151,oz165,oz171,oz172,oz173,oz175,oz176,oz177,oz178,oz197,oz247,oz249
0.0,0.107143,0.0,0.0,0.272727,0.0,0.076923,0.090909,0.285714,0.0,0.0,0.192308,0.0,0.0,0.0,0.0,0.0,0.0,0.028578,0.176438
0.0,0.035714,0.0,0.0,0.227273,0.0,0.173077,0.227273,0.0,0.0,0.0,0.173077,0.0,0.0,0.0,0.0,0.0,0.0,0.008386,0.183086
0.0,0.071429,0.0,0.0,0.045455,0.0,0.096154,0.045455,0.0,0.1,0.0,0.269231,0.0,0.0,0.0,0.0,0.0,0.1,0.020523,0.134016
0.133333,0.035714,0.2,0.0,0.181818,0.0,0.038462,0.136364,0.071429,0.0,0.1125,0.038462,0.0,0.153846,0.0,0.0,0.0,0.0,0.172349,0.120501
0.0,0.071429,0.0,0.0,0.090909,0.0,0.192308,0.090909,0.0,0.0,0.0,0.192308,0.0,0.153846,0.0,0.0,0.0,0.0,0.01622,0.149819
0.066667,0.107143,0.0,0.0,0.227273,0.0,0.173077,0.136364,0.0,0.0,0.0,0.173077,0.0,0.076923,0.0,0.0,0.0,0.0,0.075692,0.187659
0.0,0.071429,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.125,0.076923,0.0,0.0,0.115385,0.111111,0.0,0.1,0.020523,0.139989
0.0,0.071429,0.133333,0.0,0.0,0.15,0.0,0.0,0.0,0.1,0.0,0.115385,0.0,0.0,0.076923,0.166667,0.0,0.0,0.027695,0.099387
0.0,0.071429,0.0,0.0,0.090909,0.0,0.076923,0.045455,0.071429,0.1,0.0,0.134615,0.0,0.0,0.0,0.055556,0.0,0.0,0.022399,0.107075
0.0,0.107143,0.0,0.0,0.045455,0.0,0.096154,0.0,0.071429,0.0,0.0,0.096154,0.0,0.153846,0.0,0.0,0.0,0.0,0.046011,0.096402
0.066667,0.321429,0.0,0.0,0.181818,0.0,0.038462,0.0,0.285714,0.0,0.0,0.038462,0.0,0.076923,0.0,0.0,0.0,0.0,0.071389,0.134812
0.133333,0.107143,0.066667,0.058824,0.090909,0.0,0.076923,0.045455,0.071429,0.1,0.1625,0.096154,0.0,0.153846,0.0,0.0,0.0,0.0,0.073375,0.195134
0.0,0.178571,0.0,0.0,0.090909,0.0,0.038462,0.045455,0.0,0.2,0.0,0.038462,0.0,0.153846,0.0,0.0,0.0,0.0,0.047225,0.092383
0.2,0.178571,0.133333,0.235294,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.019231,0.0,0.153846,0.192308,0.083333,0.0,0.1,0.150171,0.194987
0.0,0.071429,0.133333,0.0,0.181818,0.0,0.153846,0.090909,0.142857,0.0,0.075,0.153846,0.0,0.0,0.0,0.0,0.0,0.0,0.020523,0.196209
0.133333,0.107143,0.066667,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.05,0.076923,0.0,0.153846,0.076923,0.138889,0.0,0.0,0.184155,0.115075
0.0,0.071429,0.066667,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.025,0.076923,0.0,0.0,0.115385,0.111111,0.0,0.1,0.027695,0.090331
0.0,0.071429,0.133333,0.0,0.090909,0.2,0.192308,0.090909,0.0,0.0,0.0,0.384615,0.0,0.0,0.153846,0.166667,0.0,0.0,0.019199,0.392877
0.0,0.0,0.2,0.058824,0.0,0.05,0.0,0.0,0.0,0.1,0.075,0.038462,0.0,0.0,0.115385,0.027778,0.0,0.0,0.031226,0.119575
0.0,0.107143,0.0,0.0,0.045455,0.0,0.096154,0.0,0.071429,0.0,0.0,0.096154,0.0,0.307692,0.0,0.0,0.0,0.2,0.046011,0.107998
0.0,0.142857,0.0,0.0,0.045455,0.0,0.096154,0.0,0.071429,0.0,0.0,0.096154,0.0,0.461538,0.0,0.0,0.0,0.0,0.056162,0.122608
0.0,0.321429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615385,0.0,0.0,0.0,0.6,0.082864,0.08978
0.0,0.25,0.066667,0.0,0.045455,0.05,0.0,0.0,0.0,0.0,0.0,0.038462,0.0,0.153846,0.0,0.083333,0.0,0.3,0.070837,0.088568
0.066667,0.035714,0.0,0.0,0.272727,0.0,0.153846,0.090909,0.142857,0.0,0.0,0.153846,0.0,0.076923,0.0,0.0,0.0,0.0,0.075692,0.202876
0.066667,0.071429,0.0,0.0,0.045455,0.0,0.096154,0.045455,0.0,0.1,0.05,0.096154,0.0,0.076923,0.076923,0.0,0.0,0.0,0.020523,0.122684
0.0,0.071429,0.133333,0.0,0.181818,0.0,0.153846,0.090909,0.142857,0.0,0.075,0.153846,0.0,0.153846,0.0,0.0,0.0,0.0,0.015116,0.1738
0.133333,0.142857,0.0,0.0,0.090909,0.1,0.192308,0.090909,0.0,0.2,0.0,0.269231,0.0,0.153846,0.0,0.0,0.0,0.2,0.02273,0.21985
0.0,0.178571,0.066667,0.058824,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.134615,0.0,0.0,0.0,0.083333,0.0,0.1,0.043584,0.09807
0.0,0.178571,0.066667,0.058824,0.045455,0.1,0.096154,0.0,0.0,0.2,0.0,0.173077,0.0,0.0,0.0,0.083333,0.0,0.1,0.031336,0.156998
