yprop/table8.oz124,yprop/table8.oz151,yprop/table8.oz165,yprop/table8.oz197,yprop/table8.oz31,oz249
0.133333,0.0,0.0,0.0,0.0,0.384428
0.066667,0.071429,0.0,0.0,0.0,0.231312
0.066667,0.071429,0.1,0.0,0.0,0.255281
0.066667,0.142857,0.0,0.0,0.090909,0.125061
0.066667,0.071429,0.2,0.0,0.090909,0.179204
0.0,0.0,0.1,0.0,0.090909,0.234711
0.066667,0.071429,0.0,0.0,0.0,0.12629
0.133333,0.0,0.0,0.0,0.0,0.213212
0.0,0.071429,0.2,0.2,0.0,0.199551
0.0,0.0,0.0,0.0,0.0,0.297958
0.0,0.0,0.0,0.0,0.0,0.213301
0.2,0.0,0.1,0.1,0.0,0.28781
0.0,0.071429,0.1,0.1,0.0,0.233263
0.133333,0.0,0.2,0.2,0.0,0.258431
0.133333,0.142857,0.0,0.0,0.0,0.308491
0.0,0.0,0.2,0.0,0.181818,0.254912
0.0,0.0,0.1,0.1,0.0,0.170653
0.0,0.0,0.1,0.1,0.0,0.11372
0.0,0.0,0.0,0.0,0.0,0.178048
0.0,0.071429,0.2,0.1,0.0,0.221565
0.0,0.0,0.2,0.0,0.181818,0.225301
0.0,0.357143,0.0,0.0,0.0,0.276579
0.066667,0.142857,0.1,0.1,0.090909,0.306636
0.333333,0.071429,0.1,0.1,0.0,0.279676
0.266667,0.142857,0.0,0.0,0.0,0.273225
0.0,0.357143,0.1,0.2,0.0,0.221428
0.0,0.142857,0.1,0.0,0.0,0.227834
0.133333,0.071429,0.0,0.0,0.0,0.138522
0.0,0.0,0.2,0.4,0.0,0.337952
0.2,0.0,0.0,0.0,0.0,0.099015
0.133333,0.0,0.1,0.1,0.0,0.080462
0.0,0.0,0.1,0.1,0.0,0.13282
0.066667,0.071429,0.2,0.1,0.0,0.283771
0.0,0.071429,0.2,0.0,0.0,0.117243
0.0,0.071429,0.0,0.0,0.181818,0.244223
0.066667,0.214286,0.1,0.1,0.0,0.244754
0.0,0.142857,0.0,0.2,0.0,0.110127
0.0,0.071429,0.0,0.0,0.0,0.140234
0.133333,0.285714,0.0,0.0,0.0,0.204308
0.133333,0.0,0.4,0.2,0.181818,0.286311
0.066667,0.071429,0.1,0.0,0.090909,0.143731
0.266667,0.0,0.2,0.2,0.0,0.069662
0.133333,0.0,0.2,0.2,0.0,0.200544
0.133333,0.285714,0.2,0.1,0.090909,0.318069
0.0,0.071429,0.0,0.0,0.0,0.342582
0.0,0.0,0.2,0.0,0.0,0.068736
0.0,0.0,0.1,0.2,0.0,0.241849
0.0,0.071429,0.0,0.0,0.0,0.191426
0.133333,0.142857,0.1,0.1,0.0,0.248786
0.066667,0.0,0.2,0.0,0.181818,0.485836
0.066667,0.285714,0.1,0.1,0.090909,0.282206
0.0,0.071429,0.0,0.0,0.0,0.406446
0.133333,0.285714,0.2,0.4,0.0,0.347537
0.0,0.0,0.0,0.0,0.0,0.160199
0.0,0.0,0.0,0.0,0.090909,0.174535
0.0,0.142857,0.1,0.0,0.090909,0.195885
0.0,0.0,0.0,0.2,0.0,0.120791
0.066667,0.071429,0.2,0.1,0.0,0.133994
