ACC_KEY,ACCTP_KEY,PROD_KEY,ORG_KEY,PT_UNIFIED_KEY,ACCH_OPEN_DATE
-2,-2,-2,-2,-1,1000-01-03
32700,101,51757,878,7159050,1974-04-13
33754,101,51757,888,6750864,1975-05-04
33786,101,51757,888,2346729,1975-05-13
34609,101,51757,878,106720,1975-05-15
34846,101,23,1002,4468699,1974-11-16
35338,101,32,1002,2158621,1974-11-11
35522,101,51757,905,782088,1975-05-03
35586,101,88275,803,1506031,1974-04-18
35619,101,51757,720,83908426,1975-11-03
35960,101,29,1088,7118299,1975-10-28
38890,101,51757,1129,925728,1974-04-18
38934,101,23,1174,410725,1974-04-18
38966,101,51757,884,1379113,1975-05-17
42067,101,51757,1310,4330726,1974-04-04
45055,101,51757,1310,7175755,1975-04-30
47216,101,51757,760,279036,1975-04-26
47876,101,51757,921,445930,1974-04-09
47976,101,29,921,3942458,1974-04-17
48793,101,51757,760,3109138,1975-05-17
52952,101,51757,948,1422542,1974-04-15
52979,101,51757,948,1641462,1974-04-07
54762,101,51757,1294,7168841,1974-04-13
54824,101,51757,1149,6405249,1974-04-15
56289,101,29,992,4151279,1975-05-05
56599,101,88278,1239,231980,1975-04-21
61287,101,51757,1149,4144579,1975-05-06
61443,101,51757,1149,3495504,1975-05-10
68108,101,51757,1038,300949,1974-04-09
68341,101,51757,1038,2246278,1974-04-21
77481,101,51757,858,7036185,1974-11-09
77584,101,51757,858,307593,1974-11-07
94246,101,51757,852,6348671,1975-10-31
104560,101,31,1098,2166457,1974-04-17
120901,101,23,1098,950433,1975-04-25
128321,101,51757,1098,5557430,1975-11-04
186768,101,51757,847,6996490,1974-04-15
245553,101,51757,1315,4363933,1991-12-09
247241,101,51757,1285,5016990,1975-05-10
287387,101,88276,1075,6199302,1974-11-16
453230,101,51757,1029,163899,1974-04-06
487854,101,51757,710,153786240,1975-04-27
655212,101,51757,1069,938642,1974-04-08
660757,101,51757,338105,4838689,1975-10-27
728807,101,32,993,323100,1974-11-14
835516,101,51757,1005,257711804,1975-04-30
896911,101,51757,1289,1499756,1975-05-06
991421,101,51757,861,7158798,1974-04-16
1045595,101,88276,962,2777503,1974-11-15
1107100,101,51757,963,1347551,1974-11-07
1153984,101,51757,807,382744,1975-05-07
1221302,101,51757,1269,3658235,1975-05-14
1302705,101,51757,748,1483669,1974-11-07
1317834,101,51757,755,2326500,1975-05-19
1326133,101,88275,1315,2917824,1974-04-12
1478278,101,31,858,217394,1974-04-14
1519718,101,51757,1074,4091604,1974-04-18
1607499,101,51757,801,6246027,1974-04-17
1656331,101,29,1269,4978267,1974-04-20
1678122,101,51757,817,3083092,1974-04-15
1716131,101,29,338160,159190,1975-05-07
1850253,101,51757,775,71876,1975-05-09
2220402,101,51757,1312,4998280,1974-04-17
2246897,101,29,703,5556627,1974-04-09
2399141,101,51757,1099,5673776,1974-04-22
2489439,101,51757,749,1206371,1974-11-08
2536072,101,51757,984,666024,1975-05-19
2578737,101,51757,788,7510280,1974-04-08
2579601,101,51757,1254,4290814,1975-05-11
2716989,101,51757,1131,7088560,1974-04-22
2774510,101,88275,1250,210805,1974-04-06
2795714,101,51757,426587,4921061,1975-04-30
2830532,101,29,1261,4872180,1975-05-12
2837889,101,51757,1175,6529957,1975-05-04
2911758,101,51757,1011,945842,1975-05-03
28867506,202,127,2792,25071,2000-05-06
28950395,202,98,3521,20375551,2002-12-16
40468597,602,1090,397859,309556506,2002-10-12
106276096,202,127,2792,25071,2005-05-17
108605730,203,558,3767,410725,2005-06-03
112029496,602,1090,397859,154187431,2005-07-24
229536297,201,33594,3471,307593,2007-10-31
239627796,1001,2276,7440,1483669,2008-01-31
247965736,201,10190,3591,4921061,2008-04-13
276365931,602,1090,10735,4167950,2008-12-09
277289487,201,10190,3788,950433,2008-12-18
283076732,201,10190,3591,4921061,2009-02-07
288483934,501,2331,1294,7168841,2009-03-26
289868182,201,10190,3571,3942458,2009-04-08
289872434,602,1090,10735,410902725,2009-04-09
290811298,602,1090,10735,32330,2009-04-16
324065079,602,1098,10645,182086,2010-01-27
346090217,201,76046,2591,2917824,2010-07-23
348297463,201,76046,3874,7088560,2010-08-08
387851552,201,76046,3798,2951802,2011-07-01
397048762,203,71912,3417,4838689,2011-09-18
397050092,201,76040,3480,7159050,2011-09-16
402589825,201,76046,3795,6199302,2011-10-28
414352443,201,76040,3480,6687535,2012-02-04
481034328,203,87239,3375,153786240,2013-07-17
