ACC_KEY,date_horizon,target_churn
-2,2014-04-01,"0"
32700,2014-04-01,"0"
33754,2014-04-01,"0"
33786,2014-04-01,"0"
34609,2014-04-01,"0"
34846,2014-04-01,"0"
35338,2014-04-01,"0"
35522,2014-04-01,"0"
35586,2014-04-01,"0"
35619,2014-04-01,"0"
35960,2014-04-01,"0"
38890,2014-04-01,"0"
38934,2014-04-01,"0"
38966,2014-04-01,"0"
42067,2014-04-01,"0"
45055,2014-04-01,"0"
47216,2014-04-01,"0"
47876,2014-04-01,"0"
47976,2014-04-01,"0"
48793,2014-04-01,"0"
52952,2014-04-01,"0"
52979,2014-04-01,"0"
54762,2014-04-01,"0"
54824,2014-04-01,"0"
56289,2014-04-01,"0"
56599,2014-04-01,"0"
61287,2014-04-01,"0"
61443,2014-04-01,"0"
68108,2014-04-01,"0"
68341,2014-04-01,"0"
77481,2014-04-01,"0"
77584,2014-04-01,"0"
94246,2014-04-01,"0"
104560,2014-04-01,"0"
120901,2014-04-01,"0"
128321,2014-04-01,"0"
186768,2014-04-01,"0"
245553,2014-04-01,"0"
247241,2014-04-01,"0"
287387,2014-04-01,"0"
453230,2014-04-01,"0"
487854,2014-04-01,"0"
655212,2014-04-01,"0"
660757,2014-04-01,"0"
728807,2014-04-01,"0"
835516,2014-04-01,"0"
896911,2014-04-01,"0"
991421,2014-04-01,"0"
1045595,2014-04-01,"0"
1107100,2014-04-01,"0"
1153984,2014-04-01,"0"
1221302,2014-04-01,"0"
1302705,2014-04-01,"0"
1317834,2014-04-01,"0"
1326133,2014-04-01,"0"
1478278,2014-04-01,"0"
1519718,2014-04-01,"0"
1607499,2014-04-01,"0"
1656331,2014-04-01,"0"
1678122,2014-04-01,"0"
1716131,2014-04-01,"0"
1850253,2014-04-01,"0"
2220402,2014-04-01,"0"
2246897,2014-04-01,"0"
2399141,2014-04-01,"0"
2489439,2014-04-01,"0"
2536072,2014-04-01,"0"
2578737,2014-04-01,"0"
2579601,2014-04-01,"0"
2716989,2014-04-01,"0"
2774510,2014-04-01,"0"
2795714,2014-04-01,"0"
2830532,2014-04-01,"0"
2837889,2014-04-01,"0"
2911758,2014-04-01,"0"
28867506,2014-04-01,"0"
28950395,2014-04-01,"0"
40468597,2014-04-01,"0"
106276096,2014-04-01,"0"
108605730,2014-04-01,"0"
112029496,2014-04-01,"0"
229536297,2014-04-01,"0"
239627796,2014-04-01,1
247965736,2014-04-01,1
276365931,2014-04-01,"0"
277289487,2014-04-01,"0"
283076732,2014-04-01,"0"
288483934,2014-04-01,"0"
289868182,2014-04-01,"0"
289872434,2014-04-01,"0"
290811298,2014-04-01,"0"
324065079,2014-04-01,"0"
346090217,2014-04-01,"0"
348297463,2014-04-01,"0"
387851552,2014-04-01,1
397048762,2014-04-01,"0"
397050092,2014-04-01,"0"
402589825,2014-04-01,1
414352443,2014-04-01,"0"
481034328,2014-04-01,"0"
