air/co_daily_summary.o3_AQI,air/co_daily_summary.f0_,air/co_daily_summary.f1_,air/co_daily_summary.f2_,air/co_daily_summary.f3_,air/co_daily_summary.f4_,air/co_daily_summary.f5_,air/co_daily_summary.f6_,Day
3.6883116883116873,0.3646623376623377,7.857142857142858,23.56926406926405,98.24675324675324,Arizona,Maricopa,Buckeye,2021-08-15
5.128755364806866,0.5001330472103005,9.763948497854082,23.690987124463533,98.74248927038629,Arizona,Maricopa,Buckeye,2021-11-25
15.412955465587055,1.6853238866396778,9.72267206477733,23.200404858299574,96.70546558704456,Alabama,Jefferson,Birmingham,1993-04-14
4.986531986531986,0.5131939291736931,7.440134907251264,22.858347386171985,95.31028667790892,Arizona,Maricopa,Buckeye,2016-02-23
5.376044568245124,0.550480501392758,7.86490250696378,23.317548746518103,97.19916434540389,Alabama,Jefferson,Birmingham,2006-07-27
8.115288220551378,0.7956695869837288,9.3279098873592,23.45807259073841,97.7772215269086,Alabama,Jefferson,Birmingham,2006-01-15
5.5308641975308666,0.5515864197530856,9.166666666666677,23.792592592592595,99.162962962963,Alabama,Jefferson,Birmingham,2004-05-29
9.620985010706644,1.0982869379015,10.419700214132778,23.307280513918624,97.1531049250536,Alabama,Jefferson,Birmingham,2000-04-10
13.10059171597632,1.284600197433367,9.220138203356347,23.74432379072061,98.95557749259623,Alabama,Jefferson,Birmingham,1995-03-05
16.371559633027516,1.7628440366972482,10.060779816513763,23.285550458715598,97.06651376146792,Alabama,Jefferson,Birmingham,2004-01-13
2.9380165289256226,0.3060103305785122,5.2334710743801605,22.76446280991737,94.90082644628096,Arizona,Maricopa,Buckeye,2021-05-20
25.166666666666675,2.8222916666666644,13.041666666666664,23.30208333333333,97.11979166666664,Alabama,Jefferson,Birmingham,1990-02-02
3.922818791946306,0.408897651006711,7.545302013422821,23.58053691275166,98.2969798657719,Pennsylvania,York,York,2011-06-04
6.18233618233618,0.6457820512820506,9.99287749287748,23.47435897435899,97.85612535612536,Montana,Gallatin,West Yellowstone,2008-12-15
10.10593220338982,1.087035069075453,10.967056323060577,23.43783209351751,97.69394261424026,Alabama,Jefferson,Birmingham,1999-06-11
7.880694143167029,0.7603917301414592,7.496191512513629,23.52339499455928,98.04243743199142,Alabama,Jefferson,Birmingham,1999-08-01
4.959706959706959,0.5174084249084251,7.413919413919413,23.175824175824182,96.61721611721605,Pennsylvania,York,York,2017-09-26
7.584810126582275,0.8299227848101254,8.975949367088607,23.49620253164557,97.93670886075948,Alabama,Jefferson,Birmingham,2006-03-22
