pk_table,pk_column,fk_table,fk_column
co_daily_summary.csv,Day,temp.csv,Day
hap_daily_summary.csv,Day,temp.csv,Day
lead_daily_summary.csv,Day,temp.csv,Day
no2_daily_summary.csv,Day,temp.csv,Day
nonoxnoy_daily_summary.csv,Day,temp.csv,Day
pm10_daily_summary.csv,Day,temp.csv,Day
pm25_frm_daily_summary.csv,Day,temp.csv,Day
pm25_nonfrm_daily_summary.csv,Day,temp.csv,Day
pm25_speciation_daily_summary.csv,Day,temp.csv,Day
pressure_daily_summary.csv,Day,temp.csv,Day
rh_and_dp_daily_summary.csv,Day,temp.csv,Day
so2_daily_summary.csv,Day,temp.csv,Day
temperature_daily_summary.csv,Day,temp.csv,Day
voc_daily_summary.csv,Day,temp.csv,Day
wind_daily_summary.csv,Day,temp.csv,Day
