air/hap_daily_summary.o3_AQI,air/hap_daily_summary.f0_,air/hap_daily_summary.f1_,air/hap_daily_summary.f2_,air/hap_daily_summary.f3_,air/hap_daily_summary.f4_,air/hap_daily_summary.f5_,air/hap_daily_summary.f6_,Day
,1.0558615384615386,5.892307692307691,8.430769230769235,94.2307692307692,Indiana,Lake,Gary,2013-01-30
,0.4007172502918123,0.5449391362347821,1.1037185259296327,99.88510922127718,Vermont,Chittenden,Burlington,2008-10-09
,1.9191266425120768,4.181159420289862,4.3260869565217375,88.4082125603865,Connecticut,Fairfield,Westport,2000-08-01
,3.7145849999999982,12.075,8.725000000000001,89.07499999999999,California,Alameda,Livermore,2017-09-03
,1.1945174193548385,4.236559139784945,6.913978494623656,96.59677419354838,Connecticut,New Haven,New Haven,2005-07-01
,2.6402436363636363,10.109090909090911,15.745454545454546,83.14545454545453,Louisiana,East Baton Rouge,Baton Rouge,2021-06-17
,0.1972756200527705,0.0554089709762532,1.0527704485488134,99.9683377308707,Utah,Garfield,Not in a city,1994-02-16
,0.000540775510204,0.0,1.0,100.0,New Jersey,Atlantic,Galloway (Township of),1991-09-18
,0.197428302180685,0.3052959501557629,1.4929906542056095,99.63395638629297,Illinois,Cook,Northbrook,2005-05-31
,4.633794852941177,15.455882352941178,10.705882352941176,94.52941176470588,Vermont,Chittenden,Burlington,2007-10-26
,0.909,0.0,1.0,100.0,Kansas,Wyandotte,Kansas City,1994-04-04
,0.3172081947022109,0.341319385861314,1.0841909903829916,99.9321747933188,Illinois,Cook,Northbrook,2006-12-31
,4.888023255813954,15.848837209302326,6.860465116279068,97.74418604651162,Ohio,Ottawa,Not in a city,2007-03-12
,2.243428571428571,4.86904761904762,6.154761904761902,92.34523809523807,Illinois,Cook,Northbrook,2004-05-13
,0.8696600104766891,0.1058145625982189,1.1063383970665304,99.96647459402848,Minnesota,Clay,Moorhead,1999-01-30
,1.0913079646017698,0.9999999999999996,3.044247787610619,99.21238938053096,Texas,Dallas,Dallas,2003-12-31
,2.5725857142857143,2.3000000000000003,1.5142857142857145,70.01428571428572,Colorado,Eagle,Minturn,1993-09-13
,10.688807142857142,8.928571428571429,16.0,94.28571428571428,Texas,Dallas,Dallas,1998-11-27
,0.0369666129032258,0.0,1.0,100.0,Alabama,Lawrence,Moulton,1992-09-05
