Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_
1990-01-01,27.954545454545467,29.57797202797203,8.734265734265735,23.391608391608393,97.53846153846149,North Dakota,Mercer,Beulah
1990-01-02,30.203448275862062,32.124482758620665,13.517241379310345,22.468965517241386,93.73793103448278,North Dakota,Mercer,Beulah
1990-01-03,36.96245733788401,39.12935153583619,12.901023890784984,22.59726962457338,94.27645051194543,North Dakota,Mercer,Beulah
1990-01-04,37.132890365448475,39.02458471760796,11.066445182724248,22.42524916943522,93.531561461794,North Dakota,Mercer,Beulah
1990-01-05,37.15050167224082,39.19732441471572,13.795986622073578,23.00334448160536,95.94648829431438,North Dakota,Mercer,Beulah
1990-01-06,36.67676767676766,38.86296296296297,12.383838383838388,23.55555555555554,98.2188552188552,North Dakota,Mercer,Beulah
1990-01-07,35.291946308724846,37.08422818791943,13.13758389261745,23.463087248322157,97.83221476510067,North Dakota,Mercer,Beulah
1990-01-08,43.729096989966536,47.54682274247492,12.09364548494983,23.013377926421416,95.98662207357849,North Dakota,Mercer,Beulah
1990-01-09,44.5953177257525,51.55953177257528,13.498327759197322,22.722408026755865,94.77926421404682,North Dakota,Mercer,Beulah
1990-01-10,40.92666666666667,45.28266666666668,11.423333333333328,22.870000000000008,95.40666666666662,North Dakota,Mercer,Beulah
1990-01-11,40.156146179401986,46.29634551495016,11.770764119601337,22.82724252491694,95.22259136212625,North Dakota,Mercer,Beulah
1990-01-12,31.535117056856162,33.80367892976589,10.20066889632107,23.157190635451517,96.57190635451501,North Dakota,Mercer,Beulah
1990-01-13,24.635451505016725,26.147491638795984,12.876254180602006,23.431438127090313,97.69899665551841,North Dakota,Mercer,Beulah
1990-01-14,27.808724832214775,29.49496644295303,13.64765100671141,23.479865771812083,97.90604026845638,North Dakota,Mercer,Beulah
1990-01-15,33.505050505050484,35.43703703703704,13.74074074074074,23.33670033670033,97.30303030303027,North Dakota,Mercer,Beulah
1990-01-16,36.40939597315437,38.38724832214767,11.1510067114094,22.79530201342281,95.08724832214763,North Dakota,Mercer,Beulah
1990-01-17,37.30463576158943,39.50695364238412,11.049668874172184,22.529801324503318,93.98675496688743,North Dakota,Mercer,Beulah
1990-01-18,29.338870431893703,31.05913621262458,11.700996677740875,22.710963455149493,94.72425249169436,North Dakota,Mercer,Beulah
1990-01-19,30.845394736842106,32.62927631578947,14.1875,22.92105263157895,95.58881578947373,North Dakota,Mercer,Beulah
1990-01-20,30.96345514950167,32.83554817275751,11.372093023255811,23.46843853820598,97.85049833887041,North Dakota,Mercer,Beulah
1990-01-21,30.71666666666669,32.39533333333334,11.766666666666664,23.423333333333346,97.67,North Dakota,Mercer,Beulah
