air/no2_daily_summary.o3_AQI,air/no2_daily_summary.f0_,air/no2_daily_summary.f1_,air/no2_daily_summary.f2_,air/no2_daily_summary.f3_,air/no2_daily_summary.f4_,air/no2_daily_summary.f5_,air/no2_daily_summary.f6_,Day
23.279792746113973,24.674093264248707,13.601036269430043,23.082901554404145,96.29274611398964,Puerto Rico,Catano,Catano,2005-01-23
12.478060046189382,13.550115473441114,10.505773672055431,22.88452655889149,95.43418013856812,Wyoming,Fremont,Riverton,2021-04-21
32.795454545454554,34.54512987012988,11.733766233766236,22.977272727272723,95.81818181818178,North Dakota,Mercer,Beulah,1990-02-02
20.123989218328862,21.525876010781687,8.412398921832883,23.218328840970347,96.83557951482476,Wyoming,Sweetwater,Not in a city,2011-05-06
15.47294117647058,16.758823529411767,10.272941176470598,23.06588235294118,96.1929411764706,Wyoming,Sweetwater,Not in a city,2019-04-05
27.34059945504089,29.03460490463216,12.8991825613079,23.28882833787465,97.1089918256131,North Dakota,Mercer,Not in a city,2009-01-19
17.726190476190485,19.057857142857134,9.404761904761896,22.816666666666663,95.39047619047612,Wyoming,Sweetwater,Not in a city,2018-03-15
12.910628019323669,14.02294685990338,11.417874396135272,22.92270531400966,95.62318840579712,Wyoming,Sweetwater,Not in a city,2017-09-03
26.03636363636364,27.59298701298701,12.38701298701298,22.93766233766232,95.6675324675324,Puerto Rico,Catano,Catano,2006-02-28
19.705405405405426,21.12891891891893,10.543243243243245,22.8054054054054,95.09189189189188,Wyoming,Sweetwater,Not in a city,2013-03-01
23.201634877384198,24.642506811989097,13.024523160762948,22.96457765667576,95.77929155313343,North Dakota,Mercer,Not in a city,2009-11-30
19.06811989100817,20.268119891008183,11.070844686648506,22.64850136239782,94.47411444141694,North Dakota,Mercer,Not in a city,2010-01-20
21.20491803278689,22.54098360655737,14.038251366120218,23.483606557377048,97.92349726775952,North Dakota,Mercer,Not in a city,2010-01-09
13.145945945945948,14.1572972972973,9.41081081081082,22.82972972972972,95.21891891891892,Wyoming,Sweetwater,Not in a city,2012-05-03
11.057208237986275,12.065675057208242,9.231121281464532,23.107551487414185,96.35697940503437,Wyoming,Sweetwater,Not in a city,2020-04-09
19.55474452554744,20.711435523114343,9.391727493917267,23.214111922141125,96.83941605839416,North Dakota,Steele,Sharon,2000-08-06
16.891191709844566,18.13471502590674,11.212435233160628,22.826424870466315,95.21502590673568,Wyoming,Sweetwater,Not in a city,2013-11-22
19.815724815724824,20.9955773955774,8.675675675675677,23.45208845208845,97.7837837837838,Puerto Rico,Catano,Catano,2006-07-01
26.841968911917117,28.37435233160621,12.181347150259068,23.10362694300518,96.3471502590673,North Dakota,Mercer,Not in a city,2005-11-08
27.6517857142857,29.285119047619045,13.535714285714285,22.59821428571429,94.26785714285715,North Dakota,Mercer,Beulah,1994-01-26
36.71207430340559,38.599380804953576,11.72755417956656,22.498452012383897,93.85139318885444,North Dakota,Mercer,Beulah,1991-08-29
28.442105263157902,30.131052631578957,13.54736842105264,22.915789473684235,95.59210526315783,North Dakota,Steele,Sharon,1999-02-08
22.898123324396774,24.215013404825733,9.989276139410178,23.158176943699733,96.61394101876672,North Dakota,Mercer,Not in a city,2008-02-17
41.69767441860461,43.81424418604651,13.241279069767444,22.811046511627914,95.15406976744188,North Dakota,Mercer,Beulah,1994-03-14
25.20476190476192,26.671904761904745,10.623809523809523,22.88333333333333,95.43809523809526,North Dakota,Mercer,Not in a city,2002-06-18
27.494318181818173,29.023579545454545,13.318181818181818,23.360795454545457,97.4090909090909,North Dakota,Mercer,Beulah,1996-11-24
25.77066666666668,27.341333333333345,12.320000000000006,23.365333333333325,97.42399999999996,North Dakota,Steele,Sharon,2000-02-26
16.01662707838481,17.275296912114015,12.634204275534447,23.29691211401425,97.1353919239904,Wyoming,Sweetwater,Not in a city,2017-11-10
20.047738693467355,21.230150753768864,14.726130653266347,23.175879396984904,96.6256281407035,North Dakota,Mercer,Beulah,1998-07-05
31.474576271186443,33.07683615819206,11.225988700564978,22.782485875706183,95.02824858757069,North Dakota,Mercer,Beulah,1993-08-23
26.69518716577541,28.146524064171125,11.270053475935836,23.09358288770053,96.27807486631016,North Dakota,Mercer,Beulah,1998-11-29
25.801223241590208,27.253211009174304,10.186544342507638,23.272171253822624,97.0489296636086,North Dakota,Mercer,Beulah,1992-08-15
20.999999999999996,22.14425427872861,12.476772616136929,23.19804400977995,96.76039119804406,North Dakota,Mercer,Not in a city,2004-05-02
25.062176165803123,26.51891191709845,14.655440414507778,23.093264248704664,96.2642487046632,North Dakota,Mercer,Not in a city,2003-10-12
