Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_
1990-01-01,25.150313152400837,0.027121085594989536,10.835073068893527,16.835073068893536,99.03131524008354,Alaska,Denali ,Not in a city
1990-01-02,21.726530612244893,0.02343469387755102,10.553061224489792,16.63877551020408,97.87551020408168,Alaska,Denali ,Not in a city
1990-01-03,19.855691056910572,0.02144918699186992,10.835365853658535,16.44512195121949,96.74186991869918,Alaska,Denali ,Not in a city
1990-01-04,19.184959349593488,0.020701219512195113,11.37601626016259,16.58333333333336,97.5548780487805,Alaska,Denali ,Not in a city
1990-01-05,18.8927125506073,0.020398785425101217,10.41902834008097,16.730769230769226,98.42307692307688,Alaska,Denali ,Not in a city
1990-01-06,19.721774193548388,0.021276209677419364,10.971774193548383,16.836693548387103,99.03629032258067,Alaska,Denali ,Not in a city
1990-01-07,22.170040485829972,0.02391093117408907,10.50607287449393,16.84817813765182,99.1072874493927,Alaska,Denali ,Not in a city
1990-01-08,21.578838174273866,0.023161825726141075,10.877593360995851,16.655601659751024,97.97302904564323,Alaska,Denali ,Not in a city
1990-01-09,23.831967213114737,0.025645491803278676,11.131147540983616,16.633196721311464,97.83401639344257,Alaska,Denali ,Not in a city
1990-01-10,26.22314049586778,0.026572314049586758,12.533057851239676,16.491735537190088,97.01652892561978,Arizona,Apache,Petrified Forest National Park
1990-01-11,30.919917864476396,0.031020533880903485,11.616016427104727,16.597535934291578,97.6386036960985,Arizona,Apache,Petrified Forest National Park
1990-01-12,25.893223819301834,0.02791991786447642,13.032854209445583,16.59958932238193,97.65092402464064,Alaska,Denali ,Not in a city
1990-01-13,26.479423868312768,0.028592592592592572,10.818930041152269,16.763374485596724,98.60905349794234,Alaska,Denali ,Not in a city
1990-01-14,25.50721649484534,0.027550515463917537,10.183505154639175,16.719587628865977,98.34845360824742,Alaska,Denali ,Not in a city
1990-01-15,21.731557377049178,0.02345696721311475,10.563524590163924,16.747950819672123,98.5184426229508,Alaska,Denali ,Not in a city
1990-01-16,22.383367139959415,0.024146044624746454,11.624746450304265,16.588235294117652,97.56997971602436,Alaska,Denali ,Not in a city
1990-01-17,22.57200811359028,0.024389452332657175,12.23935091277889,16.393509127789056,96.43204868154156,Alaska,Denali ,Not in a city
1990-01-18,21.541922290388545,0.02323517382413088,11.728016359918202,16.529652351738257,97.23312883435577,Arizona,Apache,Petrified Forest National Park
1990-01-19,21.379098360655735,0.0230922131147541,10.264344262295085,16.65983606557376,98.00204918032787,Arizona,Apache,Petrified Forest National Park
1990-01-20,21.903292181069954,0.023596707818930036,11.471193415637849,16.85802469135802,99.16460905349795,Alaska,Denali ,Not in a city
1990-01-21,25.026859504132226,0.02705785123966941,10.272727272727263,16.743801652892557,98.49793388429758,Alaska,Denali ,Not in a city
1990-01-22,24.725971370143164,0.026184049079754614,11.008179959100195,16.674846625766886,98.0920245398772,Arizona,Apache,Petrified Forest National Park
1990-01-23,25.680894308943092,0.027733739837398377,12.420731707317083,16.57926829268292,97.52235772357722,Arizona,Apache,Petrified Forest National Park
1990-01-24,23.793172690763065,0.025670682730923697,11.27510040160643,16.445783132530146,96.7510040160643,Alaska,Denali ,Not in a city
1990-01-25,25.175050301810884,0.0270503018108652,13.148893360160965,16.58953722334005,97.58752515090542,Arizona,Apache,Petrified Forest National Park
1990-01-26,26.5,0.028591269841269848,12.230158730158728,16.66865079365079,98.05357142857146,Alaska,Denali ,Not in a city
1990-01-27,29.08964143426296,0.03136454183266934,10.249003984063739,16.89043824701198,99.35657370517929,Alaska,Denali ,Not in a city
1990-01-28,27.620758483033935,0.029854291417165682,10.40119760479041,16.88822355289422,99.34131736526953,Alaska,Denali ,Not in a city
1990-01-29,24.64143426294819,0.026577689243027884,11.388446215139439,16.66533864541832,98.02191235059763,Alaska,Denali ,Not in a city
1990-01-30,25.3611111111111,0.027283730158730164,10.00595238095239,16.6547619047619,97.96825396825399,Alaska,Denali ,Not in a city
1990-01-31,24.312749003984074,0.02624501992031874,11.573705179282863,16.438247011952186,96.70318725099608,Alaska,Denali ,Not in a city
1990-02-01,22.495069033530584,0.024280078895463516,11.463510848126232,16.670611439842222,98.06311637080861,Alaska,Denali ,Not in a city
1990-02-02,20.36417322834647,0.02200000000000002,11.297244094488189,16.417322834645695,96.5688976377953,Alaska,Denali ,Not in a city
1990-02-03,22.174000000000003,0.023933999999999993,12.334000000000005,16.908000000000005,99.45599999999999,Alaska,Denali ,Not in a city
1990-02-04,26.981927710843372,0.029142570281124484,12.51004016064257,16.88955823293176,99.34939759036143,Alaska,Denali ,Not in a city
1990-02-05,27.27037773359841,0.029461232604373763,10.345924453280329,16.540755467196806,97.28230616302181,Alaska,Denali ,Not in a city
1990-02-06,25.389662027832998,0.027363817097415498,11.137176938369773,16.646123260437353,97.90059642147112,Alaska,Denali ,Not in a city
1990-02-07,28.1811023622047,0.030220472440944907,11.09251968503937,16.51574803149606,97.15551181102357,Alaska,Denali ,Not in a city
1990-02-08,28.588582677165363,0.030799212598425177,11.557086614173228,16.631889763779512,97.8307086614173,Alaska,Denali ,Not in a city
1990-02-09,26.056974459724927,0.02804715127701376,11.021611001964644,16.697445972495068,98.22396856581543,Alaska,Denali ,Not in a city
1990-02-10,28.067729083665334,0.030089641434262973,10.079681274900405,16.80278884462151,98.84262948207177,Alaska,Denali ,Not in a city
1990-02-11,30.243460764587518,0.032329979879275605,10.525150905432604,16.87726358148894,99.2776659959758,Alaska,Denali ,Not in a city
1990-02-12,31.54960317460318,0.03336507936507939,11.732142857142854,16.569444444444432,97.47023809523817,Alaska,Denali ,Not in a city
1990-02-13,30.40518962075848,0.0327185628742515,11.556886227544899,16.610778443113773,97.71457085828344,Alaska,Denali ,Not in a city
1990-02-14,26.196392785571142,0.028266533066132284,10.99599198396793,16.408817635270562,96.52505010020039,Alaska,Denali ,Not in a city
1990-02-15,24.711422845691402,0.026699398797595204,11.232464929859736,16.557114228456886,97.39478957915834,Alaska,Denali ,Not in a city
1990-02-16,27.3,0.029456,13.20199999999999,16.426000000000027,96.62399999999997,Alaska,Denali ,Not in a city
1990-02-17,28.613226452905813,0.030805611222444896,10.106212424849708,16.859719438877747,99.17234468937879,Alaska,Denali ,Not in a city
1990-02-18,27.473999999999986,0.029579999999999985,10.317999999999993,16.814000000000014,98.90200000000002,Alaska,Denali ,Not in a city
1990-02-19,29.274000000000015,0.03161400000000003,11.642,16.761999999999997,98.60000000000004,Alaska,Denali ,Not in a city
1990-02-20,29.900199600798405,0.03218163672654691,10.165668662674655,16.59880239520958,97.64271457085827,Alaska,Denali ,Not in a city
1990-02-21,27.544554455445514,0.029295049504950512,10.655445544554462,16.524752475247514,97.209900990099,Alaska,Denali ,Not in a city
1990-02-22,30.42376237623762,0.0322633663366337,12.247524752475261,16.5920792079208,97.60396039603965,Alaska,Denali ,Not in a city
1990-02-23,32.88976377952759,0.03446456692913387,11.952755905511813,16.7007874015748,98.23425196850394,Alaska,Denali ,Not in a city
1990-02-24,36.15643564356435,0.037679207920792025,10.994059405940604,16.887128712871274,99.33861386138614,Alaska,Denali ,Not in a city
1990-02-25,44.486111111111065,0.04219841269841274,10.089285714285717,16.793650793650784,98.78571428571419,Alaska,Denali ,Not in a city
1990-02-26,36.784860557768965,0.03689243027888448,10.523904382470112,16.719123505976093,98.34462151394423,Alaska,Denali ,Not in a city
1990-02-27,36.823412698412774,0.03625595238095241,11.58730158730159,16.537698412698393,97.27777777777781,Alaska,Denali ,Not in a city
1990-02-28,35.447124304267184,0.03538218923933211,11.61410018552875,15.311688311688314,90.09647495361774,Alabama,Autauga,Not in a city
1990-03-01,31.02564102564104,0.03261172161172168,10.67582417582418,16.47985347985349,96.9377289377289,Alabama,Autauga,Not in a city
1990-03-02,26.945553539019958,0.02896551724137931,11.29582577132487,16.658802177858412,97.98548094373865,Alabama,Autauga,Not in a city
1990-03-03,32.73443223443222,0.03495054945054943,11.6080586080586,16.891941391941394,99.36630036630031,Alabama,Autauga,Not in a city
1990-03-04,36.73577981651373,0.038403669724770655,11.535779816513761,16.851376146788994,99.12477064220187,Alabama,Autauga,Not in a city
1990-03-05,35.674033149171265,0.03694106813996318,11.265193370165742,16.683241252302047,98.13259668508279,Alabama,Autauga,Not in a city
1990-03-06,33.3229357798166,0.03511559633027523,11.677064220183492,16.559633027522942,97.40917431192668,Alabama,Autauga,Not in a city
1990-03-07,35.02722323048998,0.0364410163339383,11.439201451905634,16.47549909255899,96.92377495462793,Alabama,Autauga,Not in a city
1990-03-08,30.53707052441228,0.03253164556962029,10.761301989150088,16.518987341772178,97.17359855334536,Alabama,Autauga,Not in a city
1990-03-09,27.167870036101064,0.029250902527075833,10.624548736462101,16.73646209386282,98.44765342960284,Alabama,Autauga,Not in a city
1990-03-10,30.53442028985505,0.03275181159420291,11.972826086956525,16.7807971014493,98.71014492753618,Alabama,Autauga,Not in a city
1990-03-11,32.02941176470588,0.03446874999999998,10.612132352941172,16.83088235294116,99.00551470588238,Alabama,Autauga,Not in a city
1990-03-12,32.88181818181819,0.03516181818181819,10.570909090909101,16.400000000000006,96.47454545454546,Alabama,Autauga,Not in a city
1990-03-13,35.16911764705885,0.037562500000000006,11.286764705882348,16.53492647058824,97.2628676470588,Alabama,Autauga,Not in a city
1990-03-14,37.438979963570155,0.039459016393442625,11.602914389799649,16.473588342440806,96.91438979963571,Alabama,Autauga,Not in a city
1990-03-15,36.751351351351346,0.0383351351351351,10.381981981981982,16.38918918918919,96.4108108108107,Alabama,Autauga,Not in a city
1990-03-16,36.90810810810812,0.03763243243243243,11.225225225225236,16.63783783783785,97.86666666666656,Alabama,Autauga,Not in a city
1990-03-17,43.29963898916967,0.0420595667870036,11.700361010830326,16.835740072202146,99.03790613718411,Alabama,Autauga,Not in a city
1990-03-18,51.01633393829398,0.046885662431941894,10.392014519056259,16.860254083484573,99.17967332123413,Alabama,Autauga,Not in a city
1990-03-19,41.17025089605732,0.041098566308243725,10.811827956989253,16.50537634408604,97.09139784946234,Alabama,Autauga,Not in a city
1990-03-20,44.83392857142861,0.04298928571428569,11.405357142857143,16.669642857142865,98.05714285714285,Alabama,Autauga,Not in a city
1990-03-21,54.076106194690304,0.048426548672566364,10.612389380530967,16.373451327433617,96.31858407079648,Alabama,Autauga,Not in a city
1990-03-22,51.650877192982435,0.04804561403508775,11.535087719298241,16.598245614035093,97.62807017543855,Alabama,Autauga,Not in a city
1990-03-23,48.47294938917971,0.0447643979057592,10.5305410122164,16.745200698080264,98.4973821989529,Alabama,Autauga,Not in a city
1990-03-24,48.16928446771381,0.04374694589877834,10.40663176265272,16.86736474694591,99.21989528795805,Alabama,Autauga,Not in a city
1990-03-25,43.90877192982458,0.04247894736842103,10.477192982456142,16.88070175438596,99.30000000000003,Alabama,Autauga,Not in a city
1990-03-26,40.69001751313489,0.03991243432574427,10.415061295971986,16.753064798598967,98.54991243432575,Alabama,Autauga,Not in a city
1990-03-27,37.42307692307694,0.03972902097902092,10.919580419580416,16.6923076923077,98.19405594405606,Alabama,Autauga,Not in a city
1990-03-28,35.94938917975565,0.038033158813263516,10.523560209424094,16.490401396160525,97.0157068062827,Alabama,Autauga,Not in a city
