air/pm25_frm_daily_summary.o3_AQI,air/pm25_frm_daily_summary.f0_,air/pm25_frm_daily_summary.f1_,air/pm25_frm_daily_summary.f2_,air/pm25_frm_daily_summary.f3_,air/pm25_frm_daily_summary.f4_,air/pm25_frm_daily_summary.f5_,air/pm25_frm_daily_summary.f6_,Day
27.01157407407408,10.193806451612904,5.04258064516129,10.738064516129032,98.22193548387096,Colorado,Mesa,Grand Junction,2014-08-13
21.92622950819672,8.28162162162163,3.994594594594594,8.69189189189189,99.42162162162168,California,Fresno,Not in a city,2022-04-02
36.007352941176464,13.318016759776537,5.331005586592179,10.506983240223462,98.89245810055868,Oklahoma,Kay,Ponca City,2013-11-22
31.854961832061072,11.205087209302324,4.069767441860464,10.39970930232558,98.13808139534883,New Hampshire,Cheshire,Keene,2013-09-20
29.314796425024824,9.359298245614037,3.214736842105263,7.578947368421052,99.36771929824562,Connecticut,New Haven,New Haven,2016-07-08
45.86266531027466,12.081383519837235,0.0122075279755849,1.0,100.0,Alabama,Jefferson,Not in a city,2000-03-13
40.228219696969695,10.390340909090908,0.115530303030303,1.0,100.0,Mississippi,Harrison,Gulfport,2005-12-30
38.512,9.5112,0.0,1.0,100.0,Oklahoma,Tulsa,Tulsa,2006-05-13
39.09271523178808,10.720529801324505,0.0,1.0,100.0,Washington,King,Enumclaw,2004-12-01
28.058004640371227,10.864072632944229,4.883268482490273,10.848249027237353,98.9312581063554,Wyoming,Big Horn,Lovell,2014-10-31
34.71337579617835,8.993037974683544,0.0886075949367088,1.1455696202531649,100.0,North Carolina,Mecklenburg,Charlotte,2008-03-29
32.913043478260875,13.22984293193717,5.499127399650964,11.884816753926708,99.53752181500865,South Carolina,Lexington,Seven Oaks,2022-03-17
28.315862068965515,10.252548456568544,5.504666188083276,11.885857860732246,99.41852117731511,Alabama,Jefferson,Birmingham,2020-03-18
60.61081081081082,18.94972972972973,0.0,1.0,100.0,Florida,Duval,Jacksonville,2001-05-03
29.05518763796909,10.671062271062272,5.107448107448108,10.81196581196581,98.2075702075702,Pennsylvania,York,York,2015-11-06
35.26300578034682,12.120277296360488,4.041594454072791,9.974003466204508,99.36048526863084,Pennsylvania,Lebanon,Not in a city,2012-03-11
26.44305381727159,8.104955401387512,2.824578790882061,5.663032705649158,99.53914767096136,Montana,Gallatin,West Yellowstone,2011-04-30
29.696286472148525,10.503756830601128,5.064890710382516,11.94603825136612,99.14617486338784,Alabama,Jefferson,Birmingham,2021-04-14
50.358024691358025,13.291358024691355,0.0617283950617283,1.0,100.0,Pennsylvania,Cumberland,Carlisle,2007-07-06
28.05625,10.379361179361185,5.595413595413596,11.701064701064702,98.998361998362,Oklahoma,Kay,Ponca City,2018-10-19
45.46913580246914,11.901234567901234,0.0,1.0,100.0,Kentucky,Jefferson,Louisville,2007-08-27
27.79166666666667,7.585283474065139,0.8262967430639324,2.6562123039806997,99.98552472858866,California,Los Angeles,Los Angeles,2009-05-10
