Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_
1988-03-02,12.181818181818182,2.9585809090909088,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-03-05,15.913043478260873,3.8587486956521735,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-03-09,12.583333333333337,3.0462041666666666,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-03-12,19.639999999999997,4.809426,0.0,1.0,100.0,Arizona,Cochise,Not in a city
1988-03-16,20.857142857142858,5.035825714285715,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-03-19,18.892857142857146,4.636818571428571,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-03-23,24.193548387096776,5.991243870967742,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-03-26,17.133333333333333,4.214544333333332,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-03-30,21.379310344827584,5.24568827586207,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-04-02,20.48275862068966,5.09403724137931,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-04-06,17.379310344827584,4.214052413793105,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-04-09,19.88888888888889,4.782519629629629,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-04-13,29.21739130434783,7.109035652173913,0.0,1.0,100.0,Arizona,Cochise,Not in a city
1988-04-16,23.439999999999998,5.6658676,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-04-20,17.366666666666664,4.193001000000001,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-04-23,15.15151515151515,3.8632584848484846,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-04-27,21.625000000000004,5.373294166666667,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-04-30,20.24137931034483,4.969323103448276,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-05-04,20.433333333333334,4.9350526666666665,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-05-07,18.962962962962962,4.727968888888888,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-05-11,20.962962962962962,5.289504444444445,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-05-14,22.67857142857143,5.651889642857143,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-05-18,22.75,5.567014642857144,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-05-21,22.0625,5.5554446875000005,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-05-25,22.807692307692307,5.54004576923077,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-05-28,28.59259259259259,7.629273333333333,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-06-01,16.57142857142857,4.515857857142858,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-06-04,20.96875,5.1112659375,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-06-08,22.53333333333334,6.139387000000001,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-06-11,28.099999999999994,6.903626666666667,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-06-15,27.39393939393939,7.157473636363635,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-06-18,28.354838709677416,7.243210322580644,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-06-22,33.285714285714285,9.08745535714286,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-06-25,30.96875,8.1280934375,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-06-29,23.70967741935484,6.182041935483872,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-07-02,23.968750000000004,5.903486249999999,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-07-06,30.0625,7.755155,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-07-09,29.93939393939394,8.022928787878788,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-07-13,24.814814814814817,6.381817777777778,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-07-16,28.468750000000004,7.443753749999999,0.0,1.0,100.0,Arizona,Cochise,Not in a city
1988-07-20,23.066666666666663,5.603274333333333,0.0,1.0,100.0,Arizona,Cochise,Not in a city
1988-07-23,29.612903225806445,7.543691290322579,0.0,1.0,100.0,Arizona,Cochise,Not in a city
1988-07-27,31.290322580645164,8.145006129032259,0.0,1.0,100.0,Arizona,Cochise,Not in a city
1988-07-30,29.749999999999996,8.237263749999999,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-08-03,23.06060606060606,5.954118787878787,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-08-06,21.48387096774194,5.27597064516129,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-08-10,26.655172413793107,7.150572413793103,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-08-13,25.89655172413793,7.040272758620689,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-08-17,18.375,4.6274490625,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-08-20,25.41935483870968,6.25834677419355,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-08-24,20.079999999999995,4.9550584,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-08-27,26.374999999999996,6.574641666666667,0.0,1.0,100.0,Alaska,Denali ,Not in a city
1988-08-31,29.09677419354839,7.252056451612904,0.0,1.0,100.0,Alaska,Denali ,Not in a city
