Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_
1990-01-03,,0.08133490072202154,0.0,1.0,100.0,Utah,Grand,Not in a city
1990-01-06,,0.09871491525423728,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-01-10,,0.10470325650557612,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-01-13,,0.09934102491103207,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-01-17,,0.10394437162683094,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-01-20,,0.1342053476331361,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-01-24,,0.09906015352407534,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-01-27,,0.08185255408234476,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-01-31,,0.09801704274702179,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-02-03,,0.08749987645847623,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-02-07,,0.12756781476121565,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-02-10,,0.09262821673525362,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-02-14,,0.11676477920227911,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-02-17,,0.08065553014553022,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-02-21,,0.1175865889212827,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-02-24,,0.09937136082474231,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-02-28,,0.14897973431734307,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-03-03,,0.1455319426974147,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-03-07,,0.13284945117029878,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-03-10,,0.11132642693190509,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-03-14,,0.1284129337539432,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-03-17,,0.1036417047970478,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-03-21,,0.12553506451612914,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-03-24,,0.14108300312012464,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-03-28,,0.16815923519736817,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-03-31,,0.1907756492027337,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-04-04,,0.15329410818713457,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-04-07,,0.1714980263157892,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-04-11,,0.15010962121212118,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-04-14,,0.17359083333333356,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-04-18,,0.12769837875611464,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-04-21,,0.16334012977099263,0.0,1.0,100.0,Utah,Garfield,Not in a city
1990-04-25,,0.17585041825095055,0.0,1.0,100.0,Utah,Garfield,Not in a city
