Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_
1990-01-01,,34.849999999999994,6.700000000000001,23.825,99.27499999999999,Utah,Grand,Not in a city
1990-01-02,,37.44186046511629,14.534883720930232,23.000000000000004,95.83720930232558,Utah,Grand,Not in a city
1990-01-03,,50.98630136986301,7.520547945205479,14.12328767123288,98.24657534246576,Arizona,Gila,Tonto National Monument
1990-01-04,,40.16279069767442,9.25581395348837,23.16279069767442,96.51162790697676,Utah,Grand,Not in a city
1990-01-05,,36.095238095238095,12.190476190476195,23.73809523809524,98.9047619047619,Utah,Grand,Not in a city
1990-01-06,,49.73417721518985,4.468354430379745,13.303797468354428,99.1012658227848,Arizona,Coconino,Not in a city
1990-01-07,,37.50000000000001,15.295454545454543,23.25,96.88636363636365,Utah,Grand,Not in a city
1990-01-08,,41.36363636363637,12.840909090909088,23.454545454545453,97.72727272727273,Utah,Grand,Not in a city
1990-01-09,,42.99999999999999,10.604651162790699,23.97674418604651,99.90697674418604,Utah,Grand,Not in a city
1990-01-10,,52.93506493506494,5.0,13.415584415584414,99.4675324675325,Arizona,Coconino,Not in a city
1990-01-11,,39.27906976744187,7.465116279069767,23.744186046511626,98.95348837209302,Utah,Grand,Not in a city
1990-01-12,,33.64285714285714,8.214285714285715,23.476190476190478,97.83333333333331,Utah,Grand,Not in a city
1990-01-13,,50.02531645569621,7.075949367088608,13.151898734177212,99.6962025316456,Arizona,Coconino,Not in a city
1990-01-14,,37.69047619047619,14.857142857142861,23.95238095238095,99.8095238095238,Utah,Grand,Not in a city
1990-01-15,,43.45238095238095,14.071428571428575,23.571428571428573,98.21428571428574,Utah,Grand,Not in a city
1990-01-16,,49.04761904761905,12.523809523809524,23.333333333333332,97.23809523809524,Utah,Grand,Not in a city
1990-01-17,,56.44594594594595,5.378378378378377,13.310810810810814,99.5,Arizona,Coconino,Not in a city
1990-01-18,,40.38095238095237,6.071428571428571,23.357142857142854,97.33333333333333,Utah,Grand,Not in a city
1990-01-19,,34.365853658536594,10.560975609756099,23.97560975609756,99.90243902439023,Utah,Grand,Not in a city
1990-01-20,,52.597402597402606,7.25974025974026,13.324675324675324,99.09090909090911,Arizona,Coconino,Not in a city
1990-01-21,,40.1904761904762,7.142857142857142,23.976190476190474,99.9047619047619,Utah,Grand,Not in a city
