air/rh_and_dp_daily_summary.o3_AQI,air/rh_and_dp_daily_summary.f0_,air/rh_and_dp_daily_summary.f1_,air/rh_and_dp_daily_summary.f2_,air/rh_and_dp_daily_summary.f3_,air/rh_and_dp_daily_summary.f4_,air/rh_and_dp_daily_summary.f5_,air/rh_and_dp_daily_summary.f6_,Day
,74.25240274599544,5.7185354691075485,23.90389016018307,99.60640732265438,Arizona,Pima,Not in a city,2021-08-14
,80.58424242424245,10.730303030303036,23.775757575757584,99.06969696969696,North Carolina,Mecklenburg,Charlotte,2007-12-18
,59.2887323943662,6.9718309859154965,15.373239436619722,99.1619718309859,West Virginia,Tucker,Not in a city,1993-04-14
,78.36036036036033,7.41216216216216,23.84909909909908,99.36936936936937,Indiana,Porter,Dune Acres,2016-02-22
,82.86505190311414,6.643598615916956,23.63321799307956,98.47750865051904,North Carolina,Mecklenburg,Charlotte,2005-04-30
,76.375415282392,7.999999999999998,23.81395348837208,99.23255813953485,North Carolina,Mecklenburg,Charlotte,2006-01-14
,83.68888888888887,5.425925925925927,23.63333333333333,98.47407407407404,North Carolina,Mecklenburg,Charlotte,2004-05-28
,72.35828877005348,9.860962566844918,23.78609625668448,99.10695187165771,California,Kern,Arvin,2000-04-10
,71.71052631578947,8.763157894736839,23.82456140350877,99.28070175438596,Arizona,Pima,Tucson,1995-03-05
,86.78243559718972,8.562060889929734,23.615925058548005,98.40281030444964,Indiana,Porter,Dune Acres,2019-12-29
,73.00541760722348,8.322799097065463,23.869074492099315,99.45823927765224,Arizona,Pima,Not in a city,2021-05-19
,36.68292682926829,8.292682926829269,24.0,100.0,Utah,Grand,Not in a city,1990-02-02
,75.03498871331834,7.941309255079004,23.923250564334086,99.68171557562076,Arizona,Pima,Not in a city,2021-05-28
,78.7530259365994,12.461095100864554,23.88472622478385,99.521613832853,California,Inyo,Independence,2008-12-14
,76.16304347826086,6.663043478260872,23.68478260869565,98.70108695652172,Arizona,Pima,Tucson,1999-06-11
,80.72631578947369,6.605263157894735,23.442105263157902,97.67894736842106,California,Kern,Arvin,1999-08-01
,77.14126315789476,6.898947368421056,23.909473684210518,99.62947368421052,Idaho,Nez Perce,Not in a city,2017-09-25
,80.63949843260181,6.937304075235109,23.83385579937304,99.31347962382448,Indiana,Lake,Gary,2006-04-25
,79.95888650963596,7.852248394004291,23.794432548179884,99.14775160599577,Idaho,Idaho,Not in a city,2017-11-13
,78.47845303867399,9.831491712707184,23.977900552486197,99.90883977900552,California,Inyo,Independence,2009-12-26
,78.46351351351346,6.277027027027027,23.90090090090093,99.59009009009006,Indiana,Porter,Dune Acres,2020-05-29
,75.87771084337352,8.349397590361452,23.909638554216865,99.6265060240964,North Carolina,Mecklenburg,Charlotte,2007-03-31
,76.0093896713615,9.92018779342723,23.97652582159625,99.906103286385,California,Kern,Arvin,2001-12-08
,82.2387909319899,6.176322418136014,23.90176322418134,99.59445843828716,California,Inyo,Independence,2010-06-05
,86.10550458715598,7.802752293577977,22.36238532110092,98.89908256880736,California,Kern,Arvin,2000-08-30
,80.48875878220137,11.969555035128808,23.87587822014052,99.4847775175644,Idaho,Idaho,Not in a city,2013-12-08
,80.80591259640106,9.704370179948585,23.90231362467865,99.5938303341902,California,Inyo,Independence,2010-10-11
,73.49794238683131,9.930041152263373,23.888888888888893,99.54732510288063,Arizona,Pima,Not in a city,2003-12-01
,61.975,3.1875,15.606250000000005,99.76874999999994,Alabama,Lawrence,Moulton,1994-01-26
,67.11290322580645,9.435483870967744,23.9516129032258,99.8064516129032,New York,Chemung,Elmira,1991-08-29
,80.79444444444444,6.677777777777778,23.794444444444444,99.14444444444445,California,Kern,Arvin,1999-09-13
,80.29016786570743,10.13669064748202,23.83213429256595,99.30695443645074,Indiana,Jasper,Not in a city,2015-01-20
,59.927083333333336,10.447916666666671,23.78125,99.09374999999996,Arizona,Pima,Tucson,1994-03-14
,78.10271903323262,7.368580060422959,23.94259818731116,99.76435045317218,North Carolina,Mecklenburg,Charlotte,2006-09-12
,75.58821752265865,9.374622356495472,23.957703927492453,99.82477341389728,North Carolina,Mecklenburg,Charlotte,2007-04-09
,73.52920168067233,9.764705882352942,23.955882352941185,99.81932773109246,Idaho,Nez Perce,Not in a city,2017-10-07
