air/temperature_daily_summary.o3_AQI,air/temperature_daily_summary.f0_,air/temperature_daily_summary.f1_,air/temperature_daily_summary.f2_,air/temperature_daily_summary.f3_,air/temperature_daily_summary.f4_,air/temperature_daily_summary.f5_,air/temperature_daily_summary.f6_,Day
,88.78232258064517,13.605161290322586,23.95741935483871,99.8245161290322,Hawaii,Honolulu,Not in a city,2021-08-14
,49.04370370370375,13.682962962962964,23.915555555555542,99.6533333333333,North Dakota,Williams,Not in a city,2007-12-18
,59.29375000000002,12.981250000000005,23.759374999999995,99.00624999999998,Alaska,Denali ,Not in a city,1993-04-14
,53.46044776119401,13.1007462686567,23.885572139303484,99.52363184079604,Hawaii,Honolulu,Not in a city,2016-02-22
,61.72063492063489,12.488888888888892,23.88730158730156,99.53333333333332,California,Marin,Not in a city,2005-04-30
,52.34421221864954,10.003215434083602,23.87138263665595,99.46623794212212,Colorado,La Plata,Not in a city,2006-01-14
,73.50970873786409,13.17637540453075,23.92556634304209,99.69093851132683,Indiana,Whitley,Not in a city,2004-05-28
,61.94890510948905,12.917883211678824,23.850364963503647,99.37956204379552,Indiana,DeKalb,Not in a city,2000-04-10
,47.318518518518495,12.920987654320989,23.86172839506174,99.42716049382712,Alaska,Denali ,Not in a city,1995-03-05
,45.43375634517772,11.267766497461931,23.903553299492398,99.60025380710664,Hawaii,Honolulu,Not in a city,2019-12-29
,75.77834793491876,13.499374217772226,23.906132665832303,99.61451814768456,Hawaii,Honolulu,Not in a city,2021-05-19
,47.06849315068494,10.51141552511415,23.74429223744293,98.9452054794521,North Dakota,Mercer,Not in a city,1990-02-02
,73.83820224719092,12.330836454431951,23.88014981273406,99.50312109862676,Hawaii,Honolulu,Not in a city,2021-05-28
,45.24719424460435,12.710791366906474,23.858992805755417,99.41294964028766,Alaska,Denali ,Not in a city,2008-12-14
,79.4484732824428,13.69274809160306,23.746183206106863,98.94847328244276,Indiana,DeKalb,Not in a city,1999-06-11
,83.86278195488721,13.71428571428572,23.69548872180448,98.73496240601504,Indiana,DeKalb,Not in a city,1999-08-01
,76.02621247113159,13.516166281755186,23.927251732101624,99.69976905311778,California,Los Angeles,Pasadena,2017-09-25
,65.15092592592596,11.682098765432096,23.89814814814816,99.58024691358015,Colorado,La Plata,Not in a city,2006-04-25
,58.54353499406877,12.926453143534998,23.846975088967987,99.36654804270466,California,Los Angeles,Pasadena,2017-11-13
,40.55232067510551,13.267229254571015,23.97468354430379,99.89451476793244,Arizona,Maricopa,Scottsdale,2009-12-26
,81.615024630542,13.460591133004906,23.919950738916263,99.67118226600974,Hawaii,Honolulu,Not in a city,2020-05-29
,63.6380029806259,13.138599105812228,23.901639344262303,99.59314456035771,North Dakota,Williams,Not in a city,2007-03-31
,53.18047882136278,10.370165745856356,23.91712707182322,99.65745856353593,North Dakota,Williams,Not in a city,2001-12-08
,82.56062992125983,13.660104986876656,23.93569553805772,99.73490813648289,Alaska,Denali ,Not in a city,2010-06-05
,79.80599647266314,13.395061728395056,23.805996472663136,99.19929453262776,Indiana,DeKalb,Not in a city,2000-08-30
,30.515380710659887,13.838832487309643,23.91243654822336,99.63705583756338,Arizona,Maricopa,Phoenix,2013-12-08
,75.38983957219246,13.106951871657758,23.954545454545453,99.812834224599,Alaska,Denali ,Not in a city,2010-10-11
,54.69190140845075,10.471830985915496,23.89964788732394,99.58626760563384,North Dakota,Williams,Not in a city,2003-12-01
,39.75872093023253,8.662790697674419,23.86046511627905,99.42732558139538,Ohio,Columbiana,East Liverpool,1994-01-26
,85.14532871972321,13.439446366782011,23.705882352941167,98.79238754325264,Arkansas,Mississippi,Not in a city,1991-08-29
,77.47307692307682,13.051923076923073,23.77692307692308,99.07692307692308,Indiana,DeKalb,Not in a city,1999-09-13
,47.74920844327179,12.720316622691286,23.89577836411605,99.5699208443272,Hawaii,Honolulu,Not in a city,2015-01-20
,60.78362573099415,13.233918128654974,23.926900584795337,99.6988304093567,Ohio,Columbiana,East Liverpool,1994-03-14
,78.53450381679389,12.89312977099237,23.87175572519085,99.4687022900763,Colorado,La Plata,Not in a city,2006-09-12
,56.28365527488857,13.677563150074288,23.980683506686468,99.9212481426448,North Dakota,Williams,Not in a city,2007-04-09
,77.58608187134504,13.327485380116965,23.947368421052637,99.78362573099416,California,Los Angeles,Pasadena,2017-10-07
