Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_
1990-01-01,,168.9294642857143,12.470238095238098,23.29761904761905,97.09523809523799,Illinois,DuPage,Lisle
1990-01-02,,143.69333333333338,10.994202898550718,23.173913043478255,96.59420289855069,Illinois,DuPage,Lisle
1990-01-03,,151.61815561959682,12.155619596541793,23.34870317002881,97.31412103746392,Illinois,DuPage,Lisle
1990-01-04,,169.3809798270892,12.642651296829978,23.792507204610946,99.13544668587895,Illinois,DuPage,Lisle
1990-01-05,,169.38706896551727,9.18390804597701,23.52873563218388,98.0431034482759,Illinois,DuPage,Lisle
1990-01-06,,175.50115606936416,11.687861271676296,23.73121387283237,98.88728323699422,Illinois,DuPage,Lisle
1990-01-07,,163.6060693641617,11.141618497109832,23.80924855491329,99.21098265895944,Illinois,DuPage,Lisle
1990-01-08,,156.69085714285714,12.402857142857144,23.462857142857157,97.76571428571428,Illinois,DuPage,Lisle
1990-01-09,,165.5280453257791,12.33144475920681,23.762039660056658,99.02266288951832,Illinois,DuPage,Lisle
1990-01-10,,165.64090909090913,11.125000000000009,23.676136363636378,98.66761363636363,Illinois,DuPage,Lisle
1990-01-11,,158.45028571428583,12.197142857142861,23.279999999999994,97.0114285714286,Illinois,DuPage,Lisle
1990-01-12,,156.35406976744196,12.598837209302319,23.54941860465118,98.13953488372093,Illinois,DuPage,Lisle
1990-01-13,,157.49681159420305,11.118840579710149,23.602898550724642,98.36521739130434,Illinois,DuPage,Lisle
1990-01-14,,141.83731778425667,12.142857142857139,23.600583090379,98.3440233236152,Illinois,DuPage,Lisle
1990-01-15,,146.19856321839086,11.91379310344828,23.551724137931032,98.13793103448283,Illinois,DuPage,Lisle
1990-01-16,,145.91156069364155,12.783236994219651,23.69942196531791,98.76589595375727,Illinois,DuPage,Lisle
1990-01-17,,152.69885386819487,12.707736389684817,23.475644699140393,97.83094555873929,Illinois,DuPage,Lisle
1990-01-18,,156.52152974504259,11.300283286118974,23.410764872521256,97.55807365439091,Illinois,DuPage,Lisle
1990-01-19,,154.3045325779036,11.563739376770542,23.082152974504247,96.18980169971672,Illinois,DuPage,Lisle
1990-01-20,,165.02785923753663,12.246334310850443,23.82111436950148,99.26392961876833,Illinois,DuPage,Lisle
1990-01-21,,168.50204081632643,10.005830903790088,23.501457725947528,97.91836734693875,Illinois,DuPage,Lisle
1990-01-22,,164.72225433526003,12.450867052023122,22.98843930635836,95.7976878612717,Illinois,DuPage,Lisle
1990-01-23,,162.13767705382443,13.079320113314452,23.067988668555245,96.13597733711045,Illinois,DuPage,Lisle
1990-01-24,,163.5392655367231,11.596045197740107,23.52824858757063,98.05649717514119,Illinois,DuPage,Lisle
1990-01-25,,167.13008356545964,11.682451253481894,23.228412256267422,96.79665738161557,Illinois,DuPage,Lisle
1990-01-26,,159.95994397759105,11.93557422969188,23.240896358543402,96.86274509803924,Illinois,DuPage,Lisle
1990-01-27,,155.56450704225352,11.247887323943667,23.687323943661962,98.70422535211264,Illinois,DuPage,Lisle
1990-01-28,,162.75835694050983,11.345609065155802,23.762039660056647,99.02266288951841,Illinois,DuPage,Lisle
1990-01-29,,171.790502793296,11.39944134078212,23.494413407821224,97.91340782122907,Illinois,DuPage,Lisle
1990-01-30,,172.18508287292823,12.162983425414367,22.972375690607713,95.73204419889512,Illinois,DuPage,Lisle
1990-01-31,,152.74943820224718,12.435393258426968,23.258426966292134,96.9185393258427,Illinois,DuPage,Lisle
1990-02-01,,166.29915966386568,12.65546218487395,23.48459383753501,97.85994397759104,Illinois,DuPage,Lisle
1990-02-02,,155.35266106442558,11.73669467787114,23.45098039215686,97.7366946778712,Illinois,DuPage,Lisle
1990-02-03,,162.03817663817648,11.760683760683769,23.31054131054131,97.1396011396012,Illinois,DuPage,Lisle
1990-02-04,,175.69855907780973,11.596541786743526,23.5043227665706,97.95677233429399,Illinois,DuPage,Lisle
1990-02-05,,154.82647887323944,10.842253521126763,23.092957746478863,96.2366197183098,Illinois,DuPage,Lisle
1990-02-06,,163.09889196675906,12.512465373961216,23.357340720221572,97.3462603878116,Illinois,DuPage,Lisle
1990-02-07,,155.28690807799438,12.047353760445683,23.657381615598894,98.59610027855162,Illinois,DuPage,Lisle
1990-02-08,,150.3476454293629,11.869806094182824,23.53462603878116,98.0720221606649,Illinois,DuPage,Lisle
1990-02-09,,166.51142061281334,13.256267409470748,23.71309192200558,98.8189415041783,Illinois,DuPage,Lisle
1990-02-10,,170.90445682451264,10.682451253481902,23.771587743732564,99.058495821727,Illinois,DuPage,Lisle
1990-02-11,,171.04568245125344,11.275766016713101,23.7799442896936,99.09192200557099,Illinois,DuPage,Lisle
